sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:unitid,ADD_INFO:unit,ADD_INFO:ucum_code,ADD_INFO:low_normal_value,ADD_INFO:high_normal_value,ADD_INFO:expected_min_value,ADD_INFO:expected_max_value,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
12331,P Upper (Set) (2),5,,5,,,,P Bovenste (Set) (2),P Bovenste (Set) (2),RESP-Servo Machinegegevens(2),175,cmH2O,cm[H2O],,,,,0.35,APPROVED,EQUAL,Patrick Thoral,1690321145005,3006802,Pressure maximum setting Ventilator alarm,Measurement,MAPS_TO,,Patrick Thoral,1690321144191,
19611,Aim SpO2,7755,,7755,,,,Streef SpO2,Streef SpO2,RESP-Acceptatiewaarden,0,None,,,,,,0.70,APPROVED,INEXACT,Patrick Thoral,1691265061042,602639,Target parameter,Observation,MAPS_TO,,Patrick Thoral,1691259652133,
19611,Aim SpO2,7755,,7755,,,,Streef SpO2,Streef SpO2,RESP-Acceptatiewaarden,0,None,,,,,,0.70,APPROVED,INEXACT,Patrick Thoral,1691265061042,40762499,Oxygen saturation in Arterial blood by Pulse oximetry,Measurement,MAPS_TO_TYPE,,Patrick Thoral,1691265058809,
19283,Physio Mobility Ankle dorsal plantar right 3,1990,,1990,,,,Fysio Mobiliteit Enkel dorsaal plantair  rechts 3,Fysio Mobiliteit Enkel dorsaal plantair  rechts 3,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,50,,,0.47,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
16633,MCA_Leucocytes,49,,49,,,,MCA_Leucocyten,MCA_Leucocyten,APACHE II MICV,101,10^9/l,10*9/L,,,,,0.46,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
20672,Number of puncture attempts,666,,666,,,,Aantal prikpogingen,Aantal prikpogingen,P_Globaal,171,Aantal,{#},,,,,0.77,APPROVED,EQUIVALENT,Patrick Thoral,1691277262679,40770161,Procedure attempts [#],Observation,MAPS_TO,,Patrick Thoral,1691277259296,
16636,MCA_Serum_Potassium,49,,49,,,,MCA_Serum_Kalium,MCA_Serum_Kalium,APACHE II MICV,97,mmol/l,mmol/L,"3,5","4,5",,,0.27,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
12335,PC over PEEP (Set) (2),69,,69,,,,PC boven PEEP (Set) (2),PC boven PEEP( Set) (2),RESP-Servo Machinegegevens(2),175,cmH2O,cm[H2O],,,,,0.33,APPROVED,EQUAL,Patrick Thoral,1690321245781,42527137,Airway pressure delta setting Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1690321244060,
19618,Target value APTT lower value,2947,,2947,,,,Streef waarde APTT onderwaarde,Streef waarde APTT onderwaarde,Medisch dashboard en statusvoering,3,sec,s,,,,,0.36,APPROVED,INEXACT,Patrick Thoral,1691265255595,602639,Target parameter,Observation,MAPS_TO,,Patrick Thoral,1691259756972,
19618,Target value APTT lower value,2947,,2947,,,,Streef waarde APTT onderwaarde,Streef waarde APTT onderwaarde,Medisch dashboard en statusvoering,3,sec,s,,,,,0.36,APPROVED,INEXACT,Patrick Thoral,1691265255595,3013466,aPTT in Blood by Coagulation assay,Measurement,MAPS_TO_TYPE,,Patrick Thoral,1691265241895,
16637,MCA_Serum_Creatinine,55,,55,,,,MCA_Serum_Kreatinine,MCA_Serum_Kreatinine,APACHE II MICV,99,µmol/l,umol/L,,,,,0.29,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
19333,Physio Mobility Shoulder ab adduction left 3,1990,,1990,,,,Fysio Mobiliteit Schouder ab adductie links 3,Fysio Mobiliteit Schouder ab adductie links 3,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,20,,,0.61,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19284,Physio Mobility Ankle eversion left inversion 3,1978,,1978,,,,Fysio Mobiliteit Enkel eversie inversie links 3,Fysio Mobiliteit Enkel eversie inversie links 3,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,60,,,0.59,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19619,Target value APTT upper value,2942,,2942,,,,Streef waarde APTT bovenwaarde,Streef waarde APTT bovenwaarde,Medisch dashboard en statusvoering,3,sec,s,,,,,0.40,APPROVED,INEXACT,Patrick Thoral,1691265254877,602639,Target parameter,Observation,MAPS_TO,,Patrick Thoral,1691259722284,
19619,Target value APTT upper value,2942,,2942,,,,Streef waarde APTT bovenwaarde,Streef waarde APTT bovenwaarde,Medisch dashboard en statusvoering,3,sec,s,,,,,0.40,APPROVED,INEXACT,Patrick Thoral,1691265254877,3013466,aPTT in Blood by Coagulation assay,Measurement,MAPS_TO_TYPE,,Patrick Thoral,1691265238703,
16638,MCA_Serum_Sodium,43,,43,,,,MCA_Serum_Natrium,MCA_Serum_Natrium,APACHE II MICV,97,mmol/l,mmol/L,136,146,,,0.26,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
20706,CRRT prefilter replacement fluid volume current,13477,,906298,,,,MFT_Predilutievolume_huidig,MFT_Predilutievolume_huidig,CVVH-MFT,8,l,L,,,,,0.50,APPROVED,UNMATCHED,Patrick Thoral,1686435407109,0,Unmapped,,MAPS_TO,,,0,
16639,MCA_Temperature,21,,21,,,,MCA_Temperatuur,MCA_Temperatuur,APACHE II MICV,59,°C,Cel,,,,,0.43,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
12336,positive end expiratory pressure setting,72,,72,LOINC,20077-4,Positive end expiratory pressure setting Ventilator,PEEP (Set) (2),PEEP (Set) (2),RESP-Servo Machinegegevens(2),175,cmH2O,cm[H2O],,,,,1.00,APPROVED,EQUAL,Patrick Thoral,1689546383079,3022875,Positive end expiratory pressure setting Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1689546381190,
19285,Physio Mobility Ankle eversion right inversion 3,1983,,1983,,,,Fysio Mobiliteit Enkel eversie inversie rechts 3,Fysio Mobiliteit Enkel eversie inversie rechts 3,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,60,,,0.59,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19334,Physio Mobility Shoulder ab adduction right 3,1993,,1993,,,,Fysio Mobiliteit Schouder ab adductie rechts 3,Fysio Mobiliteit Schouder ab adductie rechts 3,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,20,,,0.62,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
16686,peritoneal pressure,209,,209,SNOMED CT,51497000,Intraabdominal pressure,Peritoneaal druk,Peritoneaal druk,DIVERSEN,173,mmHg,mm[Hg],,,,,0.73,APPROVED,EQUAL,Patrick Thoral,1689548601252,4197273,Intraabdominal pressure,Observation,MAPS_TO,,Patrick Thoral,1689548599524,
12337,PS over P high (Set) (2),11,,11,,,,PS boven P hoog (Set) (2),PS boven P hoog (Set) (2),RESP-Servo Machinegegevens(2),175,cmH2O,cm[H2O],,,,,0.29,APPROVED,EQUAL,Patrick Thoral,1690321194445,3000461,Pressure support setting Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1690321193548,
19708,Ultrasound ICARUS ClinicalEventID,383,,383,,,,Echografie ICARUS KlinischEventID,Echografie ICARUS KlinischEventID,Echografie ICARUS,0,None,,,,,,0.51,APPROVED,EQUAL,Patrick Thoral,1691179408680,37209046,PoC (point of care) ultrasonography of thorax,Procedure,MAPS_TO,,Patrick Thoral,1691179401148,
16691,Fistula Stand,373,,373,,,,Fistel Stand,Fistel/Stand,VB-Fistel,6,ml,mL,,,,,0.81,APPROVED,UNMATCHED,Patrick Thoral,1686486215155,0,Unmapped,,MAPS_TO,cumulative output,,0,
12338,PS above PEEP (Set) (2),2,,2,,,,PS boven PEEP (Set) (2),PS boven PEEP (Set) (2),RESP-Servo Machinegegevens(2),175,cmH2O,cm[H2O],,,,,0.36,APPROVED,EQUAL,Patrick Thoral,1690321092200,3000461,Pressure support setting Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1690321090230,
20707,CRRT prefilter replacement fluid volume total,13484,,906320,,,,MFT_Predilutievolume_totaal,MFT_Predilutievolume_totaal,CVVH-MFT,8,l,L,,,,,0.51,APPROVED,EQUIVALENT,Patrick Thoral,1686435203861,45769788,Substitution volume,Observation,MAPS_TO,CRRT (not intermittent hemodialysis),Patrick Thoral,1686434073495,
20707,CRRT prefilter replacement fluid volume total,13484,,906320,,,,MFT_Predilutievolume_totaal,MFT_Predilutievolume_totaal,CVVH-MFT,8,l,L,,,,,0.51,APPROVED,EQUIVALENT,Patrick Thoral,1686435203861,4129930,Before the filter,Observation,MAPS_TO_TYPE,CRRT (not intermittent hemodialysis),Patrick Thoral,1686434129374,
12342,T peep (Set) (2),2,,2,,,,T peep (Set) (2),T peep (Set) (2),RESP-Servo Machinegegevens(2),3,sec,s,,,,,0.38,APPROVED,EQUAL,Patrick Thoral,1690321124808,36306099,Low pressure hold time setting Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1690321123556,
19286,Physio Mobility Ankle eversion right inversion 1,1983,,1983,,,,Fysio Mobiliteit Enkel eversie inversie rechts 1,Fysio Mobiliteit Enkel eversie inversie rechts 1,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,30,,,0.60,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
16800,GRIP - BtnAcceptGripAdvicePressed,65377,,65377,,,,GRIP - BtnAcceptGripAdvicePressed,GRIP - BtnAcceptGripAdvicePressed,Glucose-Management,0,None,,,,,,0.29,APPROVED,UNMATCHED,Patrick Thoral,1686481080334,0,Unmapped,,MAPS_TO,,,0,
19335,Physio Mobility Shoulder exo internal rotation left 1,1989,,1989,,,,Fysio Mobiliteit Schouder exo endorotatie links 1,Fysio Mobiliteit Schouder exo endorotatie links 1,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,90,,,0.58,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
12345,Trigger Sensitivity (Set) (2),10,,10,,,,Triggergevoeligheid (Set) (2),Triggergevoeligheid (Set) (2),RESP-Servo Machinegegevens(2),175,cmH2O,cm[H2O],,,,,0.46,APPROVED,EQUAL,Patrick Thoral,1690321175931,36303561,Inflation trigger flow setting Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1690321175258,
16801,GRIP - BtnNotAcceptGripAdvicePressed,2823,,2823,,,,GRIP - BtnNotAcceptGripAdvicePressed,GRIP - BtnNotAcceptGripAdvicePressed,Glucose-Management,0,None,,,,,,0.27,APPROVED,UNMATCHED,Patrick Thoral,1690325114632,0,Unmapped,,MAPS_TO,,,0,
19721,ICARUS LV fractional shortening in PLAX,292,,292,,,,ICARUS LV fractional shortening in PLAX,ICARUS LV fractional shortening in PLAX,Echografie ICARUS,191,Geen,,,,,,0.39,APPROVED,EQUAL,Patrick Thoral,1691179333118,3018616,Left ventricular Fractional shortening minor axis by US.M-mode,Measurement,MAPS_TO,,Patrick Thoral,1691179330872,
19287,Physio Mobility Ankle eversion right inversion 2,1990,,1990,,,,Fysio Mobiliteit Enkel eversie inversie rechts 2,Fysio Mobiliteit Enkel eversie inversie rechts 2,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,30,,,0.60,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19750,NICE Apache III Score,818,,818,,,,NICE Apache III Score,NICE Apache III Score,Apache III,191,Geen,,,,,,0.90,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
16802,GRIP - InsulinAdviceRate,87788,,87788,,,,GRIP - InsulinAdviceRate,GRIP - InsulinAdviceRate,Glucose-Management,46,ml/uur,mL/h,,,,,0.41,APPROVED,UNMATCHED,Patrick Thoral,1686479089898,0,Unmapped,,MAPS_TO,,,0,
20708,CRRT postfilter replacement fluid volume current,13579,,900237,,,,MFT_Postdilutievolume_huidig,MFT_Postdilutievolume_huidig,CVVH-MFT,8,l,L,,,,,0.46,APPROVED,UNMATCHED,Patrick Thoral,1686435403454,0,Unmapped,,MAPS_TO,,,0,
12348,respiratory rate measurement,52,,52,LOINC,19840-8,Breath rate spontaneous and mechanical --on ventilator,Ademfreq.(2),Ademfreq.(2),RESP-Servo Patiëntgegevens(2),15,/min,/min,,,,,0.84,APPROVED,EQUAL,Patrick Thoral,1689549225074,3007646,Breath rate spontaneous and mechanical --on ventilator,Measurement,MAPS_TO,,Patrick Thoral,1689549224164,
19292,Physio Mobility Hip ab adduction left 1,1988,,1988,,,,Fysio Mobiliteit Heup ab adductie links 1,Fysio Mobiliteit Heup ab adductie links 1,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,60,,,0.56,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19336,Physio Mobility Shoulder exo internal rotation left 2,1992,,1992,,,,Fysio Mobiliteit Schouder exo endorotatie links 2,Fysio Mobiliteit Schouder exo endorotatie links 2,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,90,,,0.58,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
12350,CO2 min prod (2),47,,47,,,,CO2 min prod (2),VCO2 (2),RESP-Servo Patiëntgegevens(2),24,ml/min,mL/min,,,,,0.46,APPROVED,EQUAL,Patrick Thoral,1686499734999,21490580,Carbon dioxide production (VCO2) in Respiratory system,Measurement,MAPS_TO,,Patrick Thoral,1686499733506,
16805,GRIP - Insulin Actual Rate,85285,,85285,,,,GRIP - InsulinActualRate,GRIP - InsulinActualRate,Glucose-Management,46,ml/uur,mL/h,,,,,0.40,APPROVED,UNMATCHED,Patrick Thoral,1686479093244,0,Unmapped,,MAPS_TO,,,0,
19921,urine output from left sided ureteral splint,503,,503,LOINC,9187-6,Urine output,UrineSplint Li,UrineSplint Li,VB-Urine,6,ml,mL,,,,,0.59,APPROVED,INEXACT,Patrick Thoral,1686488035598,3014315,Urine output,Measurement,MAPS_TO,,<auto>,1686356279881,
16808,GRIP - GlucLastValue,90443,,90443,,,,GRIP - GlucLastValue,GRIP - GlucLastValue,Glucose-Management,97,mmol/l,mmol/L,,,,,0.24,APPROVED,UNMATCHED,Patrick Thoral,1686479028259,0,Unmapped,,MAPS_TO,,,0,
12352,CO2 tidal production (2),47,,47,,,,CO2 tidal productie (2),VTCO2 (2),RESP-Servo Patiëntgegevens(2),6,ml,mL,,,,,0.53,APPROVED,INEXACT,Patrick Thoral,1690323309859,21490580,Carbon dioxide production (VCO2) in Respiratory system,Measurement,MAPS_TO,,<auto>,1686356280231,
19293,Physio Mobility Hip ab adduction left 2,1990,,1990,,,,Fysio Mobiliteit Heup ab adductie links 2,Fysio Mobiliteit Heup ab adductie links 2,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,60,,,0.55,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
20709,CRRT postfilter replacement fluid volume total,13584,,900252,,,,MFT_Postdilutievolume_totaal,MFT_Postdilutievolume_totaal,CVVH-MFT,8,l,L,,,,,0.47,APPROVED,EQUIVALENT,Patrick Thoral,1686435389954,45769788,Substitution volume,Observation,MAPS_TO,,Patrick Thoral,1686435326782,
20709,CRRT postfilter replacement fluid volume total,13584,,900252,,,,MFT_Postdilutievolume_totaal,MFT_Postdilutievolume_totaal,CVVH-MFT,8,l,L,,,,,0.47,APPROVED,EQUIVALENT,Patrick Thoral,1686435389954,4136124,After the filter,Observation,MAPS_TO_TYPE,,Patrick Thoral,1686435344564,
16809,GRIP - GRIP activated,94735,,94735,,,,GRIP - GRIPactivated,GRIP - GRIPactivated,Glucose-Management,0,None,,,,,,0.45,APPROVED,UNMATCHED,Patrick Thoral,1686479011807,0,Unmapped,,MAPS_TO,"Glucose Regulation for Intensive care Patients (Vogelzang M, Zijlstra F, Nijsten MW. Design and implementation of a GRIP: a computerized glucose control system at a surgical intensive care unit. BMC Med Inform Decis Mak 2005;5:38.)",,0,
12354,End exp. pressure (2),51,,51,,,,Eind exp. druk (2),PEEP (2),RESP-Servo Patiëntgegevens(2),175,cmH2O,cm[H2O],,,,,0.33,APPROVED,EQUAL,Patrick Thoral,1690323394360,21490855,PEEP Respiratory system --on ventilator,Measurement,MAPS_TO,,Patrick Thoral,1690323391904,
19337,Physio Mobility Shoulder exo internal rotation left 3,1989,,1989,,,,Fysio Mobiliteit Schouder exo endorotatie links 3,Fysio Mobiliteit Schouder exo endorotatie links 3,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,90,,,0.58,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19922,urine output from right sided ureteral splint,810,,810,LOINC,9187-6,Urine output,UrineSplint Re,UrineSplint Re,VB-Urine,6,ml,mL,,,,,0.58,APPROVED,INEXACT,Patrick Thoral,1686488036282,3014315,Urine output,Measurement,MAPS_TO,,<auto>,1686356281242,
19294,Physio Mobility Hip ab adduction right 1,1988,,1988,,,,Fysio Mobiliteit Heup ab adductie rechts 1,Fysio Mobiliteit Heup ab adductie rechts 1,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,60,,,0.56,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
16813,GRIP - Insulin Resistance,2559,,2559,,,,GRIP - InsulinResistance,GRIP - InsulinResistance,Glucose-Management,0,None,,,,,,0.48,APPROVED,UNMATCHED,Patrick Thoral,1690325114632,0,Unmapped,,MAPS_TO,,,0,
19943,phase angle,729,,729,,,,Phase angle,Phase angle,Bio-impedantie,204,°,deg,5,9,,,0.74,APPROVED,UNMATCHED,Patrick Thoral,1690324258944,0,Unmapped,,MAPS_TO,,,0,
19944,Reactance (Xc),733,,733,,,,Reactance (Xc),Reactance (Xc),Bio-impedantie,339,Ohm,Ohm,,,,,0.19,APPROVED,UNMATCHED,Patrick Thoral,1690324258944,0,Unmapped,,MAPS_TO,,,0,
12356,end tidal carbon dioxide partial pressure,381,,381,LOINC,19891-1,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,End tidal CO2 concentratie (2),EtCO2 (2),RESP-Servo Patiëntgegevens(2),173,mmHg,mm[Hg],,,,,1.00,APPROVED,EQUAL,Patrick Thoral,1689549116102,3035357,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,Measurement,MAPS_TO,,Patrick Thoral,1689549058571,
19295,Physio Mobility Hip ab adduction right 2,1990,,1990,,,,Fysio Mobiliteit Heup ab adductie rechts 2,Fysio Mobiliteit Heup ab adductie rechts 2,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,60,,,0.56,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19945,Resistance (R),734,,734,,,,Resistance (R),Resistance (R),Bio-impedantie,339,Ohm,Ohm,,,,,0.48,APPROVED,UNMATCHED,Patrick Thoral,1690324258944,0,Unmapped,,MAPS_TO,,,0,
20710,CRRT prefilter replacement fluid rate setting,13605,,829771,,,,MFT_Predilutieflow (ingesteld),MFT_Predilutieflow (ingesteld),CVVH-MFT,46,ml/uur,mL/h,,,,,0.54,APPROVED,EQUAL,Patrick Thoral,1686435516735,1988543,Pre-filter replacement fluid rate Renal replacement therapy circuit,Measurement,MAPS_TO,,Patrick Thoral,1686435514443,
