sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,ADD_INFO:ordercategoryid,ADD_INFO:ordercategoryname,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
9265,6D lab. Long beam (Tue + Fri),164,,6D Lab. Langeligger (Di + Vr),73,Opdr. Laboratorium afname,0.17,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9363,Transthoracic echocardiography (TTE),219,,Transthoracale echocardiografie (TTE),81,Opdr. Circulatie,0.78,APPROVED,EQUAL,Patrick Thoral,1695766515730,4335825,Transthoracic echocardiography,Procedure,MAPS_TO,,<auto>,1685919515249,
12417,Hypothermia resuscitation T = 0,30,,Hypothermie reanimatie T = 0,73,Opdr. Laboratorium afname,0.45,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
10606,HI schedule T=6,2210,,HI-schema T=6,73,Opdr. Laboratorium afname,0.19,APPROVED,EQUAL,Patrick Thoral,1695766186970,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766182142,
19605,Schedule MDO meeting,2,,MDO bespreking plannen,86,Opdr. Psycho-sociaal,0.56,APPROVED,UNMATCHED,Patrick Thoral,1695849775819,0,Unmapped,,MAPS_TO,,,0,
9487,EVD connect slot,92,,EVD verbinden insteekplaats,104,Opdr. Verzorging,0.33,APPROVED,EQUAL,Patrick Thoral,1695853260953,37397191,Neurological system care management,Procedure,MAPS_TO,,Patrick Thoral,1695853259762,
9364,X-Command Circulation,9111,,X-Opdr.Circulatie,81,Opdr. Circulatie,0.37,APPROVED,EQUAL,Patrick Thoral,1695763029944,4254351,Circulatory care management,Procedure,MAPS_TO,,Patrick Thoral,1685924909060,
9266,6D lab. Emergency patient,79,,6D Lab. Spoedpatiënt,73,Opdr. Laboratorium afname,0.43,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
10607,HI schedule D=1,274,,HI-schema D=1,73,Opdr. Laboratorium afname,0.19,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9267,Lab. CCH-VAT T = 2,8108,,Lab. CCH-VAT  T = 2,73,Opdr. Laboratorium afname,0.19,APPROVED,EQUAL,Patrick Thoral,1695766244382,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766241185,
9488,Fixing hands (wristbands),248,,Fixeren handen (polsbanden),87,Opdr. Houding & Beweging,0.28,APPROVED,EQUAL,Patrick Thoral,1695842125790,4302381,Physical restraint,Procedure,MAPS_TO,,Patrick Thoral,1695841874627,
9488,Fixing hands (wristbands),248,,Fixeren handen (polsbanden),87,Opdr. Houding & Beweging,0.28,APPROVED,EQUAL,Patrick Thoral,1695842125790,45772568,Wrist restraint,Device,MAPS_TO,,Patrick Thoral,1695841925528,
12418,Hypothermia resuscitation T = 2,22,,Hypothermie reanimatie T = 2,73,Opdr. Laboratorium afname,0.46,APPROVED,EQUAL,Patrick Thoral,1695766000474,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765996344,
9365,X-Job gastrointestinal,8354,,X-Opdr. gastro-Intestinaal,84,Opdr. Gastro-Intestinaal,0.55,APPROVED,EQUAL,Patrick Thoral,1695765030940,4043018,Procedure on digestive system,Procedure,MAPS_TO,,Patrick Thoral,1695765029798,
10608,HI schedule D=2,48,,HI-schema D=2,73,Opdr. Laboratorium afname,0.19,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
19661,Determine pain score,88461,,Pijnscore bepalen,83,Opdr. Neurologisch,0.39,APPROVED,EQUAL,Patrick Thoral,1685920878746,4021323,Pain assessment,Procedure,MAPS_TO,,Patrick Thoral,1685920876447,
9268,Lab. CCH-VAT T = 6,7983,,Lab. CCH-VAT   T = 6,73,Opdr. Laboratorium afname,0.19,APPROVED,EQUAL,Patrick Thoral,1695766244382,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766241185,
10609,HI schedule D=4,67,,HI-schema D=4,73,Opdr. Laboratorium afname,0.19,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9269,Lab. CCH-VAT T = 0,8331,,Lab. CCH-VAT  T = 0,73,Opdr. Laboratorium afname,0.19,APPROVED,EQUAL,Patrick Thoral,1695766244382,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766241185,
12419,Hypothermia resuscitation T = 26,18,,Hypothermie reanimatie T = 26,73,Opdr. Laboratorium afname,0.44,APPROVED,EQUAL,Patrick Thoral,1695766000474,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765996344,
9366,X-Job Posture & Movement,18180,,X-Opdr. Houding & Beweging,87,Opdr. Houding & Beweging,0.36,APPROVED,EQUAL,Patrick Thoral,1685923566014,4041848,Positioning patient,Procedure,MAPS_TO,,Patrick Thoral,1685923564084,
19663,Research Nasal culture COUrSe,1450,,Research Neuskweek COUrSe,74,Opdr. Kweken afnemen,0.39,APPROVED,EQUAL,Patrick Thoral,1695839862912,37117051,Nasal culture for bacteria,Measurement,MAPS_TO,,Patrick Thoral,1695839845238,
9489,Fix with rest band + fences,68,,Fixeren met onrustband + hekken,87,Opdr. Houding & Beweging,0.37,APPROVED,EQUAL,Patrick Thoral,1695842184355,4302381,Physical restraint,Procedure,MAPS_TO,,Patrick Thoral,1695841904093,
9489,Fix with rest band + fences,68,,Fixeren met onrustband + hekken,87,Opdr. Houding & Beweging,0.37,APPROVED,EQUAL,Patrick Thoral,1695842184355,37397188,Trunk restraint,Device,MAPS_TO,,Patrick Thoral,1695842181725,
9270,Decrease blood gas,29209,,Bloedgas afnemen,73,Opdr. Laboratorium afname,0.55,APPROVED,EQUIVALENT,Patrick Thoral,1685922876262,4138399,Arterial specimen collection for laboratory test,Procedure,MAPS_TO,,Patrick Thoral,1685922874625,
10611,Start HI schedule,211,,HI-schema starten,81,Opdr. Circulatie,0.43,APPROVED,EQUAL,Patrick Thoral,1695841457551,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695841456350,
19664,Research Sputum culture COUrSe,1315,,Research Sputumkweek COUrSe,74,Opdr. Kweken afnemen,0.43,APPROVED,EQUAL,Patrick Thoral,1695839944154,4015189,Microbial culture of sputum,Measurement,MAPS_TO,,Patrick Thoral,1695839876632,
9367,X-Job Skin to be determined,2152,,X-Opdr. Huid nader te bepalen,101,Opdr. Huid,0.31,APPROVED,EQUAL,Patrick Thoral,1695831081295,4040401,Procedure on skin,Procedure,MAPS_TO,,Patrick Thoral,1695831080658,
10614,Syringe pump change < 2.0 ml/hr,679,,Spuitpomp < 2.0 ml/uur verschonen,90,Opdr. Lijnen/Catheter/Drains,0.33,APPROVED,EQUAL,Patrick Thoral,1695846322233,4299593,Infusion care management,Procedure,MAPS_TO,,Patrick Thoral,1695846321422,
9216,Decrease pentobarbital levels,20,,Pentobarbitalspiegel afnemen,73,Opdr. Laboratorium afname,0.34,APPROVED,EQUAL,Patrick Thoral,1695766000474,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765996344,
12420,Hypothermia resuscitation T = 72,13,,Hypothermie reanimatie T = 72,73,Opdr. Laboratorium afname,0.43,APPROVED,EQUAL,Patrick Thoral,1695766000474,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765996344,
9490,Fix fracture when turning,271,,Fractuur fixeren bij draaien,87,Opdr. Houding & Beweging,0.46,APPROVED,EQUAL,Patrick Thoral,1695841698917,4145643,Procedures relating to splintage and immobilization,Procedure,MAPS_TO,,Patrick Thoral,1695841698188,
10616,Boussignac,17,,Boussignac,82,Opdr. Respiratie,0.41,APPROVED,EQUAL,Patrick Thoral,1695850021373,40486624,Non-invasive positive pressure ventilation,Procedure,MAPS_TO,,Patrick Thoral,1695850020221,
19736,Determine RASS score,51,,RASS score bepalen,83,Opdr. Neurologisch,0.40,APPROVED,EQUAL,Patrick Thoral,1695846649157,40480653,Assessment of consciousness level,Procedure,MAPS_TO,,Patrick Thoral,1695846647773,
9217,Remove ancotil level,5,,Ancotilspiegel afnemen,73,Opdr. Laboratorium afname,0.38,APPROVED,EQUAL,Patrick Thoral,1695765917454,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765911569,
9368,X-command Neurological,5708,,X-opdr. Neurologisch,83,Opdr. Neurologisch,0.54,APPROVED,EQUAL,Patrick Thoral,1695768037252,4203094,Neurological therapy,Procedure,MAPS_TO,,<auto>,1685919527587,
10617,Using capnography,89,,Capnografie gebruiken,82,Opdr. Respiratie,0.43,APPROVED,EQUAL,Patrick Thoral,1695851907749,46271394,Assessment of respiratory status using monitoring device,Procedure,MAPS_TO,,Patrick Thoral,1695851906640,
9218,Other lab tests,5327,,Overige labafname's,73,Opdr. Laboratorium afname,0.40,APPROVED,EQUAL,Patrick Thoral,1695766244382,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766241185,
19737,Determine EMV score,1437,,EMV score bepalen,83,Opdr. Neurologisch,0.29,APPROVED,EQUAL,Patrick Thoral,1695846429765,4285575,Glasgow coma testing and evaluation,Procedure,MAPS_TO,,Patrick Thoral,1695846429023,
9369,X-Job Infection,1601,,X-Opdr. Infectie,88,Opdr. Infectie,0.36,APPROVED,EQUAL,Patrick Thoral,1695842308784,4298121,Infection control procedure,Procedure,MAPS_TO,,Patrick Thoral,1695842308097,
12421,Start Command Set Hypothermia CPR SET2,42,,Start Opdrachtenset Hypothermie reanismatie SET2,89,Opdr. Overig,0.41,APPROVED,EQUAL,Patrick Thoral,1695848995881,4203429,Induction of hypothermia,Procedure,MAPS_TO,,Patrick Thoral,1695848995080,
9493,Determine Intrinsic PEEP and Airtrap,101,,Intrinsic PEEP en Airtrap bepalen,82,Opdr. Respiratie,0.32,APPROVED,EQUIVALENT,Patrick Thoral,1695850699149,4297085,Respiratory tract evaluation,Procedure,MAPS_TO,,Patrick Thoral,1695850696184,
19889,TR band control,296,,TR-band controle,81,Opdr. Circulatie,0.44,APPROVED,EQUAL,Patrick Thoral,1695763019076,4074342,Checking dressing for leakage,Procedure,MAPS_TO,,Patrick Thoral,1695763018384,
10621,Nursing contact isolation,164,,Contactisolatie  verplegen,88,Opdr. Infectie,0.71,APPROVED,EQUAL,Patrick Thoral,1695842211204,4077521,Isolation nursing,Procedure,MAPS_TO,,Patrick Thoral,1695842210470,
9222,Do cross-match,361,,Kruisproef afnemen,73,Opdr. Laboratorium afname,0.31,APPROVED,EQUAL,Patrick Thoral,1695766077224,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766075350,
9370,X-Job Psycho-social,14076,,X-Opdr. Psycho-sociaal,86,Opdr. Psycho-sociaal,0.48,APPROVED,EQUAL,Patrick Thoral,1685923877756,4217020,Psychosocial procedure,Procedure,MAPS_TO,,Patrick Thoral,1685923876800,
9496,Give jaw,2,,Kinnebak geven,82,Opdr. Respiratie,0.40,APPROVED,EQUAL,Patrick Thoral,1695851054527,4138487,Face tent oxygen delivery device,Device,MAPS_TO,,Patrick Thoral,1695851048998,
12428,Protocol lab. decrease,1150,,Protocol lab. afname,73,Opdr. Laboratorium afname,0.35,APPROVED,EQUAL,Patrick Thoral,1695766128574,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766122508,
10733,Flush jejunal tube,320,,Jejunumsonde doorspuiten,84,Opdr. Gastro-Intestinaal,0.62,APPROVED,EQUAL,Patrick Thoral,1695764533438,2007961,Irrigation of gastrostomy or enterostomy,Procedure,MAPS_TO,,Patrick Thoral,1695764532554,
16093,Defibrillation 360 J,13,,Defibrillatie 360 J,81,Opdr. Circulatie,0.47,APPROVED,EQUAL,Patrick Thoral,1695759015763,4177682,Biphasic defibrillation procedure,Procedure,MAPS_TO,,Patrick Thoral,1695759006905,
9224,Take PT/CT,25637,,PT/CT afnemen,73,Opdr. Laboratorium afname,0.47,APPROVED,INEXACT,Patrick Thoral,1685923119712,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1685923116972,
9497,Provide oxygen cap,32,,Zuurstofkapje geven,82,Opdr. Respiratie,0.53,APPROVED,EQUAL,Patrick Thoral,1695851488176,4323763,Oxygen administration by Venturi mask,Procedure,MAPS_TO,,Patrick Thoral,1695851487182,
12437,Complete score form,1072,,Scoreformulier invullen,89,Opdr. Overig,0.43,APPROVED,EQUAL,Patrick Thoral,1695838898727,40484194,Assessment using assessment scale,Measurement,MAPS_TO,,Patrick Thoral,1695838898003,
9371,X-COMMAND Radiology,311,,X-OPDR.Radiologie,103,Opdr. Radiologie,0.28,APPROVED,EQUAL,Patrick Thoral,1695767477537,4180938,Imaging,Procedure,MAPS_TO,,Patrick Thoral,1695767474447,
16094,Cardioversion 50 J,108,,Cardioversie 50 J,81,Opdr. Circulatie,0.75,APPROVED,EQUAL,Patrick Thoral,1695757925465,4078793,Direct current cardioversion,Procedure,MAPS_TO,,Patrick Thoral,1695757919884,
10737,Exit Moisture Balance_OLD_1,2330,,Vochtbalans afsluiten_OLD_1,89,Opdr. Overig,0.15,APPROVED,EQUAL,Patrick Thoral,1695847226684,46272483,Assessment of fluid balance,Procedure,MAPS_TO,,Patrick Thoral,1695847225950,
9231,6D Daily Standard,1928,,6D Dagelijks Standaard,73,Opdr. Laboratorium afname,0.38,APPROVED,EQUAL,Patrick Thoral,1695766128574,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766122508,
12134,Decrease zinc level,153,,Zinkspiegel afnemen,73,Opdr. Laboratorium afname,0.55,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9498,Deep nasal oxygenation,7,,Diep nasaal zuurstof geven,82,Opdr. Respiratie,0.48,APPROVED,EQUAL,Patrick Thoral,1695839264699,4216695,Intranasal oxygen therapy,Procedure,MAPS_TO,,<auto>,1685919530030,
9372,X-Sinus,274,,X-Sinus,103,Opdr. Radiologie,0.25,APPROVED,EQUAL,Patrick Thoral,1695767455088,4056685,Plain X-ray facial sinuses,Procedure,MAPS_TO,,Patrick Thoral,1695767454261,
9247,EEG,74,,EEG,83,Opdr. Neurologisch,0.61,APPROVED,EQUAL,Patrick Thoral,1695840759946,4181917,Electroencephalogram,Procedure,MAPS_TO,,<auto>,1685919520946,
9248,EMG,11,,EMG,83,Opdr. Neurologisch,0.58,APPROVED,EQUAL,Patrick Thoral,1695840769783,4179815,Electromyography,Procedure,MAPS_TO,,Patrick Thoral,1695840768893,
10742,X-Job CVVH,1179,,X-Opdr. CVVH,105,Opdr. CVVH,0.42,APPROVED,UNMATCHED,Patrick Thoral,1695764071413,0,Unmapped,,MAPS_TO,,,0,
