sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:source_concept,ADD_INFO:itemid,ADD_INFO:item,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,ADD_INFO:valueid,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
12130-2,From other department,26849,,26849,Van andere afdeling,12130,PatiëntWijzeVanOpname,Wijze van opname,Anamnese-Patientgegevens,0,2,0.63,APPROVED,EQUAL,Patrick Thoral,1711413809184,36307912,Hospital ward,Meas Value,MAPS_TO,,Patrick Thoral,1711413805428,
14562-7,Tooth damage,4,,4,Gebitsbeschadiging,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,7,0.64,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
14562-8,Hypoxia,36,,36,Hypoxie,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,8,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12130-3,Through First Aid,11236,,11236,Via Eerste Hulp,12130,PatiëntWijzeVanOpname,Wijze van opname,Anamnese-Patientgegevens,0,3,0.71,APPROVED,EQUAL,Patrick Thoral,1711414242611,45884373,Emergency room,Meas Value,MAPS_TO,,Patrick Thoral,1711414240089,
17009-16,"Fistula/abscess, surgery for (not inflammatory bowel disease)",21,,21,"Fistula/abscess, surgery for (not inflammatory bowel disease)",17009,APACHEIV Post-operative gastro-intestinal,APACHEIV Post-operative gastro-intestinal,APACHE IV Diagnosen,0,16,0.52,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
14562-10,Otherwise,21,,21,Anders,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,10,0.66,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
19635-6,Response to pain stimulus,218,,218,Reactie op pijnprikkel,19635,E_EMV_NICE_24uur,E_EMV_NICE_24uur,NICE-Overig,0,6,0.85,APPROVED,EQUAL,Patrick Thoral,1709161260907,45883351,Eye opening to pain,Meas Value,MAPS_TO,,Patrick Thoral,1709161260114,
17009-17,Gastrostomy,4,,4,Gastrostomy,17009,APACHEIV Post-operative gastro-intestinal,APACHEIV Post-operative gastro-intestinal,APACHE IV Diagnosen,0,17,1.00,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17038-52,"Extremity/multiple trauma, surgery for",5,,5,"Extremity/multiple trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,52,0.41,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17004-18,Nontraumatic coma due to anoxia/ischemia,8,,8,Nontraumatic coma due to anoxia/ischemia,17004,APACHEIV Non-operative neurologic,APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,18,0.37,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
14562-11,Bleeding,5,,5,Bloeding,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,11,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12130-4,Via First Heart Aid,488,,488,Via Eerste Harthulp,12130,PatiëntWijzeVanOpname,Wijze van opname,Anamnese-Patientgegevens,0,4,0.73,APPROVED,EQUAL,Patrick Thoral,1711414609915,45879101,Emergency Department,Meas Value,MAPS_TO,,Patrick Thoral,1711414607340,
12132-1,Dutch,2960,,2960,Nederlands,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,1,0.70,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12132-2,English,197,,197,Engels,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,2,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
14562-12,Laryngeal/pharyngeal edema,8,,8,Larynx/pharynx oedeem,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,12,0.58,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12132-3,German,38,,38,Duits,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,3,0.85,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
19635-7,Response to verbal stimulus,679,,679,Reactie op verbale prikkel,19635,E_EMV_NICE_24uur,E_EMV_NICE_24uur,NICE-Overig,0,7,0.79,APPROVED,EQUAL,Patrick Thoral,1709161246300,45880465,Eye opening to verbal command,Meas Value,MAPS_TO,,Patrick Thoral,1709161245594,
17038-53,"Face only trauma, surgery for",1,,1,"Face only trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,53,0.50,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12132-4,French,23,,23,Frans,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,4,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12132-5,Spanish,40,,40,Spaans,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,5,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17004-19,"Overdose, alcohols (bethanol, methanol, ethylene glycol)",23,,23,"Overdose, alcohols (bethanol, methanol, ethylene glycol)",17004,APACHEIV Non-operative neurologic,APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,19,0.45,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
19635-8,Spontaneous response,14830,,14830,Spontane reactie,19635,E_EMV_NICE_24uur,E_EMV_NICE_24uur,NICE-Overig,0,8,0.78,APPROVED,EQUAL,Patrick Thoral,1709161204389,45880466,Eyes open spontaneously,Meas Value,MAPS_TO,,Patrick Thoral,1709161203669,
14562-13,Accidental Deletion,7,,7,Accidentele verwijdering,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,13,0.79,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12132-6,Italian,16,,16,Italiaans,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,6,0.67,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12132-7,Chinese,5,,5,Chinees,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,7,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
14565-52,.Fill in,2,,2,.Vul in,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,52,0.44,APPROVED,UNMATCHED,Patrick Thoral,1711314676669,0,Unmapped,,MAPS_TO,,,0,
19636-7,No reaction,1438,,1438,Geen reactie,19636,M_EMV_NICE_24uur,M_EMV_NICE_24uur,NICE-Overig,0,7,1.00,APPROVED,EQUAL,Patrick Thoral,1709161610381,45878992,No motor response,Meas Value,MAPS_TO,,Patrick Thoral,1709161609536,
17038-54,"Face/multiple trauma, surgery for",4,,4,"Face/multiple trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,54,0.47,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
19636-8,stretch,61,,61,Strekken,19636,M_EMV_NICE_24uur,M_EMV_NICE_24uur,NICE-Overig,0,8,0.92,APPROVED,EQUAL,Patrick Thoral,1709161731247,45878993,Extension to pain,Meas Value,MAPS_TO,,Patrick Thoral,1709161730447,
12132-9,Otherwise,178,,178,Anders,12132,PatiëntSpreektaal,Spreektaal,Anamnese-Patientgegevens,0,9,0.66,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12290-1,Stand-by,192,,192,Stand By,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,1,0.59,APPROVED,EQUAL,Patrick Thoral,1710319742462,36310823,Off,Meas Value,MAPS_TO,,Patrick Thoral,1710319739677,
17009-18,"GI Abscess/cyst-primary, surgery for (for complications of GI surgery see below)",9,,9,"GI Abscess/cyst-primary, surgery for (for complications of GI surgery see below)",17009,APACHEIV Post-operative gastro-intestinal,APACHEIV Post-operative gastro-intestinal,APACHE IV Diagnosen,0,18,0.28,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17004-20,"Overdose, analgesic (aspirin, cetaminophen)",7,,7,"Overdose, analgesic (aspirin, cetaminophen)",17004,APACHEIV Non-operative neurologic,APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,20,0.42,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12290-2,PC,3251481,,274822,PC ,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,2,0.63,APPROVED,EQUIVALENT,Patrick Thoral,1711076268090,36308445,Controlled ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320056185,
12290-2,PC,3251481,,274822,PC ,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,2,0.63,APPROVED,EQUIVALENT,Patrick Thoral,1711076268090,37151337,Continuous mandatory ventilation pressure-control inflation-type,Procedure,MAPS_TO,,Patrick Thoral,1711076265415,
12290-3,VC,295588,,20487,VC ,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,3,0.57,APPROVED,EQUIVALENT,Patrick Thoral,1711076287282,36308445,Controlled ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320056185,
12290-3,VC,295588,,20487,VC ,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,3,0.57,APPROVED,EQUIVALENT,Patrick Thoral,1711076287282,37152413,Continuous mandatory ventilation volume-control inflation-type,Procedure,MAPS_TO,,Patrick Thoral,1711076285035,
12290-4,PRVC,5,,5,PRVC ,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,4,0.80,APPROVED,EQUIVALENT,Patrick Thoral,1711076718025,36308445,Controlled ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320056185,
12290-4,PRVC,5,,5,PRVC ,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,4,0.80,APPROVED,EQUIVALENT,Patrick Thoral,1711076718025,37151339,Continuous mandatory ventilation volume-targeted pressure-control inflation-type,Procedure,MAPS_TO,,Patrick Thoral,1711076716376,
17038-55,"Head (CNS) only trauma, surgery for",6,,6,"Head (CNS) only trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,55,0.42,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12290-5,USA,2,,2,VS,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,5,0.77,APPROVED,EQUIVALENT,Patrick Thoral,1711075873984,36308106,Assist-control ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320497519,
12290-5,USA,2,,2,VS,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,5,0.77,APPROVED,EQUIVALENT,Patrick Thoral,1711075873984,4055375,Assisted controlled mandatory ventilation,Procedure,MAPS_TO,,Patrick Thoral,1711075872334,
14565-53,Department of another hospital,4,,4,Afdeling ander ziekenhuis,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,53,0.73,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12290-6,SIMV(VC)+PS,19032,,1132,SIMV(VC)+PS,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,6,0.19,APPROVED,EQUIVALENT,Patrick Thoral,1711075981308,36310227,Mandatory minute ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320514532,
12290-6,SIMV(VC)+PS,19032,,1132,SIMV(VC)+PS,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,6,0.19,APPROVED,EQUIVALENT,Patrick Thoral,1711075981308,37152363,Synchronized intermittent mandatory ventilation - volume control pressure-support inflation,Procedure,MAPS_TO,,Patrick Thoral,1711075978723,
12290-7,SIMV(PC)+PS,136392,,5833,SIMV(PC)+PS,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,7,0.28,APPROVED,EQUIVALENT,Patrick Thoral,1711075957251,37152364,Synchronized intermittent mandatory ventilation - pressure-control pressure-support inflation,Procedure,MAPS_TO,,Patrick Thoral,1711075954719,
19636-9,Decoration reflex (abnormal bending),67,,67,Decortatie reflex (abnormaal buigen),19636,M_EMV_NICE_24uur,M_EMV_NICE_24uur,NICE-Overig,0,9,0.48,APPROVED,EQUAL,Patrick Thoral,1709161723583,45879885,Flexion to pain,Meas Value,MAPS_TO,,Patrick Thoral,1709161722975,
14565-54,Otherwise,6,,6,Anders,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,54,0.66,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12290-8,PS/CPAP,9877035,,770496,PS/CPAP,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,8,0.54,APPROVED,EQUIVALENT,Patrick Thoral,1711076017740,45880365,Assisted ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320579335,
12290-8,PS/CPAP,9877035,,770496,PS/CPAP,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,8,0.54,APPROVED,EQUIVALENT,Patrick Thoral,1711076017740,37154096,Pressure support ventilation,Procedure,MAPS_TO,,Patrick Thoral,1711076011491,
17038-57,"Head/chest trauma, surgery for",3,,3,"Head/chest trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,57,0.44,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12290-9,Bi Vente,8885,,628,Bi Vente,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,9,0.53,APPROVED,EQUIVALENT,Patrick Thoral,1711076068675,45880365,Assisted ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320584954,
12290-9,Bi Vente,8885,,628,Bi Vente,12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,9,0.53,APPROVED,EQUIVALENT,Patrick Thoral,1711076068675,4055262,Dual pressure spontaneous ventilation support,Procedure,MAPS_TO,,Patrick Thoral,1711076066956,
17004-21,"Overdose, antidepressants (cyclic, lithium)",38,,38,"Overdose, antidepressants (cyclic, lithium)",17004,APACHEIV Non-operative neurologic,APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,21,0.46,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
14565-55,CCU/ICU other hospital,8,,8,CCU/ICU ander ziekenhuis,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,55,0.38,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17009-19,"GI Obstruction, surgery for (including lysis of adhesions)",53,,53,"GI Obstruction, surgery for (including lysis of adhesions)",17009,APACHEIV Post-operative gastro-intestinal,APACHEIV Post-operative gastro-intestinal,APACHE IV Diagnosen,0,19,0.48,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12290-10,PC (No Trig),962827,,118110,PC (No trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,10,0.38,APPROVED,EQUIVALENT,Patrick Thoral,1711076593313,36308445,Controlled ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320056185,
12290-10,PC (No Trig),962827,,118110,PC (No trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,10,0.38,APPROVED,EQUIVALENT,Patrick Thoral,1711076593313,37151337,Continuous mandatory ventilation pressure-control inflation-type,Procedure,MAPS_TO,,Patrick Thoral,1711076592650,
14565-56,House,4,,4,Huis,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,56,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17038-59,"Head/face trauma, surgery for",2,,2,"Head/face trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,59,0.47,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12290-11,VC (No Trig),11,,11,VC (No trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,11,0.37,APPROVED,EQUIVALENT,Patrick Thoral,1711076520642,36308445,Controlled ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320056185,
12290-11,VC (No Trig),11,,11,VC (No trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,11,0.37,APPROVED,EQUIVALENT,Patrick Thoral,1711076520642,37152413,Continuous mandatory ventilation volume-control inflation-type,Procedure,MAPS_TO,,Patrick Thoral,1711076517929,
19636-10,Spastic reaction (withdrawal),237,,237,Spastische reactie (terugtrekken),19636,M_EMV_NICE_24uur,M_EMV_NICE_24uur,NICE-Overig,0,10,0.68,APPROVED,EQUAL,Patrick Thoral,1709161690993,45882047,Withdrawal from pain,Meas Value,MAPS_TO,,Patrick Thoral,1709161688960,
14565-60,VU department ICAR,67,,67,VU afdeling ICAR,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,60,0.60,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12290-12,PRVC (No Trig),25,,6,PRVC (No trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,12,0.49,APPROVED,EQUIVALENT,Patrick Thoral,1711076564249,36308445,Controlled ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320056185,
12290-12,PRVC (No Trig),25,,6,PRVC (No trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,12,0.49,APPROVED,EQUIVALENT,Patrick Thoral,1711076564249,37151339,Continuous mandatory ventilation volume-targeted pressure-control inflation-type,Procedure,MAPS_TO,,Patrick Thoral,1711076561034,
17004-22,"Overdose, other toxin, poison or drug",54,,54,"Overdose, other toxin, poison or drug",17004,APACHEIV Non-operative neurologic,APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,22,0.51,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
19636-11,Localizes pain,566,,566,Localiseert pijn,19636,M_EMV_NICE_24uur,M_EMV_NICE_24uur,NICE-Overig,0,11,0.59,APPROVED,EQUAL,Patrick Thoral,1709161636153,45880467,Localizing pain,Meas Value,MAPS_TO,,<auto>,1687037768808,
17009-20,"GI Perforation/rupture, surgery for",161,,161,"GI Perforation/rupture, surgery for",17009,APACHEIV Post-operative gastro-intestinal,APACHEIV Post-operative gastro-intestinal,APACHE IV Diagnosen,0,20,0.41,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12290-13,PS/CPAP (trig),623338,,63443,PS/CPAP (trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,13,0.42,APPROVED,EQUIVALENT,Patrick Thoral,1711075636677,45880365,Assisted ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1711075617519,
12290-13,PS/CPAP (trig),623338,,63443,PS/CPAP (trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,13,0.42,APPROVED,EQUIVALENT,Patrick Thoral,1711075636677,37154096,Pressure support ventilation,Procedure,MAPS_TO,,Patrick Thoral,1711075635381,
14565-65,VU department ISNY,2,,2,VU afdeling ISNY,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,65,0.51,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17038-60,"Head/multiple trauma, surgery for",2,,2,"Head/multiple trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,60,0.42,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12290-14,VC (trig),8,,8,VC (trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,14,0.32,APPROVED,EQUIVALENT,Patrick Thoral,1711076645825,36308445,Controlled ventilation,Meas Value,MAPS_TO,,Patrick Thoral,1710320056185,
12290-14,VC (trig),8,,8,VC (trig),12290,Ventilatie Mode (Set),Ventilatie mode,RESP-Servo Machinegegevens,0,14,0.32,APPROVED,EQUIVALENT,Patrick Thoral,1711076645825,37152413,Continuous mandatory ventilation volume-control inflation-type,Procedure,MAPS_TO,,Patrick Thoral,1711076642650,
17009-21,"GI surgery, other",99,,99,"GI surgery, other",17009,APACHEIV Post-operative gastro-intestinal,APACHEIV Post-operative gastro-intestinal,APACHE IV Diagnosen,0,21,0.65,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
19636-12,Follows verbal commands,15062,,15062,Volgt verbale commando's op,19636,M_EMV_NICE_24uur,M_EMV_NICE_24uur,NICE-Overig,0,12,0.51,APPROVED,EQUAL,Patrick Thoral,1709161457953,45880468,Obeys commands,Meas Value,MAPS_TO,,Patrick Thoral,1709161457345,
14565-66,VU department MICV,411,,411,VU afdeling MICV,14565,Verkeerde bed Ontslagbestemming,Verkeerde bed Ontslagbestemming,Patientenbestandparameters,0,66,0.52,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
