sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,ADD_INFO:item,ADD_INFO:itemid,ADD_INFO:valueid,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
18673-842,"Post-operative respiratory - Cancer oral/sinus, surgery for",2,,"Post-operative respiratory - Cancer oral/sinus, surgery for",NICE SEC APACHEIV diagnosen,18673,842,0.42,APPROVED,EQUAL,Patrick Thoral,1711244642684,4298484,Operation on oral cavity,Procedure,MAPS_TO,,Patrick Thoral,1711244641893,
18601-3,Renal transplant,348,,Renaal transplantatie,Apache II Operatief Renaal,18601,3,0.75,APPROVED,EQUAL,Patrick Thoral,1711235404288,37018761,Chronic kidney disease stage 5 with transplant,Condition,MAPS_TO,,Patrick Thoral,1711228574259,
18601-3,Renal transplant,348,,Renaal transplantatie,Apache II Operatief Renaal,18601,3,0.75,APPROVED,EQUAL,Patrick Thoral,1711235404288,4322471,Transplant of kidney,Procedure,MAPS_TO,,Patrick Thoral,1711235388660,
18612-15,Sepsis,24,,Sepsis,SEC_Apache II Operatief Cardiovasculair,18612,15,1.00,APPROVED,EQUAL,Patrick Thoral,1711245543820,132797,Sepsis,Condition,MAPS_TO,,<auto>,1685372498737,
18612-15,Sepsis,24,,Sepsis,SEC_Apache II Operatief Cardiovasculair,18612,15,1.00,APPROVED,EQUAL,Patrick Thoral,1711245543820,4012185,Cardiovascular surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711245541562,
18608-6,Neurological,174,,Neurologisch,SEC_Apache II Non-Operatief Neurologisch,18608,6,0.85,APPROVED,EQUAL,Patrick Thoral,1711230511358,376337,Disorder of nervous system,Condition,MAPS_TO,,Patrick Thoral,1709163570037,
13121-9,Gastrointestinal other,250,,Gastro-intestinaal overig,D_Algemene chirurgie_Buikchirurgie,13121,9,0.70,APPROVED,EQUAL,Patrick Thoral,1711237528117,4000610,Disorder of gastrointestinal tract,Condition,MAPS_TO,,Patrick Thoral,1685388739132,
13121-9,Gastrointestinal other,250,,Gastro-intestinaal overig,D_Algemene chirurgie_Buikchirurgie,13121,9,0.70,APPROVED,EQUAL,Patrick Thoral,1711237528117,4314251,Laparotomy,Procedure,MAPS_TO,,Patrick Thoral,1711237522092,
18671-410,Post-operative transplant - Liver transplant,2,,Post-operative transplant - Liver transplant,NICE APACHEIV diagnosen,18671,410,0.57,APPROVED,EQUAL,Patrick Thoral,1711239035466,45769564,End stage liver disease,Condition,MAPS_TO,,Patrick Thoral,1710036109002,
18671-410,Post-operative transplant - Liver transplant,2,,Post-operative transplant - Liver transplant,NICE APACHEIV diagnosen,18671,410,0.57,APPROVED,EQUAL,Patrick Thoral,1711239035466,4076862,Transplantation of liver,Procedure,MAPS_TO,,Patrick Thoral,1711239031873,
18595-3,Respiratory neoplasm,42,,Respiratoir neoplasma,Apache II Non-Operatief Respiratoir,18595,3,0.77,APPROVED,EQUAL,Patrick Thoral,1711230706764,252280,Neoplasm of respiratory tract,Condition,MAPS_TO,,<auto>,1685372499113,
18615-6,Neurological,61,,Neurologisch,SEC_Apache II Operatief Neurologisch,18615,6,0.85,APPROVED,EQUAL,Patrick Thoral,1711237750934,376337,Disorder of nervous system,Condition,MAPS_TO,,Patrick Thoral,1710024249180,
18615-6,Neurological,61,,Neurologisch,SEC_Apache II Operatief Neurologisch,18615,6,0.85,APPROVED,EQUAL,Patrick Thoral,1711237750934,4041193,Operation on nervous system,Procedure,MAPS_TO,,Patrick Thoral,1711237744952,
17017-6,"Abdomen/spinal trauma, surgery for",2,,"Abdomen/spinal trauma, surgery for",APACHEIV Post-operative trauma,17017,6,0.40,APPROVED,EQUAL,Patrick Thoral,1711248222024,440921,Traumatic injury,Condition,MAPS_TO,,Patrick Thoral,1710019623061,
17017-6,"Abdomen/spinal trauma, surgery for",2,,"Abdomen/spinal trauma, surgery for",APACHEIV Post-operative trauma,17017,6,0.40,APPROVED,EQUAL,Patrick Thoral,1711248222024,200588,Injury of abdomen,Condition,MAPS_TO,,Patrick Thoral,1710019786088,
17017-6,"Abdomen/spinal trauma, surgery for",2,,"Abdomen/spinal trauma, surgery for",APACHEIV Post-operative trauma,17017,6,0.40,APPROVED,EQUAL,Patrick Thoral,1711248222024,4095850,Spinal injury,Condition,MAPS_TO,,Patrick Thoral,1710020642727,
17017-6,"Abdomen/spinal trauma, surgery for",2,,"Abdomen/spinal trauma, surgery for",APACHEIV Post-operative trauma,17017,6,0.40,APPROVED,EQUAL,Patrick Thoral,1711248222024,4301351,Surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711246767801,
18673-595,Non-operative neurologic - Seizures (primary-no structural brain disease),26,,Non-operative neurologic - Seizures (primary-no structural brain disease),NICE SEC APACHEIV diagnosen,18673,595,0.37,APPROVED,EQUAL,Patrick Thoral,1711230545286,4197485,Epileptic seizure,Condition,MAPS_TO,,Patrick Thoral,1710027235888,
18670-86,Non-operative Cardiovascular -Coronary disease,52,,Non-operatief Cardiovasculair -Coronair lijden,NICE SEC APACHEII diagnosen,18670,86,0.56,APPROVED,EQUAL,Patrick Thoral,1711230562181,317576,Coronary arteriosclerosis,Condition,MAPS_TO,,Patrick Thoral,1710024778704,
18673-724,"Postoperative cardiovascular - Sepsis, other",2,,"Post-operative cardiovascular - Sepsis, other",NICE SEC APACHEIV diagnosen,18673,724,0.59,APPROVED,EQUAL,Patrick Thoral,1711245544619,132797,Sepsis,Condition,MAPS_TO,,Patrick Thoral,1710032564610,
18673-724,"Postoperative cardiovascular - Sepsis, other",2,,"Post-operative cardiovascular - Sepsis, other",NICE SEC APACHEIV diagnosen,18673,724,0.59,APPROVED,EQUAL,Patrick Thoral,1711245544619,4012185,Cardiovascular surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711245541562,
18673-787,"Post-operative genitourinary - Obstruction/other, surgery for (with or without ileal conduit)",3,,"Post-operative genitourinary - Obstruction/other, surgery for (with or without ileal-conduit)",NICE SEC APACHEIV diagnosen,18673,787,0.33,APPROVED,EQUAL,Patrick Thoral,1711247876189,194406,Urinary tract obstruction,Condition,MAPS_TO,,Patrick Thoral,1710033917500,
18673-787,"Post-operative genitourinary - Obstruction/other, surgery for (with or without ileal conduit)",3,,"Post-operative genitourinary - Obstruction/other, surgery for (with or without ileal-conduit)",NICE SEC APACHEIV diagnosen,18673,787,0.33,APPROVED,EQUAL,Patrick Thoral,1711247876189,4054237,"Bricker's operation, ureteroileostomy",Procedure,MAPS_TO,,Patrick Thoral,1711247861008,
17010-9,"Genitourinary surgery, other",67,,"Genitourinary surgery, other",APACHEIV Post-operative genitourinary,17010,9,0.54,APPROVED,EQUAL,Patrick Thoral,1711238351010,4171379,Disorder of the genitourinary system,Condition,MAPS_TO,,Patrick Thoral,1710019385988,
17010-9,"Genitourinary surgery, other",67,,"Genitourinary surgery, other",APACHEIV Post-operative genitourinary,17010,9,0.54,APPROVED,EQUAL,Patrick Thoral,1711238351010,4040392,Procedure on genitourinary system,Procedure,MAPS_TO,,Patrick Thoral,1711238348291,
17026-52,"Restrictive lung disease (i.e. sarcoidosis, pulmonary fibrosis)",2,,"Restrictive lung disease (i.e. sarcoidosis, pulmonary fibrosis)",SEC_APACHEIV Non-operative respiratory,17026,52,0.51,APPROVED,EQUAL,Patrick Thoral,1711230500290,4266931,Restrictive lung disease,Condition,MAPS_TO,,Patrick Thoral,1696504281909,
18604-15,Thoracic or abdominal aneurysm,15,,Thoracaal of abdominaal aneurysma,SEC_Apache II Non-Operatief Cardiovasculair,18604,15,0.73,APPROVED,EQUAL,Patrick Thoral,1711230511358,317585,Aortic aneurysm,Condition,MAPS_TO,,Patrick Thoral,1710013063931,
18671-416,"Post-operative transplant - Transplant, other",1,,"Post-operative transplant - Transplant, other",NICE APACHEIV diagnosen,18671,416,0.54,APPROVED,EQUAL,Patrick Thoral,1711249140843,37156007,End stage organ failure,Condition,MAPS_TO,,Patrick Thoral,1711249099960,
18671-416,"Post-operative transplant - Transplant, other",1,,"Post-operative transplant - Transplant, other",NICE APACHEIV diagnosen,18671,416,0.54,APPROVED,EQUAL,Patrick Thoral,1711249140843,4208341,Solid organ transplant,Procedure,MAPS_TO,,Patrick Thoral,1711249138130,
17008-6,"Aneurysm, thoracic aortic",181,,"Aneurysm, thoracic aortic",APACHEIV Post-operative cardiovascular,17008,6,0.77,APPROVED,EQUAL,Patrick Thoral,1711233740660,443622,Aneurysm of thoracic aorta,Condition,MAPS_TO,,<auto>,1685372499902,
17008-6,"Aneurysm, thoracic aortic",181,,"Aneurysm, thoracic aortic",APACHEIV Post-operative cardiovascular,17008,6,0.77,APPROVED,EQUAL,Patrick Thoral,1711233740660,4000088,Repair of thoracic aortic aneurysm,Procedure,MAPS_TO,,Patrick Thoral,1711233736049,
18602-3,Respiratory insufficiency after OR,91,,Respiratoire insufficientie na OK,Apache II Operatief Respiratoir,18602,3,0.86,APPROVED,EQUAL,Patrick Thoral,1711245168893,318459,Respiratory insufficiency,Condition,MAPS_TO,,<auto>,1685372499986,
18602-3,Respiratory insufficiency after OR,91,,Respiratoire insufficientie na OK,Apache II Operatief Respiratoir,18602,3,0.86,APPROVED,EQUAL,Patrick Thoral,1711245168893,4301351,Surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711245164813,
16642-9,Haemorrhagic shock,2,,Haemorragische shock,DMC_Algemene chirurgie_Algemeen,16642,9,1.00,APPROVED,EQUAL,Patrick Thoral,1711240006074,4148882,Hemorrhagic shock,Condition,MAPS_TO,,<auto>,1685372500051,
16642-9,Haemorrhagic shock,2,,Haemorragische shock,DMC_Algemene chirurgie_Algemeen,16642,9,1.00,APPROVED,EQUAL,Patrick Thoral,1711240006074,4301351,Surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711239990988,
17008-52,"Sepsis, others",21,,"Sepsis, other",APACHEIV Post-operative cardiovascular,17008,52,0.63,APPROVED,EQUAL,Patrick Thoral,1711245545394,132797,Sepsis,Condition,MAPS_TO,,Patrick Thoral,1696503846959,
17008-52,"Sepsis, others",21,,"Sepsis, other",APACHEIV Post-operative cardiovascular,17008,52,0.63,APPROVED,EQUAL,Patrick Thoral,1711245545394,4012185,Cardiovascular surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711245541562,
13133-3,Sepsis,684,,Sepsis,D_Interne Geneeskunde_Cardiovasculair,13133,3,1.00,APPROVED,EQUAL,Patrick Thoral,1711230662385,132797,Sepsis,Condition,MAPS_TO,,<auto>,1685372500186,
18673-845,"Post-operative respiratory - Infection/abscess, other surgery for",6,,"Post-operative respiratory - Infection/abscess, other surgery for",NICE SEC APACHEIV diagnosen,18673,845,0.42,APPROVED,EQUAL,Patrick Thoral,1711245284625,4170143,Respiratory tract infection,Condition,MAPS_TO,,Patrick Thoral,1710035818577,
18673-845,"Post-operative respiratory - Infection/abscess, other surgery for",6,,"Post-operative respiratory - Infection/abscess, other surgery for",NICE SEC APACHEIV diagnosen,18673,845,0.42,APPROVED,EQUAL,Patrick Thoral,1711245284625,4073393,Opening of chest,Procedure,MAPS_TO,,Patrick Thoral,1711245281910,
16654-9,Hematologic malignancy,2,,Hematologische maligniteit,DMC_Interne Geneeskunde_Hematologisch,16654,9,1.00,APPROVED,EQUAL,Patrick Thoral,1711230623660,4147164,Malignant tumor of lymphoid hemopoietic and related tissue,Condition,MAPS_TO,,<auto>,1685372500614,
13131-3,Subdural haematoma,62,,Subduraal haematoom,D_Neurologie_Vasculair neurologisch,13131,3,1.00,APPROVED,EQUAL,Patrick Thoral,1711246160911,4318408,Subdural hematoma,Condition,MAPS_TO,,<auto>,1685372500652,
17035-52,Ventriculostomy,5,,Ventriculostomy,SEC_APACHEIV Post-operative neurologic,17035,52,0.57,APPROVED,EQUAL,Patrick Thoral,1711242993431,440385,Obstructive hydrocephalus,Condition,MAPS_TO,,Patrick Thoral,1710012292714,
17035-52,Ventriculostomy,5,,Ventriculostomy,SEC_APACHEIV Post-operative neurologic,17035,52,0.57,APPROVED,EQUAL,Patrick Thoral,1711242993431,4122291,Cranial ventriculostomy,Procedure,MAPS_TO,,Patrick Thoral,1711242987098,
16670-15,Thoraco-abdominal aortic replacement,2,,Thoraco-abdominale aorta vervanging,DMC_Thoraxchirurgie_Aorta chirurgie,16670,15,0.58,APPROVED,EQUAL,Patrick Thoral,1711246470667,436996,Thoracoabdominal aortic aneurysm,Condition,MAPS_TO,,Patrick Thoral,1696503548880,
16670-15,Thoraco-abdominal aortic replacement,2,,Thoraco-abdominale aorta vervanging,DMC_Thoraxchirurgie_Aorta chirurgie,16670,15,0.58,APPROVED,EQUAL,Patrick Thoral,1711246470667,4199966,Repair of thoracoabdominal aortic aneurysm,Procedure,MAPS_TO,,Patrick Thoral,1711246465312,
18671-6,Non-operative cardiovascular - Cardiac arrest (with or without respiratory arrest;,2620,,Non-operative cardiovascular - Cardiac arrest (with or without respiratory arrest;,NICE APACHEIV diagnosen,18671,6,0.46,APPROVED,EQUAL,Patrick Thoral,1711230579588,4120088,Cardiac arrest with successful resuscitation,Condition,MAPS_TO,,Patrick Thoral,1685379061014,
17004-9,"Hematoma, epidural",19,,"Hematoma, epidural",APACHEIV Non-operative neurologic,17004,9,0.72,APPROVED,EQUAL,Patrick Thoral,1711230694213,4176148,Extradural intracranial hematoma,Condition,MAPS_TO,,Patrick Thoral,1710021793278,
18673-725,"Postoperative cardiovascular - Sepsis, pulmonary",2,,"Post-operative cardiovascular - Sepsis, pulmonary",NICE SEC APACHEIV diagnosen,18673,725,0.55,APPROVED,EQUAL,Patrick Thoral,1711245557929,132797,Sepsis,Condition,MAPS_TO,,Patrick Thoral,1710032564610,
18673-725,"Postoperative cardiovascular - Sepsis, pulmonary",2,,"Post-operative cardiovascular - Sepsis, pulmonary",NICE SEC APACHEIV diagnosen,18673,725,0.55,APPROVED,EQUAL,Patrick Thoral,1711245557929,4028389,Infectious disease of lung,Condition,MAPS_TO,,Patrick Thoral,1710032661251,
18673-725,"Postoperative cardiovascular - Sepsis, pulmonary",2,,"Post-operative cardiovascular - Sepsis, pulmonary",NICE SEC APACHEIV diagnosen,18673,725,0.55,APPROVED,EQUAL,Patrick Thoral,1711245557929,4012185,Cardiovascular surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711245554687,
17019-53,Cardiomyopathy,12,,Cardiomyopathy,SEC_APACHE IV Non-operative cardiovascular,17019,53,1.00,APPROVED,EQUAL,Patrick Thoral,1711230500290,321319,Cardiomyopathy,Condition,MAPS_TO,,<auto>,1685372501157,
18671-86,"Non-operative hematological - Leukemia, chronic lymphocytic",49,,"Non-operative hematological - Leukemia, chronic lymphocytic",NICE APACHEIV diagnosen,18671,86,0.64,APPROVED,EQUAL,Patrick Thoral,1711230579588,138379,"Chronic lymphoid leukemia, disease",Condition,MAPS_TO,,<auto>,1685372501158,
13129-3,TC infra tentorial,207,,TC infra tentorieel,D_Neurochirurgie _Tumor chirurgie,13129,3,0.39,APPROVED,EQUAL,Patrick Thoral,1711240719519,4116092,Intracranial tumor,Condition,MAPS_TO,,Patrick Thoral,1696503598718,
13129-3,TC infra tentorial,207,,TC infra tentorieel,D_Neurochirurgie _Tumor chirurgie,13129,3,0.39,APPROVED,EQUAL,Patrick Thoral,1711240719519,4234486,Craniectomy and excision of infratentorial brain tumor,Procedure,MAPS_TO,,Patrick Thoral,1711240716875,
18673-846,"Post-operative respiratory - Respiratory surgery, other",13,,"Post-operative respiratory - Respiratory surgery, other",NICE SEC APACHEIV diagnosen,18673,846,0.47,APPROVED,EQUAL,Patrick Thoral,1711238075489,320136,Disorder of respiratory system,Condition,MAPS_TO,,Patrick Thoral,1710035834021,
18673-846,"Post-operative respiratory - Respiratory surgery, other",13,,"Post-operative respiratory - Respiratory surgery, other",NICE SEC APACHEIV diagnosen,18673,846,0.47,APPROVED,EQUAL,Patrick Thoral,1711238075489,4306073,Operation on respiratory tract,Procedure,MAPS_TO,,Patrick Thoral,1711238073191,
18673-596,Non-operative neurologic - Subarachnoid hemorrhage/arteriovenous malformation,4,,Non-operative neurologic - Subarachnoid hemorrhage/arteriovenous malformation,NICE SEC APACHEIV diagnosen,18673,596,0.61,APPROVED,EQUAL,Patrick Thoral,1711230545286,4046364,Subarachnoid hemorrhage due to ruptured arteriovenous malformation,Condition,MAPS_TO,,<auto>,1685372501398,
18671-417,"Post-operative trauma - Abdomen only trauma, surgery for",52,,"Post-operative trauma - Abdomen only trauma, surgery for",NICE APACHEIV diagnosen,18671,417,0.56,APPROVED,EQUAL,Patrick Thoral,1711248222024,440921,Traumatic injury,Condition,MAPS_TO,,Patrick Thoral,1710015267421,
18671-417,"Post-operative trauma - Abdomen only trauma, surgery for",52,,"Post-operative trauma - Abdomen only trauma, surgery for",NICE APACHEIV diagnosen,18671,417,0.56,APPROVED,EQUAL,Patrick Thoral,1711248222024,200588,Injury of abdomen,Condition,MAPS_TO,,Patrick Thoral,1710015320171,
18671-417,"Post-operative trauma - Abdomen only trauma, surgery for",52,,"Post-operative trauma - Abdomen only trauma, surgery for",NICE APACHEIV diagnosen,18671,417,0.56,APPROVED,EQUAL,Patrick Thoral,1711248222024,4301351,Surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711246767801,
13133-9,Hypertension,127,,Hypertensie,D_Interne Geneeskunde_Cardiovasculair,13133,9,1.00,APPROVED,EQUAL,Patrick Thoral,1711230662385,316866,Hypertensive disorder,Condition,MAPS_TO,,<auto>,1685372501467,
13139-3,TTP/HUS,25,,TTP/HUS,D_Interne Geneeskunde_Hematologisch,13139,3,0.91,APPROVED,EQUAL,Patrick Thoral,1711230662385,4198102,Microangiopathic hemolytic anemia,Condition,MAPS_TO,,Patrick Thoral,1685397364808,
17019-86,Sepsis unknown,17,,"Sepsis, unknown",SEC_APACHE IV Non-operative cardiovascular,17019,86,0.63,APPROVED,EQUAL,Patrick Thoral,1711230500290,132797,Sepsis,Condition,MAPS_TO,,Patrick Thoral,1696503795126,
17028-53,Face-only trauma,1,,Face only trauma,SEC_APACHEIV Non-operative trauma,17028,53,0.43,APPROVED,EQUAL,Patrick Thoral,1711230500289,440921,Traumatic injury,Condition,MAPS_TO,,Patrick Thoral,1710018828923,
17028-53,Face-only trauma,1,,Face only trauma,SEC_APACHEIV Non-operative trauma,17028,53,0.43,APPROVED,EQUAL,Patrick Thoral,1711230500289,444191,Injury of face,Condition,MAPS_TO,,Patrick Thoral,1710018896150,
18673-792,"Postoperative genitourinary - Prostatectomy, suprapubic; for cancer",7,,"Post-operative genitourinary - Prostatectomy, suprapubic; for cancer",NICE SEC APACHEIV diagnosen,18673,792,0.35,APPROVED,EQUAL,Patrick Thoral,1711234503801,4116087,Carcinoma of prostate,Condition,MAPS_TO,,Patrick Thoral,1710034076556,
18673-792,"Postoperative genitourinary - Prostatectomy, suprapubic; for cancer",7,,"Post-operative genitourinary - Prostatectomy, suprapubic; for cancer",NICE SEC APACHEIV diagnosen,18673,792,0.35,APPROVED,EQUAL,Patrick Thoral,1711234503801,4263480,Suprapubic prostatectomy,Procedure,MAPS_TO,,Patrick Thoral,1711234501110,
17002-9,Hypoglycemia,26,,Hypoglycemia,APACHEIV  Non-operative metabolic,17002,9,1.00,APPROVED,EQUAL,Patrick Thoral,1711230694213,24609,Hypoglycemia,Condition,MAPS_TO,,<auto>,1685372501722,
17009-6,"Cancer-colon/rectal, surgery for (including abdominoperineal resections)",166,,"Cancer-colon/rectal, surgery for (including abdominoperineal resections)",APACHEIV Post-operative gastro-intestinal,17009,6,0.33,APPROVED,EQUAL,Patrick Thoral,1711235561929,37168850,Colorectal cancer,Condition,MAPS_TO,,Patrick Thoral,1711093896223,
17009-6,"Cancer-colon/rectal, surgery for (including abdominoperineal resections)",166,,"Cancer-colon/rectal, surgery for (including abdominoperineal resections)",APACHEIV Post-operative gastro-intestinal,17009,6,0.33,APPROVED,EQUAL,Patrick Thoral,1711235561929,3654354,Administration of hyperthermic antineoplastic agent into peritoneal cavity,Procedure,MAPS_TO,,Patrick Thoral,1711235508015,
17009-6,"Cancer-colon/rectal, surgery for (including abdominoperineal resections)",166,,"Cancer-colon/rectal, surgery for (including abdominoperineal resections)",APACHEIV Post-operative gastro-intestinal,17009,6,0.33,APPROVED,EQUAL,Patrick Thoral,1711235561929,4301351,Surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711235559006,
