sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
17113,Borrelia burgdorferi DNA PCR (pus),1,,1,,,,Borrelia burgdorferi DNA PCR (pus),Borrelia burgdorferi DNA PCR (pus),LAB-Viro-Micro-pus,1,0.56,UNCHECKED,UNREVIEWED,,0,3019687,Borrelia burgdorferi DNA [Presence] in Urine by Probe with amplification,Measurement,MAPS_TO,,<auto>,1687596076285,
15789,Chlamydia pneumoniae DNA PCR (nose),1,,1,,,,Chlamydia pneumoniae DNA PCR (neus),Chlamydia pneumoniae DNA PCR (neus),LAB-Viro-Micro-neus,1,0.47,UNCHECKED,UNREVIEWED,,0,1988651,Chlamydophila pneumoniae Ab panel - Serum,Measurement,MAPS_TO,,<auto>,1687596076465,
17493,Listeria monocytogenes DNA PCR (liquor),2,,2,,,,Listeria monocytogenes DNA PCR (liquor),Listeria monocytogenes DNA PCR (liquor),LAB-Viro-Micro-liquor,1,0.46,UNCHECKED,UNREVIEWED,,0,3007165,Listeria monocytogenes Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596076476,
12159,Conclusion MoDiag (blood),2,,2,,,,Conclusie MoDiag (bloed),Conclusie MoDiag (bloed),LAB-Hem-bloed,1,0.33,UNCHECKED,UNREVIEWED,,0,40762276,Hemoglobin H inclusion bodies [Presence] in Blood,Measurement,MAPS_TO,,<auto>,1687596076585,
19000,Coronavirus RNA PCR (br.-alv.lav),155,,155,,,,Coronavirus RNA PCR (br.-alv.lav),Coronavirus RNA PCR (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.23,APPROVED,INEXACT,Patrick Thoral,1696454672208,36303355,Human coronavirus RNA [Presence] in Lower respiratory specimen by NAA with probe detection,Measurement,MAPS_TO,,Patrick Thoral,1696454670621,
17115,Campylobacter jejuni IgA (blood),1,,1,,,,Campylobacter jejuni IgA (bloed),Campylobacter jejuni IgA (bloed),LAB-Viro-Micro-bloed,1,0.72,UNCHECKED,UNREVIEWED,,0,42529011,Campylobacter jejuni IgA Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596077017,
17333,HBsAg Confirmation (blood),5,,5,,,,HBsAg Confirmatie (bloed),HBsAg Confirmatie (bloed),LAB-Viro-Micro-bloed,1,0.36,UNCHECKED,UNREVIEWED,,0,3039836,Cocaine [Presence] in Blood by Confirmatory method,Measurement,MAPS_TO,,<auto>,1687596077078,
15790,Mycoplasma pneumoniae IgA (blood),52,,52,,,,Mycoplasma pneumoniae IgA (bloed),Mycoplasma pneumoniae IgA (bloed),LAB-Viro-Micro-serum,1,0.65,UNCHECKED,UNREVIEWED,,0,3016357,Mycoplasma pneumoniae IgA Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596077481,
17116,Campylobacter jejuni IgG (blood),1,,1,,,,Campylobacter jejuni IgG (bloed),Campylobacter jejuni IgG (bloed),LAB-Viro-Micro-bloed,1,0.72,UNCHECKED,UNREVIEWED,,0,3042731,Campylobacter jejuni IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596077529,
19001,Rhinovirus RNA PCR (br.-alv.lav),155,,155,,,,Rhinovirus RNA PCR (br.-alv.lav),Rhinovirus RNA PCR (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.28,APPROVED,INEXACT,Patrick Thoral,1696454684668,1175203,Rhinovirus RNA [Presence] in Lower respiratory specimen by NAA with probe detection,Measurement,MAPS_TO,,Patrick Thoral,1696454683954,
17117,Campylobacter jejuni IgM (blood),1,,1,,,,Campylobacter jejuni IgM (bloed),Campylobacter jejuni IgM (bloed),LAB-Viro-Micro-bloed,1,0.72,UNCHECKED,UNREVIEWED,,0,3045304,Campylobacter jejuni IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596078100,
12160,Conclusion MoDiag (bone marrow),6,,6,,,,Conclusie MoDiag (beenmerg),Conclusie MoDiag (beenmerg),LAB-Hem-beenmerg,1,0.28,UNCHECKED,UNREVIEWED,,0,3048879,Bone marrow aspiration report,Measurement,MAPS_TO,,<auto>,1687596078267,
17502,M. avium DNA PCR (feces),1,,1,,,,M. avium DNA PCR (faeces),M. avium DNA PCR (faeces),LAB-Viro-Micro-faeces,1,0.25,UNCHECKED,UNREVIEWED,,0,3003706,Mycobacterium avium ss paratuberculosis DNA [Presence] in Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596078283,
15791,Mycoplasma pneumoniae IgG (blood),52,,52,,,,Mycoplasma pneumoniae IgG (bloed),Mycoplasma pneumoniae IgG (bloed),LAB-Viro-Micro-serum,1,0.66,UNCHECKED,UNREVIEWED,,0,3012621,Mycoplasma pneumoniae IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596078299,
17336,"Hebdomadis, Hebdomadis, Hebdomadis (blood)",6,,6,,,,"Hebdomadis, Hebdomadis, Hebdomadis (bloed)","Hebdomadis, Hebdomadis, Hebdomadis (bloed)",LAB-Viro-Micro-bloed,1,0.40,UNCHECKED,UNREVIEWED,,0,3036320,Leptospira interrogans sv Hebdomadis Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596078574,
19003,Coronavirus RNA PCR (biopsy),1,,1,,,,Coronavirus RNA PCR (biopt),Coronavirus RNA PCR (biopt),LAB-Viro-Micro-biopt,1,0.32,UNCHECKED,UNREVIEWED,,0,40766161,Human coronavirus RNA panel - Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596078752,
12166,1 EK-4 Verz (blood),45,,45,,,,1 EK-4 Verz (bloed),1 EK-4 Verz (bloed),LAB-Divers-bloed,1,0.21,UNCHECKED,UNREVIEWED,,0,3029486,Vertical displacement Cheek - left,Measurement,MAPS_TO,,<auto>,1687596078964,
15792,Adenovirus DNA PCR (nose),3,,3,,,,Adenovirus DNA PCR (neus),Adenovirus DNA PCR (neus),LAB-Viro-Micro-neus,1,0.34,UNCHECKED,UNREVIEWED,,0,3034465,Adenovirus sp identified in Specimen by Organism specific culture,Measurement,MAPS_TO,,<auto>,1687596078991,
17337,Helicobacter pylori IgG (blood),4,,4,,,,Helicobacter pylori IgG (bloed),Helicobacter pylori IgG (bloed),LAB-Viro-Micro-bloed,1,0.62,UNCHECKED,UNREVIEWED,,0,3013058,Helicobacter pylori IgG Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596079422,
12167,2 EK-4 Verz (blood),6,,6,,,,2 EK-4 Verz (bloed),2 EK-4 Verz (bloed),LAB-Divers-bloed,1,0.21,UNCHECKED,UNREVIEWED,,0,3029486,Vertical displacement Cheek - left,Measurement,MAPS_TO,,<auto>,1687596079426,
19007,Rhinovirus RNA PCR (biopsy),1,,1,,,,Rhinovirus RNA PCR (biopt),Rhinovirus RNA PCR (biopt),LAB-Viro-Micro-biopt,1,0.39,UNCHECKED,UNREVIEWED,,0,3040406,Rhinovirus RNA [Identifier] in Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596079488,
15872,Anti-IgG CMV (blood),1,,1,,,,Anti-IgG CMV (bloed),Anti-IgG CMV (bloed),LAB-Viro-Micro-serum,1,0.41,UNCHECKED,UNREVIEWED,,0,3017918,Cytomegalovirus IgG Ab [Titer] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596079733,
12168,1 EC-6 Verz (blood),59,,59,,,,1 EG-6 Verz (bloed),1 EG-6 Verz (bloed),LAB-Divers-bloed,1,0.21,UNCHECKED,UNREVIEWED,,0,3030193,HPA-6 [Type] in Blood,Measurement,MAPS_TO,,<auto>,1687596079972,
17120,"Canicola, canicola, Dog Utrecht IV (blood)",6,,6,,,,"Canicola, canicola, Hond Utrecht IV (bloed)","Canicola, canicola, Hond Utrecht IV (bloed)",LAB-Viro-Micro-bloed,1,0.14,UNCHECKED,UNREVIEWED,,0,3038908,pH of Blood product unit,Measurement,MAPS_TO,,<auto>,1687596079979,
19010,Borrelia IgG (blood),24,,24,,,,Borrelia IgG (bloed),Borrelia IgG (bloed),LAB-Viro-Micro-bloed,1,0.38,UNCHECKED,UNREVIEWED,,0,3049488,Borrelia valaisiana IgG Ab [Presence] in Serum by Immunoblot,Measurement,MAPS_TO,,<auto>,1687596080087,
17512,M. genus DNA PCR (ascitic fluid),4,,4,,,,M. genus DNA PCR (ascitesvocht),M. genus DNA PCR (ascitesvocht),LAB-Viro-Micro-ascites,1,0.24,UNCHECKED,UNREVIEWED,,0,36659867,Cytomegalovirus DNA panel - Amniotic fluid by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596080132,
12169,2 EC-6 Verz (blood),16,,16,,,,2 EG-6 Verz (bloed),2 EG-6 Verz (bloed),LAB-Divers-bloed,1,0.20,UNCHECKED,UNREVIEWED,,0,3030193,HPA-6 [Type] in Blood,Measurement,MAPS_TO,,<auto>,1687596080498,
17124,CD2 MC (bone marrow),1,,1,,,,CD2 MC (beenmerg),CD2 MC (beenmerg),LAB-Imm-beenmerg,1,0.49,UNCHECKED,UNREVIEWED,,0,3029933,CD2 blasts/100 blasts in Bone marrow,Measurement,MAPS_TO,,<auto>,1687596080575,
17340,Hepatitis E RNA PCR (blood),9,,9,,,,Hepatitis E RNA PCR (bloed),Hepatitis E RNA PCR (bloed),LAB-Viro-Micro-bloed,1,0.39,UNCHECKED,UNREVIEWED,,0,36660288,Hepatitis E virus RNA panel - Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596080588,
19011,Borrelia IgM (blood),24,,24,,,,Borrelia IgM (bloed),Borrelia IgM (bloed),LAB-Viro-Micro-bloed,1,0.36,UNCHECKED,UNREVIEWED,,0,3001772,Borrelia hermsii IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596080606,
15873,Varicella-Zoster virus DNA PCR (blood),3,,3,,,,Varicella-Zoster virus DNA PCR (bloed),Varicella-Zoster virus DNA PCR (bloed),LAB-Viro-Micro-edta-bloed,1,0.40,UNCHECKED,UNREVIEWED,,0,3005197,Varicella zoster virus DNA [Presence] in Blood by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596080614,
12170,3 EK-4 Verz (blood),4,,4,,,,3 EK-4 Verz (bloed),3 EK-4 Verz (bloed),LAB-Divers-bloed,1,0.21,UNCHECKED,UNREVIEWED,,0,3029486,Vertical displacement Cheek - left,Measurement,MAPS_TO,,<auto>,1687596080870,
17129,CD25 MC (bone marrow),1,,1,,,,CD25 MC (beenmerg),CD25 MC (beenmerg),LAB-Imm-beenmerg,1,0.51,UNCHECKED,UNREVIEWED,,0,3030289,CD25 blasts/100 blasts in Bone marrow,Measurement,MAPS_TO,,<auto>,1687596081088,
12171,3 EC-6 Verz (blood),8,,8,,,,3 EG-6 Verz (bloed),3 EG-6 Verz (bloed),LAB-Divers-bloed,1,0.20,UNCHECKED,UNREVIEWED,,0,3030193,HPA-6 [Type] in Blood,Measurement,MAPS_TO,,<auto>,1687596081234,
17341,Hepatitis E RNA PCR (feces),2,,2,,,,Hepatitis E RNA PCR (faeces),Hepatitis E RNA PCR (faeces),LAB-Viro-Micro-faeces,1,0.38,UNCHECKED,UNREVIEWED,,0,36660288,Hepatitis E virus RNA panel - Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596081438,
17134,CD34 MC (bone marrow),1,,1,,,,CD34 MC (beenmerg),CD34 MC (beenmerg),LAB-Imm-beenmerg,1,0.53,UNCHECKED,UNREVIEWED,,0,3030279,CD34 blasts/100 blasts in Bone marrow,Measurement,MAPS_TO,,<auto>,1687596081521,
17513,M. genus DNA PCR (br.scopy),11,,11,,,,M. genus DNA PCR (br.scopie),M. genus DNA PCR (br.scopie),LAB-Viro-Micro-br.scopie,1,0.32,UNCHECKED,UNREVIEWED,,0,3028758,Eye Refraction comment Autorefractor.sciascopy,Measurement,MAPS_TO,,<auto>,1687596081556,
17042,1st HLA screen (blood),11,,11,,,,1ste HLA screen (bloed),1ste HLA screen (bloed),LAB-Hem-bloed,1,0.20,UNCHECKED,UNREVIEWED,,0,3000043,HLA-DPw4 [Presence],Measurement,MAPS_TO,,<auto>,1687596081575,
12183,1 HB-6 Verz (blood),24,,24,,,,1 HB-6 Verz (bloed),1 HB-6 Verz (bloed),LAB-Divers-bloed,1,0.20,UNCHECKED,UNREVIEWED,,0,3030193,HPA-6 [Type] in Blood,Measurement,MAPS_TO,,<auto>,1687596081718,
19017,Other antibodies/antigens (blood),2,,2,,,,Overige antistoffen/antigenen (bloed),Overige antistoffen/antigenen (bloed),LAB-Viro-Micro-bloed,1,0.32,UNCHECKED,UNREVIEWED,,0,3036472,Blood group antibodies identified in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596081750,
17139,CD45 MC (bone marrow),1,,1,,,,CD45 MC (beenmerg),CD45 MC (beenmerg),LAB-Imm-beenmerg,1,0.40,UNCHECKED,UNREVIEWED,,0,3029857,CD45 (Lymphs) cells/100 cells in Bone marrow,Measurement,MAPS_TO,,<auto>,1687596081857,
17346,Hepatitis E virus IgG (blood),21,,21,,,,Hepatitis E virus IgG (bloed),Hepatitis E virus IgG (bloed),LAB-Viro-Micro-bloed,1,0.56,UNCHECKED,UNREVIEWED,,0,3003867,Hepatitis E virus IgG Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596081931,
17043,2 Ca-fos crystals (urine),6,,6,,,,2 Ca-fos kristallen (urine),2 Ca-fos kristallen (urine),LAB-Urine-urine,1,0.34,UNCHECKED,UNREVIEWED,,0,36303858,Crystals [Presence] in Urine,Measurement,MAPS_TO,,<auto>,1687596082051,
12184,2 HB-6 Verz (blood),7,,7,,,,2 HB-6 Verz (bloed),2 HB-6 Verz (bloed),LAB-Divers-bloed,1,0.20,UNCHECKED,UNREVIEWED,,0,3030193,HPA-6 [Type] in Blood,Measurement,MAPS_TO,,<auto>,1687596082166,
17148,"Celledoni, Celledoni, Celledoni (blood)",6,,6,,,,"Celledoni, Celledoni, Celledoni (bloed)","Celledoni, Celledoni, Celledoni (bloed)",LAB-Imm-bloed,1,0.22,UNCHECKED,UNREVIEWED,,0,1989517,Leptospira weilii sv Celledoni Ab [Titer] in Serum by Agglutination,Measurement,MAPS_TO,,<auto>,1687596082250,
19019,Coronavirus RNA PCR (blood),2,,2,,,,Coronavirus RNA PCR (bloed),Coronavirus RNA PCR (bloed),LAB-Viro-Micro-bloed,1,0.34,UNCHECKED,UNREVIEWED,,0,40766161,Human coronavirus RNA panel - Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596082349,
17347,Hepatitis E virus IgM (blood),21,,21,,,,Hepatitis E virus IgM (bloed),Hepatitis E virus IgM (bloed),LAB-Viro-Micro-bloed,1,0.56,UNCHECKED,UNREVIEWED,,0,3002222,Hepatitis E virus IgM Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596082457,
12185,3 HB-6 Verz (blood),13,,13,,,,3 HB-6 Verz (bloed),3 HB-6 Verz (bloed),LAB-Divers-bloed,1,0.20,UNCHECKED,UNREVIEWED,,0,3030193,HPA-6 [Type] in Blood,Measurement,MAPS_TO,,<auto>,1687596082641,
17044,2nd HLA + conf. (blood),6,,6,,,,2de HLA + conf. (bloed),2de HLA + conf. (bloed),LAB-Hem-bloed,1,0.30,UNCHECKED,UNREVIEWED,,0,36660558,Celiac disease IgA and HLA typing and serology panel - Blood or Tissue,Measurement,MAPS_TO,,<auto>,1687596082684,
19021,Rhinovirus RNA PCR (blood),2,,2,,,,Rhinovirus RNA PCR (bloed),Rhinovirus RNA PCR (bloed),LAB-Viro-Micro-bloed,1,0.42,UNCHECKED,UNREVIEWED,,0,3040406,Rhinovirus RNA [Identifier] in Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596082820,
17516,M. genus DNA PCR (faeces),1,,1,,,,M. genus DNA PCR (faeces),M. genus DNA PCR (faeces),LAB-Viro-Micro-faeces,1,0.27,UNCHECKED,UNREVIEWED,,0,1988961,Enterococcus faecalis DNA [Presence] in Urine by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596082893,
17156,Chlamydia trachomatis DNA PCR (nasophar.wat),1,,1,,,,Chlamydia trachomatis DNA PCR (nasophar.wat),Chlamydia trachomatis DNA PCR (nasophar.wat),LAB-Viro-Micro-nasophar.wat,1,0.42,UNCHECKED,UNREVIEWED,,0,3030574,Chlamydia trachomatis Ag [Presence] in Nasopharynx,Measurement,MAPS_TO,,<auto>,1687596082948,
12200,Comment (other),3,,3,,,,Opmerking  (overig),Opmerking  (overig),LAB-Divers-diversen,1,0.40,UNCHECKED,UNREVIEWED,,0,3004691,Service comment,Measurement,MAPS_TO,,<auto>,1687596083021,
17352,Histoplasm Ig total (blood),1,,1,,,,Histoplasma Ig totaal (bloed),Histoplasma Ig totaal (bloed),LAB-Hem-bloed,1,0.33,UNCHECKED,UNREVIEWED,,0,3034092,Cytoplasmic Ig cells/100 cells in Blood,Measurement,MAPS_TO,,<auto>,1687596083039,
19028,Hepatitis A IgG (blood),108,,108,,,,Hepatitis A IgG (bloed),Hepatitis A IgG (bloed),LAB-Viro-Micro-serum,1,0.41,APPROVED,EQUAL,Patrick Thoral,1696455577315,3006631,Hepatitis A virus IgG Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596083310,
12201,Note: (bone marrow),4,,4,,,,Opmerking:  (beenmerg),Opmerking:  (beenmerg),LAB-Divers-beenmerg,1,0.27,UNCHECKED,UNREVIEWED,,0,3048879,Bone marrow aspiration report,Measurement,MAPS_TO,,<auto>,1687596083336,
17046,ADAMST13 antibody (blood),5,,5,,,,ADAMST13 antistof (bloed),ADAMST13 antistof (bloed),LAB-Hem-bloed,1,0.29,UNCHECKED,UNREVIEWED,,0,3048286,Blood group antibody score,Measurement,MAPS_TO,,<auto>,1687596083416,
17353,HIV blot (blood),3,,3,,,,HIV blot (bloed),HIV blot (bloed),LAB-Viro-Micro-bloed,1,0.39,UNCHECKED,UNREVIEWED,,0,3011236,HIV identified in Blood by Organism specific culture,Measurement,MAPS_TO,,<auto>,1687596083549,
17157,Chlamydia trachomatis DNA PCR (punctate),1,,1,,,,Chlamydia trachomatis DNA PCR (punctaat),Chlamydia trachomatis DNA PCR (punctaat),LAB-Viro-Micro-punctaat,1,0.48,UNCHECKED,UNREVIEWED,,0,3032034,Chlamydia trachomatis Ag [Presence] in Anal,Measurement,MAPS_TO,,<auto>,1687596083595,
12202,Note: (bone marrow),14,,14,,,,Opmerking: (beenmerg),Opmerking: (beenmerg),LAB-Divers-beenmerg,1,0.27,UNCHECKED,UNREVIEWED,,0,3048879,Bone marrow aspiration report,Measurement,MAPS_TO,,<auto>,1687596083642,
17052,Adenovirus DNA PCR (pus),1,,1,,,,Adenovirus DNA PCR (pus),Adenovirus DNA PCR (pus),LAB-Viro-Micro-pus,1,0.34,UNCHECKED,UNREVIEWED,,0,3034465,Adenovirus sp identified in Specimen by Organism specific culture,Measurement,MAPS_TO,,<auto>,1687596083926,
12204,Note (blood),3,,3,,,,Opmerking  (bloed),Opmerking: (bloed),LAB-Divers-bloed,1,0.31,UNCHECKED,UNREVIEWED,,0,21490586,Blood temperature,Measurement,MAPS_TO,,<auto>,1687596083949,
19042,Coronavirus RNA PCR (other),12,,12,,,,Coronavirus RNA PCR (overig),Coronavirus RNA PCR (overig),LAB-Viro-Micro-diversen,1,0.37,UNCHECKED,UNREVIEWED,,0,40766161,Human coronavirus RNA panel - Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596084161,
17159,Chlamydia trachomatis DNA PCR (vagina),5,,5,,,,Chlamydia trachomatis DNA PCR (vagina),Chlamydia trachomatis DNA PCR (vagina),LAB-Viro-Micro-vagina,1,0.50,UNCHECKED,UNREVIEWED,,0,3027360,Chlamydia trachomatis Ag [Presence] in Vaginal fluid,Measurement,MAPS_TO,,<auto>,1687596084197,
17354,HIV rapid test (blood),55,,55,,,,HIV sneltest (bloed),HIV sneltest (bloed),LAB-Viro-Micro-bloed,1,0.31,UNCHECKED,UNREVIEWED,,0,21490586,Blood temperature,Measurement,MAPS_TO,,<auto>,1687596084221,
12205,Note (blood),269,,269,,,,Opmerking   (bloed),Opmerking   (bloed),LAB-Divers-bloed,1,0.31,UNCHECKED,UNREVIEWED,,0,21490586,Blood temperature,Measurement,MAPS_TO,,<auto>,1687596084239,
17518,M. genus DNA PCR (joint pointate),9,,9,,,,M. genus DNA PCR (gewrichtspuntaat),M. genus DNA PCR (gewrichtspuntaat),LAB-Viro-Micro-diversen,1,0.17,UNCHECKED,UNREVIEWED,,0,1617071,Morganella morganii DNA [Presence] in Synovial fluid by NAA with non-probe detection,Measurement,MAPS_TO,,<auto>,1687596084347,
17357,HLA-DR MC (bone marrow),1,,1,,,,HLA-DR MC (beenmerg),HLA-DR MC (beenmerg),LAB-Imm-beenmerg,1,0.51,UNCHECKED,UNREVIEWED,,0,3028765,HLA-DR [Type],Measurement,MAPS_TO,,<auto>,1687596084521,
17053,Amorphous crystals (urine),446,,446,,,,Amorf kristallen (urine),Amorf kristallen (urine),LAB-Urine-urine,1,0.46,UNCHECKED,UNREVIEWED,,0,3015527,Urate crystals amorphous [#/volume] in Urine sediment,Measurement,MAPS_TO,,<auto>,1687596084528,
12206,Note: (blood),117,,117,,,,Opmerking: (bloed),Opmerking  (bloed),LAB-Divers-bloed,1,0.22,UNCHECKED,UNREVIEWED,,0,21490586,Blood temperature,Measurement,MAPS_TO,,<auto>,1687596084614,
19044,Hepatitis A RNA PCR (other),2,,2,,,,Hepatitis A RNA PCR (overig),Hepatitis A RNA PCR (overig),LAB-Viro-Micro-diversen,1,0.34,UNCHECKED,UNREVIEWED,,0,36660288,Hepatitis E virus RNA panel - Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596084963,
12208,Note: (blood),1,,1,,,,Opmerking:  (bloed),Opmerking:  (bloed),LAB-Divers-bloed,1,0.22,UNCHECKED,UNREVIEWED,,0,21490586,Blood temperature,Measurement,MAPS_TO,,<auto>,1687596084981,
17173,Chlamydia pneumoniae DNA PCR (blood),5,,5,,,,Chlamydia pneumoniae DNA PCR (bloed),Chlamydia pneumoniae DNA PCR (bloed),LAB-Viro-Micro-bloed,1,0.46,UNCHECKED,UNREVIEWED,,0,1988651,Chlamydophila pneumoniae Ab panel - Serum,Measurement,MAPS_TO,,<auto>,1687596085034,
17360,hMPV RNA PCR (biopsy),1,,1,,,,hMPV RNA PCR (biopt),hMPV RNA PCR (biopt),LAB-Viro-Micro-biopt,1,0.50,UNCHECKED,UNREVIEWED,,0,3038522,Human metapneumovirus RNA [Identifier] in Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596085075,
17054,anisochromasia (blood),831,,831,,,,anisochromasie (bloed),anisochromasie (bloed),LAB-Hem-bloed,1,0.46,UNCHECKED,UNREVIEWED,,0,3040197,Anisochromasia [Presence] in Blood by Light microscopy,Measurement,MAPS_TO,,<auto>,1687596085175,
12209,Note: (blood),11,,11,,,,Opmerking:   (bloed),Opmerking:   (bloed),LAB-Divers-bloed,1,0.22,UNCHECKED,UNREVIEWED,,0,21490586,Blood temperature,Measurement,MAPS_TO,,<auto>,1687596085335,
19049,Rhinovirus RNA PCR (other),12,,12,,,,Rhinovirus RNA PCR (overig),Rhinovirus RNA PCR (overig),LAB-Viro-Micro-diversen,1,0.44,UNCHECKED,UNREVIEWED,,0,3040406,Rhinovirus RNA [Identifier] in Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596085564,
17361,hMPV RNA PCR (blood),2,,2,,,,hMPV RNA PCR (bloed),hMPV RNA PCR (bloed),LAB-Viro-Micro-bloed,1,0.52,UNCHECKED,UNREVIEWED,,0,3038522,Human metapneumovirus RNA [Identifier] in Specimen by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596085589,
