sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
15145,Diet - Strictly liquid,541,,Dieet - Streng vloeibaar,0.46,APPROVED,EQUAL,Patrick Thoral,1685911980832,763071,Clear liquid diet,Procedure,MAPS_TO,,Patrick Thoral,1685911977208,
15144,Diet - 40cc/hr,207,,Dieet - 40cc/uur,0.19,APPROVED,EQUAL,Patrick Thoral,1695463035856,4056973,Dietary regime,Procedure,MAPS_TO,,Patrick Thoral,1695463034878,
13810,Fixture external jaws,46,,Fixatuur externe bekken,0.38,APPROVED,EQUAL,Patrick Thoral,1695511940098,4040907,External fixation device,Device,MAPS_TO,,Patrick Thoral,1695511260379,
13810,Fixture external jaws,46,,Fixatuur externe bekken,0.38,APPROVED,EQUAL,Patrick Thoral,1695511940098,4041251,Bone structure of pelvis,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695511358779,
9671,CPAP,2953,,CPAP,0.61,APPROVED,EQUAL,Patrick Thoral,1685874633992,607086,Positive pressure ventilation,Procedure,MAPS_TO,,Patrick Thoral,1685874628400,
21093,Bypass cannula (art femoralis),1,,Bypass canule (art femoralis),0.54,APPROVED,EQUIVALENT,Patrick Thoral,1695509319711,45768095,Intravascular perfusion catheter,Device,MAPS_TO,,Patrick Thoral,1695462747812,
21093,Bypass cannula (art femoralis),1,,Bypass canule (art femoralis),0.54,APPROVED,EQUIVALENT,Patrick Thoral,1695509319711,4297788,Structure of femoral artery,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695509314417,
15738,Speech valve,435,,Spreekklep,0.69,APPROVED,EQUAL,Patrick Thoral,1685912971547,45772284,Tracheostomy tube speech valve,Device,MAPS_TO,,<auto>,1685488557903,
13009,Parenchyma drain,24,,Parenchymdrain,0.60,APPROVED,EQUIVALENT,Patrick Thoral,1711126560708,45762769,Intracranial pressure monitor,Device,MAPS_TO,,Patrick Thoral,1711126558833,
10619,Artery line Ulnaris,73,,Arterielijn Ulnaris,0.64,APPROVED,EQUAL,Patrick Thoral,1695508212255,4118298,Arterial catheter,Device,MAPS_TO,,Patrick Thoral,1695508199578,
10619,Artery line Ulnaris,73,,Arterielijn Ulnaris,0.64,APPROVED,EQUAL,Patrick Thoral,1695508212255,4261482,Structure of ulnar artery,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695508209455,
9166,Trilumen Jugularis,10578,,Trilumen Jugularis,0.64,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1685872521782,
9166,Trilumen Jugularis,10578,,Trilumen Jugularis,0.64,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4006845,Internal jugular vein structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514547542,
9407,Ventricular drain,370,,Ventrikeldrain,0.63,APPROVED,WIDER,Patrick Thoral,1685916032053,45773325,Cerebrospinal fluid pressure regulation system,Device,MAPS_TO,,Patrick Thoral,1685915916094,
12585,Chest drain 6,3,,Thoraxdrain 6,0.90,APPROVED,EQUAL,Patrick Thoral,1695457584788,4121351,Chest drain,Device,MAPS_TO,,<auto>,1685488558182,
9405,Chest drain 3,139,,Thoraxdrain 3,0.92,APPROVED,EQUAL,Patrick Thoral,1695457579138,4121351,Chest drain,Device,MAPS_TO,,<auto>,1685488558265,
9426,Teach ADL independence,5,,ADL-zelfst.heid aanleren,0.44,APPROVED,EQUAL,Patrick Thoral,1711137623924,4021196,Promotion of independence,Procedure,MAPS_TO,,Patrick Thoral,1711137620571,
9601,Pressure bandage,551,,Drukverband,1.00,APPROVED,EQUAL,Patrick Thoral,1685911881327,36674512,Pressure bandage,Device,MAPS_TO,,<auto>,1685488558326,
10761,Sengstaken,9,,Sengstaken,0.60,APPROVED,EQUAL,Patrick Thoral,1695461235545,4230995,Sengstaken-Blakemore tube,Device,MAPS_TO,,Patrick Thoral,1695461234662,
9523,Stitches,102,,Hechtingen,0.49,APPROVED,EQUAL,Patrick Thoral,1695512386873,4234965,Suture,Device,MAPS_TO,,Patrick Thoral,1695512384013,
12583,Chest drain 4,17,,Thoraxdrain 4,0.92,APPROVED,EQUAL,Patrick Thoral,1695457580997,4121351,Chest drain,Device,MAPS_TO,,<auto>,1685488558847,
9541,Pacemaker leads,2452,,Pacemakerdraden,0.73,APPROVED,EQUAL,Patrick Thoral,1685906729640,4231009,Cardiac pacemaker electrode,Device,MAPS_TO,,Patrick Thoral,1685906726972,
10618,Xx-Do not use anymoreTracheostomy (Bivona)(= Process Tracheostomy),1,,Xx-Niet meer gebruikenTracheostoma (Bivona)(= Proces Tracheostoma),0.28,APPROVED,EQUAL,Patrick Thoral,1695669133400,4044008,Tracheostomy tube,Device,MAPS_TO,,Patrick Thoral,1695669121230,
12632,Suction system,25,,Zuigsysteem,1.00,APPROVED,EQUAL,Patrick Thoral,1695669139966,45768165,Suction system,Device,MAPS_TO,,<auto>,1685488559099,
9613,Use hotline,22,,Hotline gebruiken,0.41,APPROVED,EQUAL,Patrick Thoral,1695670611885,45771875,Conduction blood/fluid warmer,Device,MAPS_TO,,Patrick Thoral,1695670610889,
9399,wound drain 1,5813,,Wonddrain 1,0.96,APPROVED,EQUAL,Patrick Thoral,1685874182741,4119547,Wound drain,Device,MAPS_TO,,<auto>,1685488559217,
16354,Nasal tampon (bellocq and/or vaseline gauze),25,,Neustampon (bellocq en/of vaseline gaas),0.34,APPROVED,EQUAL,Patrick Thoral,1711137697908,4327579,Nasal tampon,Device,MAPS_TO,,Patrick Thoral,1711137692339,
9478,Strive Ramsay,85,,Streef Ramsay,0.27,APPROVED,UNMATCHED,Patrick Thoral,1711406035511,0,Unmapped,,MAPS_TO,,,0,
9430,Anti Trendelenburg,7,,Anti-trendelenburg,0.72,APPROVED,EQUAL,Patrick Thoral,1695512927847,4132147,Inverse Trendelenburg position,Observation,MAPS_TO,,Patrick Thoral,1695512925774,
10727,Xx-Do not use again!(Jejunum Probe= Process Probe),34,,Xx-Niet meer gebruiken!(Jejunumsonde= Proces Sonde),0.25,APPROVED,EQUAL,Patrick Thoral,1695668899992,36676722,Nasojejunal feeding tube,Device,MAPS_TO,,Patrick Thoral,1695668898283,
15143,X-Process Power Supply,110,,X-Proces Voeding,0.69,APPROVED,EQUAL,Patrick Thoral,1695668469918,4298279,Nutrition therapy,Procedure,MAPS_TO,,Patrick Thoral,1695668467988,
9180,Epidural catheter,704,,Epiduraal catheter,1.00,APPROVED,EQUAL,Patrick Thoral,1685910396258,4148006,Epidural catheter,Device,MAPS_TO,,<auto>,1685488560386,
13422,Jugular Trauma Catheter,433,,Trauma catheter Jugularis,0.62,APPROVED,EQUAL,Patrick Thoral,1695514491785,37017497,Triple lumen hemodialysis catheter,Device,MAPS_TO,,Patrick Thoral,1685913945916,
13422,Jugular Trauma Catheter,433,,Trauma catheter Jugularis,0.62,APPROVED,EQUAL,Patrick Thoral,1695514491785,4269235,Structure of jugular vein,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514468796,
14834,Hypothermia cooling phase,155,,Hypothermie koelfase,0.59,APPROVED,EQUAL,Patrick Thoral,1695669982293,4203429,Induction of hypothermia,Procedure,MAPS_TO,,Patrick Thoral,1695669979740,
13809,Fixature external lower leg right,30,,Fixatuur externe onderbeen rechts,0.58,APPROVED,EQUAL,Patrick Thoral,1695511949288,4040907,External fixation device,Device,MAPS_TO,,Patrick Thoral,1695511320396,
13809,Fixature external lower leg right,30,,Fixatuur externe onderbeen rechts,0.58,APPROVED,EQUAL,Patrick Thoral,1695511949288,4138674,Structure of right lower leg,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695511839347,
9575,Permitted oral hydration,29,,Toegestaan orale vochttoediening,0.51,APPROVED,EQUAL,Patrick Thoral,1695669496884,40480621,Restriction of oral fluid,Procedure,MAPS_TO,,Patrick Thoral,1695669496199,
9457,Do not suck out,10,,Niet uitzuigen,0.25,APPROVED,UNMATCHED,Patrick Thoral,1711406035511,0,Unmapped,,MAPS_TO,,,0,
9350,Do not use again Size Tube,2031,,Niet meer gebruiken Maat Tube,0.31,APPROVED,EQUAL,Patrick Thoral,1685906864590,4097216,Endotracheal tube,Device,MAPS_TO,,Patrick Thoral,1685906835511,
9422,Peripheral drip,39480,,Perifeer infuus,0.57,APPROVED,EQUAL,Patrick Thoral,1685488649207,4219637,Peripheral intravenous catheter,Device,MAPS_TO,,Patrick Thoral,1685488646238,
9177,Xx-Discontinue Tracheostomy (Shiley)(= Process Tracheostomy),53,,Xx-Niet meer gebruiken Tracheostoma (Shiley)(= Proces Tracheostoma),0.30,APPROVED,EQUAL,Patrick Thoral,1695669134425,4044008,Tracheostomy tube,Device,MAPS_TO,,Patrick Thoral,1695669128875,
12539,Arterial sheet,463,,Arteriële sheet,0.63,APPROVED,EQUAL,Patrick Thoral,1695508091094,4160628,Catheter sheath,Device,MAPS_TO,,Patrick Thoral,1695507892838,
12539,Arterial sheet,463,,Arteriële sheet,0.63,APPROVED,EQUAL,Patrick Thoral,1695508091094,4199457,Arterial structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695508083346,
9455,Do not strain legs,7,,Benen niet belasten,0.39,APPROVED,UNMATCHED,Patrick Thoral,1711406035511,0,Unmapped,,MAPS_TO,,,0,
9437,ICP acceptance values,62,,ICP- acceptatiewaarden,0.41,APPROVED,EQUAL,Patrick Thoral,1695670298032,2000097,Intracranial pressure monitoring,Procedure,MAPS_TO,,Patrick Thoral,1695670296245,
9162,Jugularis dialysis line,520,,Dialyselijn Jugularis,0.49,APPROVED,EQUAL,Patrick Thoral,1695510335064,42872871,Hemodialysis catheter,Device,MAPS_TO,,Patrick Thoral,1685912008411,
9162,Jugularis dialysis line,520,,Dialyselijn Jugularis,0.49,APPROVED,EQUAL,Patrick Thoral,1695510335064,4006845,Internal jugular vein structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695510330276,
12936,Aim PT/CT,558,,Streef PT/CT,0.55,APPROVED,EQUAL,Patrick Thoral,1685911867267,4190807,Target international normalized ratio,Observation,MAPS_TO,,Patrick Thoral,1685911668657,
10730,Jejuno stoma,171,,Jejuno-stoma,0.79,APPROVED,EQUAL,Patrick Thoral,1695463189376,4129555,Jejunostomy tube,Device,MAPS_TO,,Patrick Thoral,1695463188630,
9519,Stimulate coughing,5,,Ophoesten stimuleren,0.64,APPROVED,EQUIVALENT,Patrick Thoral,1711128692775,4144548,Physiotherapy of chest,Procedure,MAPS_TO,,Patrick Thoral,1711128689080,
21188,Duo-Lumen Peripheral Central Catheter (PICC),11,,Duo-Lumen Perifeer centrale catheter (PICC),0.61,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4161814,Peripherally inserted central catheter,Device,MAPS_TO,,Patrick Thoral,1695510454840,
18740,Bone flap removed,117,,Botlap verwijderd,0.59,APPROVED,EQUIVALENT,Patrick Thoral,1695509270843,4167916,Absence of skull bone,Condition,MAPS_TO,,Patrick Thoral,1695509266373,
9481,Traction,29,,Tractie,1.00,APPROVED,EQUAL,Patrick Thoral,1695458726074,4280205,Traction,Procedure,MAPS_TO,,<auto>,1685488562790,
10612,Advice Posture & Movement,216,,Advies Houding&Beweging,0.48,APPROVED,UNMATCHED,Patrick Thoral,1711406035511,0,Unmapped,,MAPS_TO,,,0,
15717,PCIA,755,,PCIA,0.36,APPROVED,EQUAL,Patrick Thoral,1685910389369,4086425,Patient controlled analgesia,Procedure,MAPS_TO,,Patrick Thoral,1685910367238,
9518,Cough support,9,,Ondersteunen bij hoesten,0.67,APPROVED,EQUAL,Patrick Thoral,1711126644670,2616644,"Cough stimulating device, alternating positive and negative airway pressure",Device,MAPS_TO,,Patrick Thoral,1711126635242,
13005,Rectal Cannula,95,,Rectum Canule,0.85,APPROVED,EQUAL,Patrick Thoral,1695461292561,45760112,Rectal irrigation system catheter,Device,MAPS_TO,,Patrick Thoral,1695461290925,
21091,ECMO cannula arterial,2,,ECMO canule arterieel,0.63,APPROVED,EQUAL,Patrick Thoral,1695457554513,45761309,"Cardiopulmonary bypass cannula, arterial",Device,MAPS_TO,,Patrick Thoral,1695457521543,
18955,Nasal airway,78,,Nasaal airway,1.00,APPROVED,EQUAL,Patrick Thoral,1695463415337,4266238,Nasopharyngeal airway device,Device,MAPS_TO,,<auto>,1685488563847,
15869,Drip/Contact Isolation,47,,Druppel/Contactisolatie,0.52,APPROVED,EQUAL,Patrick Thoral,1695463068369,4077521,Isolation nursing,Procedure,MAPS_TO,,Patrick Thoral,1695463067421,
15603,Flexiseal,676,,Flexiseal,0.47,APPROVED,EQUAL,Patrick Thoral,1685910804918,4224054,Fecal collector,Device,MAPS_TO,,Patrick Thoral,1685910539515,
9188,X-Process Lines/Catheter/Drain,591,,X-Proces Lijnen/Catheter/Drain,0.47,APPROVED,EQUAL,Patrick Thoral,1685910929028,45877830,Catheter,Meas Value,MAPS_TO,,Patrick Thoral,1685910922690,
13807,Fixature external thigh right,16,,Fixatuur externe bovenbeen rechts,0.64,APPROVED,EQUAL,Patrick Thoral,1695511942906,4040907,External fixation device,Device,MAPS_TO,,Patrick Thoral,1695511287911,
13807,Fixature external thigh right,16,,Fixatuur externe bovenbeen rechts,0.64,APPROVED,EQUAL,Patrick Thoral,1695511942906,36695983,Structure of right femur,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695511755808,
9348,Do not use again Insert Tube,1956,,Niet meer gebruiken Plaats Tube,0.44,APPROVED,EQUAL,Patrick Thoral,1685906865710,4097216,Endotracheal tube,Device,MAPS_TO,,Patrick Thoral,1685906841693,
19360,Pacemaker internal,72,,Pacemaker intern,0.76,APPROVED,EQUAL,Patrick Thoral,1711126685306,45772840,Implantable cardiac pacemaker,Device,MAPS_TO,,Patrick Thoral,1711126683838,
9171,Xx-Do not use anymore Tracheostomy (Portex) (= Process Tracheostomy),76,,Xx-Niet meer gebruiken Tracheostoma (Portex) (= Proces Tracheostoma),0.30,APPROVED,EQUAL,Patrick Thoral,1695669133904,4044008,Tracheostomy tube,Device,MAPS_TO,,Patrick Thoral,1695669124941,
15718,PCEA,685,,PCEA,0.20,APPROVED,EQUAL,Patrick Thoral,1685910405520,4287923,Patient controlled epidural analgesia,Procedure,MAPS_TO,,Patrick Thoral,1685910403405,
9513,Do not disconnect breathing hoses,3,,Beademingsslangen niet ontkoppelen,0.54,APPROVED,UNMATCHED,Patrick Thoral,1695508642201,0,Unmapped,,MAPS_TO,,,0,
7926,Mobilize,313,,Mobiliseren,0.85,APPROVED,EQUAL,Patrick Thoral,1685916301689,4327195,Mobilization,Procedure,MAPS_TO,,Patrick Thoral,1685916300359,
9374,Keep sober,440,,Nuchter houden,0.39,APPROVED,EQUAL,Patrick Thoral,1685912936395,37312086,Fasting,Procedure,MAPS_TO,,Patrick Thoral,1685912935017,
18737,Pace wires via Swan Ganz,5,,Pacedraden via Swan Ganz,0.43,APPROVED,INEXACT,Patrick Thoral,1711127007735,4194226,Transvenous electrode,Device,MAPS_TO,,Patrick Thoral,1711126926047,
9163,Subclavian dialysis line,304,,Dialyselijn Subclavia,0.64,APPROVED,EQUAL,Patrick Thoral,1695510369460,42872871,Hemodialysis catheter,Device,MAPS_TO,,Patrick Thoral,1685916649925,
9163,Subclavian dialysis line,304,,Dialyselijn Subclavia,0.64,APPROVED,EQUAL,Patrick Thoral,1695510369460,4311330,Structure of subclavian vein,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695510363964,
12579,Galdrain,102,,Galdrain,0.61,APPROVED,EQUAL,Patrick Thoral,1695512122320,45762340,Drainage biliary catheter,Device,MAPS_TO,,Patrick Thoral,1695512116637,
9436,CPP targets,166,,CPP streefwaarden,0.26,APPROVED,UNMATCHED,Patrick Thoral,1695510237854,0,Unmapped,,MAPS_TO,,,0,
12465,CVVH,5355,,CVVH,0.59,APPROVED,EQUAL,Patrick Thoral,1685874184223,4051330,Continuous venovenous hemofiltration,Procedure,MAPS_TO,,<auto>,1685488565804,
9170,Quad Lumen Jugularis,1572,,Quad lumen Jugularis,0.59,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1685901412763,
9170,Quad Lumen Jugularis,1572,,Quad lumen Jugularis,0.59,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4006845,Internal jugular vein structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514197675,
19652,Fixture external upper arm right,1,,Fixatuur externe bovenarm rechts,0.53,APPROVED,EQUAL,Patrick Thoral,1695511941795,4040907,External fixation device,Device,MAPS_TO,,Patrick Thoral,1695511271536,
19652,Fixture external upper arm right,1,,Fixatuur externe bovenarm rechts,0.53,APPROVED,EQUAL,Patrick Thoral,1695511941795,4274743,Right upper arm structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695511419296,
9169,Quad lumen Subclavian,1137,,Quad lumen Subclavia,0.63,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1685909354259,
9169,Quad lumen Subclavian,1137,,Quad lumen Subclavia,0.63,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4311330,Structure of subclavian vein,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514212221,
9482,Apply semi-sitting position,21,,Halfzittende houding toepassen,0.35,APPROVED,EQUAL,Patrick Thoral,1695512282998,4147052,Fowler's position,Observation,MAPS_TO,,Patrick Thoral,1695512280501,
18736,Shunt,142,,Shunt,1.00,APPROVED,EQUIVALENT,Patrick Thoral,1695461036011,4122364,Arteriovenous shunt,Device,MAPS_TO,,Patrick Thoral,1695461034140,
10740,Ventilate non-invasively,1783,,Beademen non-invasief,0.71,APPROVED,EQUAL,Patrick Thoral,1685874994832,40486624,Non-invasive positive pressure ventilation,Procedure,MAPS_TO,,Patrick Thoral,1685874991782,
9164,IABP femoralis,89,,IABP femoralis,0.59,APPROVED,EQUAL,Patrick Thoral,1695670207333,4044874,Intra-aortic balloon pump,Device,MAPS_TO,,Patrick Thoral,1695670169886,
9164,IABP femoralis,89,,IABP femoralis,0.59,APPROVED,EQUAL,Patrick Thoral,1695670207333,4297788,Structure of femoral artery,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695670197001,
19649,Fixture external forearm left,3,,Fixatuur externe onderarm links,0.47,APPROVED,EQUAL,Patrick Thoral,1695511947540,4040907,External fixation device,Device,MAPS_TO,,Patrick Thoral,1695511310767,
19649,Fixture external forearm left,3,,Fixatuur externe onderarm links,0.47,APPROVED,EQUAL,Patrick Thoral,1695511947540,4283512,Structure of left forearm,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695511781615,
9186,Brachial artery line,1580,,Arterielijn Brachialis,0.69,APPROVED,EQUAL,Patrick Thoral,1695508135924,4118298,Arterial catheter,Device,MAPS_TO,,Patrick Thoral,1685875142866,
9186,Brachial artery line,1580,,Arterielijn Brachialis,0.69,APPROVED,EQUAL,Patrick Thoral,1695508135924,4063510,Structure of brachial artery,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695508133666,
13808,Fixature external lower leg left,27,,Fixatuur externe onderbeen links,0.59,APPROVED,EQUAL,Patrick Thoral,1695511948226,4040907,External fixation device,Device,MAPS_TO,,Patrick Thoral,1695511316312,
13808,Fixature external lower leg left,27,,Fixatuur externe onderbeen links,0.59,APPROVED,EQUAL,Patrick Thoral,1695511948226,4169248,Structure of left lower leg,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695511832063,
19734,Hard collar,112,,Harde halskraag,0.68,APPROVED,EQUAL,Patrick Thoral,1695512334459,4082905,Rigid collar,Device,MAPS_TO,,Patrick Thoral,1695512333814,
9185,Sideport,139,,Sideport,0.48,APPROVED,EQUIVALENT,Patrick Thoral,1695461201437,4160628,Catheter sheath,Device,MAPS_TO,,Patrick Thoral,1695461195283,
9402,wound drain 4,123,,Wonddrain 4,0.93,APPROVED,EQUAL,Patrick Thoral,1695668417457,4119547,Wound drain,Device,MAPS_TO,,<auto>,1685488567419,
9595,Jugularis single lumen,44,,Enkel lumen Jugularis,0.51,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1695510696240,
9595,Jugularis single lumen,44,,Enkel lumen Jugularis,0.51,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4006845,Internal jugular vein structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695510753708,
10732,Ileo stoma,209,,Ileo-stoma,0.52,APPROVED,EQUAL,Patrick Thoral,1695463172742,4218999,Ileostomy bag,Device,MAPS_TO,,Patrick Thoral,1695463171949,
9419,Xx-Do not use again Stomach siphon,1972,,Xx-Niet meer gebruiken Maag-hevel,0.24,APPROVED,EQUAL,Patrick Thoral,1685906865141,45772272,Nasogastric feeding tube,Device,MAPS_TO,,Patrick Thoral,1685906230682,
9537,Xx-Discontinue Use (Duodenum Probe=Process Probe),255,,Xx-Niet meer gebruiken (Duodenumsonde=Proces Sonde),0.27,APPROVED,EQUAL,Patrick Thoral,1685917068319,36674387,Nasoduodenal feeding tube,Device,MAPS_TO,,Patrick Thoral,1685917067263,
9596,Single Lumen Subclavian,90,,Enkel lumen Subclavia,0.64,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1695510699904,
9596,Single Lumen Subclavian,90,,Enkel lumen Subclavia,0.64,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4311330,Structure of subclavian vein,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695510765888,
12399,Duolumen Femoralis,14,,Duo lumen Femoralis,0.35,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1695510421544,
12399,Duolumen Femoralis,14,,Duo lumen Femoralis,0.35,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4308414,Femoral vein structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695510472195,
9524,Nursing lying flat,59,,Plat liggend verplegen,0.45,APPROVED,EQUAL,Patrick Thoral,1711128781016,44808672,Placing in supine position,Procedure,MAPS_TO,,Patrick Thoral,1711128780022,
9495,Strict isolation 1,58,,Strikte isolatie 1,0.58,APPROVED,EQUAL,Patrick Thoral,1695669510440,4077521,Isolation nursing,Procedure,MAPS_TO,,Patrick Thoral,1695669509711,
12634,Tube,15040,,Tube,1.00,APPROVED,EQUAL,Patrick Thoral,1685872430272,4097216,Endotracheal tube,Device,MAPS_TO,,Patrick Thoral,1685872428059,
9385,X-Process Other,436,,X-Proces Overig,0.32,APPROVED,EQUAL,Patrick Thoral,1685912953357,4322976,Procedure,Procedure,MAPS_TO,,Patrick Thoral,1685912951876,
15870,Protective isolation,14,,Beschermende isolatie,0.61,APPROVED,EQUAL,Patrick Thoral,1695508805235,4077664,Reverse isolation,Procedure,MAPS_TO,,Patrick Thoral,1695508800281,
9574,Gastric suction drainage,309,,Maagzuig-drainage,0.83,APPROVED,EQUAL,Patrick Thoral,1685916631530,4151721,Gastric drainage by stomach pump,Procedure,MAPS_TO,,Patrick Thoral,1685916629500,
9382,X-Process Skin,214,,X-Proces Huid,0.45,APPROVED,EQUAL,Patrick Thoral,1695668600689,4040401,Procedure on skin,Procedure,MAPS_TO,,Patrick Thoral,1695668599741,
9165,Trilumen Femoralis,1463,,Trilumen Femoralis,0.43,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1685907771153,
9165,Trilumen Femoralis,1463,,Trilumen Femoralis,0.43,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4308414,Femoral vein structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514537205,
9349,Do not use Depth Tube anymore,2059,,Niet meer gebruiken Diepte Tube,0.33,APPROVED,EQUAL,Patrick Thoral,1685906864035,4097216,Endotracheal tube,Device,MAPS_TO,,Patrick Thoral,1685906831608,
9412,Urostomy,154,,Urostoma,0.75,APPROVED,EQUIVALENT,Patrick Thoral,1695460225347,4225145,Urostomy bag,Device,MAPS_TO,,<auto>,1685488569729,
13035,Spinal drain,37,,Spinaaldrain,0.64,APPROVED,EQUAL,Patrick Thoral,1695669545297,4147758,Cerebrospinal catheter,Device,MAPS_TO,,Patrick Thoral,1695669544286,
13811,External Head/Neck Fixture (Halo Frame),50,,Fixatuur externe hoofd/hals (Halo-frame),0.57,APPROVED,EQUAL,Patrick Thoral,1695511181498,4040909,Halo cast,Device,MAPS_TO,,Patrick Thoral,1695511179205,
9174,Swan Ganz Jugularis,6670,,Swan Ganz Jugularis,0.41,APPROVED,EQUAL,Patrick Thoral,1695514421096,4262295,Pulmonary artery catheter,Device,MAPS_TO,,Patrick Thoral,1685873944528,
9174,Swan Ganz Jugularis,6670,,Swan Ganz Jugularis,0.41,APPROVED,EQUAL,Patrick Thoral,1695514421096,4006845,Internal jugular vein structure,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514398083,
