source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Hematologie,0,AUMC Specialty,Hematologie,38004501,Medicare Specialty,1970-03-04,2099-12-31,
Nefrologie,0,AUMC Specialty,Nefrologie,38004479,Medicare Specialty,1970-03-05,2099-12-31,
Neurochirurgie,0,AUMC Specialty,Neurochirurgie,38004459,Medicare Specialty,1970-03-06,2099-12-31,
Plastische chirurgie,0,AUMC Specialty,Plastische chirurgie,38004467,Medicare Specialty,1970-03-07,2099-12-31,
ders,0,AUMC Specialty,ders,0,None,1970-03-08,2099-12-31,
Vaatchirurgie,0,AUMC Specialty,Vaatchirurgie,38004496,Medicare Specialty,1970-03-09,2099-12-31,
Orthopedie,0,AUMC Specialty,Orthopedie,38004465,Medicare Specialty,1970-03-10,2099-12-31,
Obstetrie,0,AUMC Specialty,Obstetrie,38003905,NUCC,1970-03-11,2099-12-31,
Heelkunde Gastro-enterologie,0,AUMC Specialty,Heelkunde Gastro-enterologie,38004447,Medicare Specialty,1970-03-12,2099-12-31,
Verloskunde,0,AUMC Specialty,Verloskunde,38003905,NUCC,1970-03-13,2099-12-31,
Intensive Care Volwassenen,0,AUMC Specialty,Intensive Care Volwassenen,38004500,Medicare Specialty,1970-03-14,2099-12-31,
Gynaecologie,0,AUMC Specialty,Gynaecologie,38003902,NUCC,1970-03-15,2099-12-31,
Traumatologie,0,AUMC Specialty,Traumatologie,38004016,NUCC,1970-03-16,2099-12-31,
Cardiologie,0,AUMC Specialty,Cardiologie,38004451,Medicare Specialty,1970-03-17,2099-12-31,
Reumatologie,0,AUMC Specialty,Reumatologie,38004491,Medicare Specialty,1970-03-18,2099-12-31,
Urologie,0,AUMC Specialty,Urologie,38004474,Medicare Specialty,1970-03-19,2099-12-31,
Cardiochirurgie,0,AUMC Specialty,Cardiochirurgie,38004497,Medicare Specialty,1970-03-20,2099-12-31,
Heelkunde Oncologie,0,AUMC Specialty,Heelkunde Oncologie,38004508,Medicare Specialty,1970-03-21,2099-12-31,
Inwendig,0,AUMC Specialty,Inwendig,38004456,Medicare Specialty,1970-03-22,2099-12-31,
Oogheelkunde,0,AUMC Specialty,Oogheelkunde,38004463,Medicare Specialty,1970-03-23,2099-12-31,
Neurologie,0,AUMC Specialty,Neurologie,38004458,Medicare Specialty,1970-03-24,2099-12-31,
Longziekte,0,AUMC Specialty,Longziekte,38004472,Medicare Specialty,1970-03-25,2099-12-31,
Mondheelkunde,0,AUMC Specialty,Mondheelkunde,38004504,Medicare Specialty,1970-03-26,2099-12-31,
Heelkunde Longen/Oncologie,0,AUMC Specialty,Heelkunde Longen/Oncologie,38004473,Medicare Specialty,1970-03-27,2099-12-31,
"Maag-,Darm-,Leverziekten",0,AUMC Specialty,"Maag-,Darm-,Leverziekten",38004455,Medicare Specialty,1970-03-28,2099-12-31,
"Keel, Neus & Oorarts",0,AUMC Specialty,"Keel, Neus & Oorarts",38004449,Medicare Specialty,1970-03-29,2099-12-31,
210,0,AUMC Unit,o/oo,9154,UCUM,1970-03-30,2099-12-31,
305,0,AUMC Unit,Sachet,0,None,1970-03-31,2099-12-31,
14,0,AUMC Unit,mg/ml,8861,UCUM,1970-04-01,2099-12-31,
67,0,AUMC Unit,g/ml,9514,UCUM,1970-04-02,2099-12-31,
6,0,AUMC Unit,ml,8587,UCUM,1970-04-03,2099-12-31,
240,0,AUMC Unit,fIE,0,None,1970-04-04,2099-12-31,
306,0,AUMC Unit,Flacon,0,None,1970-04-05,2099-12-31,
243,0,AUMC Unit,mIE,44777577,UCUM,1970-04-06,2099-12-31,
214,0,AUMC Unit,x TOT,720868,UCUM,1970-04-07,2099-12-31,
8,0,AUMC Unit,l,8519,UCUM,1970-04-08,2099-12-31,
88,0,AUMC Unit,ml/dl,9570,UCUM,1970-04-09,2099-12-31,
26,0,AUMC Unit,l/min,8698,UCUM,1970-04-10,2099-12-31,
293,0,AUMC Unit,pl,9628,UCUM,1970-04-11,2099-12-31,
215,0,AUMC Unit,kopie/ml,8799,UCUM,1970-04-12,2099-12-31,
94,0,AUMC Unit,mmol,9573,UCUM,1970-04-13,2099-12-31,
223,0,AUMC Unit,Lik,45891000,UCUM,1970-04-14,2099-12-31,
9,0,AUMC Unit,g,8504,UCUM,1970-04-15,2099-12-31,
299,0,AUMC Unit,Puff,45891000,UCUM,1970-04-16,2099-12-31,
11,0,AUMC Unit,µg,9655,UCUM,1970-04-17,2099-12-31,
217,0,AUMC Unit,10^2 kopie/ml,0,None,1970-04-18,2099-12-31,
10,0,AUMC Unit,mg,8576,UCUM,1970-04-19,2099-12-31,
234,0,AUMC Unit,mmol/portie,44777615,UCUM,1970-04-20,2099-12-31,
100,0,AUMC Unit,dag,8512,UCUM,1970-04-21,2099-12-31,
332,0,AUMC Unit,AE/ml,0,None,1970-04-22,2099-12-31,
12,0,AUMC Unit,kg,9529,UCUM,1970-04-23,2099-12-31,
204,0,AUMC Unit,°,9484,UCUM,1970-04-24,2099-12-31,
55,0,AUMC Unit,fl,8583,UCUM,1970-04-25,2099-12-31,
4,0,AUMC Unit,min,9211,UCUM,1970-04-26,2099-12-31,
255,0,AUMC Unit,dg,9485,UCUM,1970-04-27,2099-12-31,
49,0,AUMC Unit,lbs,8739,UCUM,1970-04-28,2099-12-31,
338,0,AUMC Unit,Tablet,9431,UCUM,1970-04-29,2099-12-31,
5,0,AUMC Unit,uur,8505,UCUM,1970-04-30,2099-12-31,
205,0,AUMC Unit,INR,8523,UCUM,1970-05-01,2099-12-31,
62,0,AUMC Unit,g/l,8636,UCUM,1970-05-02,2099-12-31,
256,0,AUMC Unit,fg,9496,UCUM,1970-05-03,2099-12-31,
50,0,AUMC Unit,cm,8582,UCUM,1970-05-04,2099-12-31,
318,0,AUMC Unit,Portie,0,None,1970-05-05,2099-12-31,
195,0,AUMC Unit,/ml,9257,UCUM,1970-05-06,2099-12-31,
244,0,AUMC Unit,nIE,0,None,1970-05-07,2099-12-31,
51,0,AUMC Unit,mm,8588,UCUM,1970-05-08,2099-12-31,
40,0,AUMC Unit,µg/ml,8859,UCUM,1970-05-09,2099-12-31,
319,0,AUMC Unit,Dragee,0,None,1970-05-10,2099-12-31,
180,0,AUMC Unit,IE,8718,UCUM,1970-05-11,2099-12-31,
45,0,AUMC Unit,druppel,9296,UCUM,1970-05-12,2099-12-31,
182,0,AUMC Unit,Capsule,0,None,1970-05-13,2099-12-31,
178,0,AUMC Unit,E,8510,UCUM,1970-05-14,2099-12-31,
254,0,AUMC Unit,cg,9479,UCUM,1970-05-15,2099-12-31,
287,0,AUMC Unit,cl,9482,UCUM,1970-05-16,2099-12-31,
159,0,AUMC Unit,cel/µl,8784,UCUM,1970-05-17,2099-12-31,
181,0,AUMC Unit,10^6 IE,9689,UCUM,1970-05-18,2099-12-31,
289,0,AUMC Unit,dl,9486,UCUM,1970-05-19,2099-12-31,
179,0,AUMC Unit,10^6 E,9689,UCUM,1970-05-20,2099-12-31,
259,0,AUMC Unit,pg,8564,UCUM,1970-05-21,2099-12-31,
171,0,AUMC Unit,Aantal,0,None,1970-05-22,2099-12-31,
290,0,AUMC Unit,hl,9520,UCUM,1970-05-23,2099-12-31,
258,0,AUMC Unit,ng,9600,UCUM,1970-05-24,2099-12-31,
269,0,AUMC Unit,10^2,710257,UCUM,1970-05-25,2099-12-31,
292,0,AUMC Unit,nl,9606,UCUM,1970-05-26,2099-12-31,
9023-29,0,AUMC Drug,Allopurinol (Zyloric),21053686,RxNorm Extension,1970-05-27,2099-12-31,
14992-56,0,AUMC Drug,1/2 plak vleeswaar,4112439,SNOMED,1970-05-28,2099-12-31,
14904-56,0,AUMC Drug,3/4 portie stamppot zonder vlees,4037090,SNOMED,1970-05-29,2099-12-31,
13490-27,0,AUMC Drug,Methyleenblauw IV (Methylthionide cloride),44109975,RxNorm Extension,1970-05-30,2099-12-31,
9024-31,0,AUMC Drug,Algeldraat (Alucol),43816742,RxNorm Extension,1970-05-31,2099-12-31,
19215-69,0,AUMC Drug,Chloorhexidine-oplossing 4% (Hibiscrub),36061387,RxNorm Extension,1970-06-01,2099-12-31,
14993-56,0,AUMC Drug,3/4 plak vleeswaar,4112439,SNOMED,1970-06-02,2099-12-31,
9025-67,0,AUMC Drug,Pamidroninezuur (APD),36035943,RxNorm Extension,1970-06-03,2099-12-31,
14905-56,0,AUMC Drug,1 portie nagerecht,4037090,SNOMED,1970-06-04,2099-12-31,
13490-65,0,AUMC Drug,Methyleenblauw IV (Methylthionide cloride),44109975,RxNorm Extension,1970-06-05,2099-12-31,
13042-39,0,AUMC Drug,TPV StructoKabiven+Glut,41452242,RxNorm Extension,1970-06-06,2099-12-31,
13042-39,0,AUMC Drug,TPV StructoKabiven+Glut,35754314,RxNorm Extension,1970-06-07,2099-12-31,
19216-32,0,AUMC Drug,Hydroxychloroquine (Plaquenil),40051596,RxNorm,1970-06-08,2099-12-31,
14994-56,0,AUMC Drug,1 gekookt ei,4112439,SNOMED,1970-06-09,2099-12-31,
13498-119,0,AUMC Drug,Macrogol (Movicolon),43868590,RxNorm Extension,1970-06-10,2099-12-31,
14906-56,0,AUMC Drug,1/4 portie nagerecht,4037090,SNOMED,1970-06-11,2099-12-31,
9026-30,0,AUMC Drug,Hydralazine (Apresoline),40044779,RxNorm,1970-06-12,2099-12-31,
14995-56,0,AUMC Drug,1/4 gekookt ei,4112439,SNOMED,1970-06-13,2099-12-31,
13044-29,0,AUMC Drug,Sertraline (Zoloft),40081945,RxNorm,1970-06-14,2099-12-31,
13501-119,0,AUMC Drug,E-Z-CAT (Contrastvloeistof),35762060,RxNorm Extension,1970-06-15,2099-12-31,
19217-69,0,AUMC Drug,"Ganfort (bimatoprost 0,03%/timolol 0,5%)",21031071,RxNorm Extension,1970-06-16,2099-12-31,
14907-56,0,AUMC Drug,1/2 portie nagerecht,4037090,SNOMED,1970-06-17,2099-12-31,
14996-56,0,AUMC Drug,1/2 gekookt ei,4112439,SNOMED,1970-06-18,2099-12-31,
9027-32,0,AUMC Drug,Arachidis olie,19033278,RxNorm,1970-06-19,2099-12-31,
13881-29,0,AUMC Drug,Pregabaline (Lyrica),40128130,RxNorm,1970-06-20,2099-12-31,
19219-29,0,AUMC Drug,Fenobarbital,40077428,RxNorm,1970-06-21,2099-12-31,
14997-56,0,AUMC Drug,3/4 gekookt ei,4112439,SNOMED,1970-06-22,2099-12-31,
13045-69,0,AUMC Drug,Fusidinezuur oogdruppels (Fusithalmic),43179208,RxNorm Extension,1970-06-23,2099-12-31,
14908-56,0,AUMC Drug,3/4 portie nagerecht,4037090,SNOMED,1970-06-24,2099-12-31,
13882-30,0,AUMC Drug,Pravastatine,40078418,RxNorm,1970-06-25,2099-12-31,
19220-65,0,AUMC Drug,Bivalirudine (Angiox),41019970,RxNorm Extension,1970-06-26,2099-12-31,
13046-29,0,AUMC Drug,Tizanidine (Sirdalud),43857170,RxNorm Extension,1970-06-27,2099-12-31,
14998-56,0,AUMC Drug,1 omelet/roerei,4112439,SNOMED,1970-06-28,2099-12-31,
13883-29,0,AUMC Drug,Oxycodon (OxyNorm),19113600,RxNorm,1970-06-29,2099-12-31,
14909-56,0,AUMC Drug,1 portie fruit,4037090,SNOMED,1970-06-30,2099-12-31,
9028-70,0,AUMC Drug,Ipatropium bromide (Atrovent inhaletten),40727762,RxNorm Extension,1970-07-01,2099-12-31,
19221-29,0,AUMC Drug,Oxycodon (OxyContin),40232705,RxNorm,1970-07-02,2099-12-31,
13931-31,0,AUMC Drug,Panzytrat (Axcan),44180682,RxNorm Extension,1970-07-03,2099-12-31,
13047-25,0,AUMC Drug,Eptacog Alpha (Novoseven),40729112,RxNorm Extension,1970-07-04,2099-12-31,
14999-56,0,AUMC Drug,1/4 omelet/roerei,4112439,SNOMED,1970-07-05,2099-12-31,
14910-56,0,AUMC Drug,1/4 portie fruit,4037090,SNOMED,1970-07-06,2099-12-31,
9029-21,0,AUMC Drug,Amoxicilline/Clavulaanzuur (Augmentin),19133021,RxNorm,1970-07-07,2099-12-31,
19223-69,0,AUMC Drug,Dextran/hypromellose (Duratears),19076177,RxNorm,1970-07-08,2099-12-31,
13048-70,0,AUMC Drug,Tracleer (Bosentan),40092427,RxNorm,1970-07-09,2099-12-31,
13951-65,0,AUMC Drug,"Natriumbicarbonaat  4,2%",42621046,RxNorm Extension,1970-07-10,2099-12-31,
15000-56,0,AUMC Drug,1/2 omelet/roerei,4112439,SNOMED,1970-07-11,2099-12-31,
9029-15,0,AUMC Drug,Amoxicilline/Clavulaanzuur (Augmentin),21091196,RxNorm Extension,1970-07-12,2099-12-31,
13953-29,0,AUMC Drug,Topiramaat (Topamax),40099160,RxNorm,1970-07-13,2099-12-31,
14911-56,0,AUMC Drug,1/2 portie fruit,4037090,SNOMED,1970-07-14,2099-12-31,
15001-56,0,AUMC Drug,3/4 omelet/roerei,4112439,SNOMED,1970-07-15,2099-12-31,
9030-15,0,AUMC Drug,Aztreonam (Azactam),40740535,RxNorm Extension,1970-07-16,2099-12-31,
19224-69,0,AUMC Drug,Carboxymethylcellulose (Celluvisc),21110441,RxNorm Extension,1970-07-17,2099-12-31,
14184-118,0,AUMC Drug,Tonometrie-studie,0,None,1970-07-18,2099-12-31,
13049-30,0,AUMC Drug,Isosorbide-5-mononitraat (Promocard Durette),19134643,RxNorm,1970-07-19,2099-12-31,
14912-56,0,AUMC Drug,3/4 portie fruit,4037090,SNOMED,1970-07-20,2099-12-31,
14188-118,0,AUMC Drug,CGT - Studie,0,None,1970-07-21,2099-12-31,
19225-30,0,AUMC Drug,Irbesartan (Aprovel),21141441,RxNorm Extension,1970-07-22,2099-12-31,
15002-56,0,AUMC Drug,1 portie muesli (50g),4112439,SNOMED,1970-07-23,2099-12-31,
9031-70,0,AUMC Drug,Beclomethason (Becloforte),21139149,RxNorm Extension,1970-07-24,2099-12-31,
14199-118,0,AUMC Drug,M-Trali - Studie,0,None,1970-07-25,2099-12-31,
13050-71,0,AUMC Drug,Glutamine (Dipeptiven),21065827,RxNorm Extension,1970-07-26,2099-12-31,
19226-24,0,AUMC Drug,Ibutilidefumaraat (Corvert),44114816,RxNorm Extension,1970-07-27,2099-12-31,
14913-56,0,AUMC Drug,1 portie appelmoes/vruchtenmoes,4037090,SNOMED,1970-07-28,2099-12-31,
9032-70,0,AUMC Drug,Becotide 400 rotacaps,21060621,RxNorm Extension,1970-07-29,2099-12-31,
13050-67,0,AUMC Drug,Glutamine (Dipeptiven),21065827,RxNorm Extension,1970-07-30,2099-12-31,
15003-56,0,AUMC Drug,1/4 portie muesli (50g),4112439,SNOMED,1970-07-31,2099-12-31,
19369-30,0,AUMC Drug,Ticagrelor (Brilique),21031245,RxNorm Extension,1970-08-01,2099-12-31,
14914-56,0,AUMC Drug,1/4 portie appelmoes/vruchtenmoes,4037090,SNOMED,1970-08-02,2099-12-31,
15004-56,0,AUMC Drug,1/2 portie muesli (50g),4112439,SNOMED,1970-08-03,2099-12-31,
19370-118,0,AUMC Drug,ABLE - Studie,0,None,1970-08-04,2099-12-31,
13054-30,0,AUMC Drug,Midodrine (Gutron),21030575,RxNorm Extension,1970-08-05,2099-12-31,
15005-56,0,AUMC Drug,3/4 portie muesli (50g),4112439,SNOMED,1970-08-06,2099-12-31,
14212-119,0,AUMC Drug,X-Niet IV Groot Volume nader te bepalen,0,None,1970-08-07,2099-12-31,
13055-71,0,AUMC Drug,Alendroninezuur (Fosamax),40173591,RxNorm,1970-08-08,2099-12-31,
9037-21,0,AUMC Drug,Feneticilline (Broxil),40098940,RxNorm,1970-08-09,2099-12-31,
14915-56,0,AUMC Drug,1/2 portie appelmoes/vruchtenmoes,4037090,SNOMED,1970-08-10,2099-12-31,
13056-29,0,AUMC Drug,Seleginine (Eldepryl),40080009,RxNorm,1970-08-11,2099-12-31,
9039-23,0,AUMC Drug,"Pupivacaïne 0,25%",41181162,RxNorm Extension,1970-08-12,2099-12-31,
15006-56,0,AUMC Drug,1 portie cornflakes,4112439,SNOMED,1970-08-13,2099-12-31,
14213-39,0,AUMC Drug,Nutriflex Lipid Plus,35885289,RxNorm Extension,1970-08-14,2099-12-31,
13057-21,0,AUMC Drug,Azitromycine (Zithromax),40013069,RxNorm,1970-08-15,2099-12-31,
14916-56,0,AUMC Drug,3/4 portie appelmoes/vruchtenmoes,4037090,SNOMED,1970-08-16,2099-12-31,
14214-39,0,AUMC Drug,Vamin 14,588017,RxNorm Extension,1970-08-17,2099-12-31,
9040-71,0,AUMC Drug,Calciumcarbonaat,40017105,RxNorm,1970-08-18,2099-12-31,
15007-56,0,AUMC Drug,1/4 portie cornflakes,4112439,SNOMED,1970-08-19,2099-12-31,
13065-21,0,AUMC Drug,Aciclovir oculair (Zovirax oogzalf),40006527,RxNorm,1970-08-20,2099-12-31,
14917-56,0,AUMC Drug,"1 mini twix,mars,snicker,mailky way",4332187,SNOMED,1970-08-21,2099-12-31,
15008-56,0,AUMC Drug,1/2 portie cornflakes,4112439,SNOMED,1970-08-22,2099-12-31,
14443-23,0,AUMC Drug,Valproinezuur (Orfiril),43639048,RxNorm Extension,1970-08-23,2099-12-31,
19380-118,0,AUMC Drug,Hypothermie & inflammatie - Studie (EMIR),0,None,1970-08-24,2099-12-31,
14608-118,0,AUMC Drug,ART-123 (AKPA) studie,0,None,1970-08-25,2099-12-31,
9043-67,0,AUMC Drug,Cernevit Multivitaminen,2074300,RxNorm Extension,1970-08-26,2099-12-31,
19525-118,0,AUMC Drug,IRIS - Studie,0,None,1970-08-27,2099-12-31,
14918-56,0,AUMC Drug,"1/4 mini twix,mars,snicker,mailky way",4332187,SNOMED,1970-08-28,2099-12-31,
15009-56,0,AUMC Drug,3/4 portie cornflakes,4112439,SNOMED,1970-08-29,2099-12-31,
13096-25,0,AUMC Drug,Fondaparinux (Arixtra),40163947,RxNorm,1970-08-30,2099-12-31,
14609-118,0,AUMC Drug,MIDEX - studie,0,None,1970-08-31,2099-12-31,
19571-21,0,AUMC Drug,Oseltamivir (Tamiflu),44088416,RxNorm Extension,1970-09-01,2099-12-31,
14648-65,0,AUMC Drug,Research  Midazolam/Placebo,0,None,1970-09-02,2099-12-31,
14919-56,0,AUMC Drug,"1/2 mini twix,mars,snicker,mailky way",4332187,SNOMED,1970-09-03,2099-12-31,
15010-56,0,AUMC Drug,1 portie gewelde pruimen,4112439,SNOMED,1970-09-04,2099-12-31,
9047-15,0,AUMC Drug,Chlooramfenicol,40023477,RxNorm,1970-09-05,2099-12-31,
19572-30,0,AUMC Drug,Dipyridamol (Persantin) Retard,21025007,RxNorm Extension,1970-09-06,2099-12-31,
14920-56,0,AUMC Drug,"3/4 mini twix,mars,snicker,mailky way",4332187,SNOMED,1970-09-07,2099-12-31,
15011-56,0,AUMC Drug,1/4 portie gewelde pruimen,4112439,SNOMED,1970-09-08,2099-12-31,
14649-65,0,AUMC Drug,Research Dexmedetomidine/Placebo,0,None,1970-09-09,2099-12-31,
19665-118,0,AUMC Drug,COUrSe - Studie,0,None,1970-09-10,2099-12-31,
9049-70,0,AUMC Drug,Coffeïne,1134439,RxNorm,1970-09-11,2099-12-31,
19692-118,0,AUMC Drug,Rotem SDF - Studie,0,None,1970-09-12,2099-12-31,
15012-56,0,AUMC Drug,1/2 portie gewelde pruimen,4112439,SNOMED,1970-09-13,2099-12-31,
14921-56,0,AUMC Drug,1 portie spritsbrokken,4332187,SNOMED,1970-09-14,2099-12-31,
15013-56,0,AUMC Drug,3/4 portie gewelde pruimen,4112439,SNOMED,1970-09-15,2099-12-31,
19735-118,0,AUMC Drug,Deltatrac-VCO2  studie,0,None,1970-09-16,2099-12-31,
15014-42,0,AUMC Drug,Water 50ml,4023517,SNOMED,1970-09-17,2099-12-31,
9050-32,0,AUMC Drug,Acetrizoaat meglumine (Constrast CT),42970610,RxNorm Extension,1970-09-18,2099-12-31,
14922-56,0,AUMC Drug,1/4 portie spritsbrokken,4332187,SNOMED,1970-09-19,2099-12-31,
15015-42,0,AUMC Drug,Water 100ml,4023517,SNOMED,1970-09-20,2099-12-31,
9052-21,0,AUMC Drug,Co-trimoxazol forte (Bactrimel),40933447,RxNorm Extension,1970-09-21,2099-12-31,
14773-118,0,AUMC Drug,MASH II - Studie,0,None,1970-09-22,2099-12-31,
19739-21,0,AUMC Drug,Atazanavir (Reyataz),40010553,RxNorm,1970-09-23,2099-12-31,
15016-42,0,AUMC Drug,Water 200ml,4023517,SNOMED,1970-09-24,2099-12-31,
14923-56,0,AUMC Drug,1/2 portie spritsbrokken,4332187,SNOMED,1970-09-25,2099-12-31,
15017-42,0,AUMC Drug,Water 250ml,4023517,SNOMED,1970-09-26,2099-12-31,
15018-42,0,AUMC Drug,Water x ml,4023517,SNOMED,1970-09-27,2099-12-31,
14775-65,0,AUMC Drug,Research Magnesium/Placebo,0,None,1970-09-28,2099-12-31,
