sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:ordercategory,ADD_INFO:category,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
9026-30,Hydralazine (Apresoline),23,,,,,Hydralazine (Apresoline),Hydralazine (Apresoline),Niet iv Circulatie/Diurese,Medicatie,0.63,APPROVED,EQUAL,Patrick Thoral,1696722517443,40044779,hydralazine Oral Tablet [Apresoline],Drug,MAPS_TO,,<auto>,1686702629717,
14995-56,1/4 boiled egg,18,,,,,1/4 gekookt ei,1/4 gekookt ei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.28,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
13044-29,Sertraline (Zoloft),134,,,,,Sertraline (Zoloft),Sertraline (Zoloft),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.37,APPROVED,EQUAL,Patrick Thoral,1693506851451,40081945,sertraline Oral Tablet [Zoloft],Drug,MAPS_TO,,<auto>,1686702630468,
13501-119,E-Z-CAT (Contrast Fluid),88,,,,,E-Z-CAT (Contrastvloeistof),E-Z-CAT (Contrastvloeistof),Niet IV Groot Volume,Medicatie,0.57,APPROVED,EQUAL,Patrick Thoral,1696722530770,35762060,Barium Oral Solution [E-Z-CAT],Drug,MAPS_TO,,<auto>,1686702631072,
19217-69,Ganfort (bimatoprost 0.03%/timolol 0.5%),10,,,,,"Ganfort (bimatoprost 0,03%/timolol 0,5%)","Ganfort (bimatoprost 0,03%/timolol 0,5%)",Niet iv Zalven/Crèmes/Druppels,Medicatie,0.38,APPROVED,EQUAL,Patrick Thoral,1696722549410,21031071,bimatoprost 0.3 MG/ML / Timolol 5 MG/ML [Ganfort],Drug,MAPS_TO,,<auto>,1686702631247,
14907-56,1/2 serving of dessert,109,,,,,1/2 portie nagerecht,1/2 portie nagerecht,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.34,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14996-56,1/2 boiled egg,47,,,,,1/2 gekookt ei,1/2 gekookt ei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.35,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
9027-32,Arachidis oil,14,,,,,Arachidis olie,Arachidis olie,Niet iv Overig,Medicatie,0.74,APPROVED,EQUAL,Patrick Thoral,1696722740559,19033278,peanut oil,Drug,MAPS_TO,,<auto>,1686702631701,
13881-29,Pregabalin (Lyrica),2373,,,,,Pregabaline (Lyrica),Pregabaline (Lyrica),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.51,APPROVED,EQUAL,Patrick Thoral,1696722819792,40128130,pregabalin Oral Capsule [Lyrica],Drug,MAPS_TO,,Patrick Thoral,1696722817742,
19219-29,Phenobarbital,87,,,,,Fenobarbital,Fenobarbital,Niet iv CZS/Sedatie/Analgetica,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696722761174,40077428,phenobarbital Oral Tablet,Drug,MAPS_TO,,Patrick Thoral,1696722760438,
14997-56,3/4 boiled egg,19,,,,,3/4 gekookt ei,3/4 gekookt ei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.23,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
13045-69,Fusidic acid eye drops (Fusithalmic),69,,,,,Fusidinezuur oogdruppels (Fusithalmic),Fusidinezuur oogdruppels (Fusithalmic),Niet iv Zalven/Crèmes/Druppels,Medicatie,0.44,APPROVED,EQUAL,Patrick Thoral,1696722936194,43179208,Fusidate 10 MG/ML Ophthalmic Gel,Drug,MAPS_TO,,Patrick Thoral,1696722934371,
14908-56,3/4 serving of dessert,36,,,,,3/4 portie nagerecht,3/4 portie nagerecht,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.17,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
13882-30,pravastatin,1758,,ATC,C10AA03,pravastatin,Pravastatine,Pravastatine,Niet iv Circulatie/Diurese,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696682895921,40078418,pravastatin Oral Tablet,Drug,MAPS_TO,,Patrick Thoral,1696682894414,
19220-65,Bivalirudin (Angiox),52,,,,,Bivalirudine (Angiox),Bivalirudine (Angiox),2. Spuitpompen,Medicatie,0.64,APPROVED,EQUAL,Patrick Thoral,1690489428341,41019970,bivalirudin Injectable Solution [Angiox],Drug,MAPS_TO,,Patrick Thoral,1690489426727,
13046-29,Tizanidine (Sirdalud),745,,,,,Tizanidine (Sirdalud),Tizanidine (Sirdalud),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.67,APPROVED,EQUAL,Patrick Thoral,1696722944488,43857170,tizanidine Oral Tablet [Sirdalud],Drug,MAPS_TO,,<auto>,1686702634333,
14998-56,1 omelette/scrambled eggs,64,,,,,1 omelet/roerei,1 omelet/roerei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.19,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
13883-29,Oxycodone (OxyNorm),526,,,,,Oxycodon (OxyNorm),Oxycodon (OxyNorm),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.62,APPROVED,EQUAL,Patrick Thoral,1696722992242,19113600,oxycodone hydrochloride 5 MG Oral Capsule [Oxynorm],Drug,MAPS_TO,,Patrick Thoral,1696722988873,
14909-56,1 portion of fruit,745,,,,,1 portie fruit,1 portie fruit,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.39,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
9028-70,ipratropium bromide dry-powder inhalation,1156,,ATC,R03BB01,ipratropium bromide,Ipatropium bromide (Atrovent inhaletten),Ipatropium bromide,Niet iv Tractus Respiratorius,Medicatie,0.65,APPROVED,EQUAL,Patrick Thoral,1696635188788,40727762,Ipratropium 0.02 MG/ACTUAT Metered Dose Inhaler,Drug,MAPS_TO,,Patrick Thoral,1696635187540,
19221-29,Oxycodone (OxyContin),413,,,,,Oxycodon (OxyContin),Oxycodon (OxyContin),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.62,APPROVED,EQUAL,Patrick Thoral,1696723075416,40232705,oxycodone hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],Drug,MAPS_TO,,Patrick Thoral,1696723073155,
13931-31,Panzytrat (Axcan),199,,,,,Panzytrat (Axcan),Panzytrat (Axcan),Niet iv Tractus Digestivus,Medicatie,0.51,APPROVED,EQUAL,Patrick Thoral,1696723329068,44180682,Pancreatin 25000 UNT Oral Capsule [Panzytrat],Drug,MAPS_TO,,Patrick Thoral,1696723327491,
13047-25,Eptacog Alpha (Novoseven),30,,,,,Eptacog Alpha (Novoseven),Eptacog Alpha (Novoseven),Injecties Haematologisch,Medicatie,0.54,APPROVED,EQUAL,Patrick Thoral,1696723508343,40729112,Factor VIIa Injectable Solution [Novoseven],Drug,MAPS_TO,,Patrick Thoral,1696723505048,
14999-56,1/4 omelette/scrambled eggs,9,,,,,1/4 omelet/roerei,1/4 omelet/roerei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.25,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
14910-56,1/4 serving of fruit,71,,,,,1/4 portie fruit,1/4 portie fruit,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.27,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
9029-21,amoxicillin/clavulanic acid,287,,ATC,J01CR02,amoxicillin and beta-lactamase inhibitor,Amoxicilline/Clavulaanzuur (Augmentin),Amoxicilline/Clavulaanzuur (Augmentin),Niet iv Antimicrobiele middelen,Medicatie,0.48,APPROVED,EQUAL,Patrick Thoral,1696683561665,19133021,amoxicillin 500 MG / clavulanate 125 MG Oral Tablet [Augmentin],Drug,MAPS_TO,,Patrick Thoral,1696683560426,
19223-69,Dextran/hypromellose (Duraters),1022,,,,,Dextran/hypromellose (Duratears),Dextran/hypromellose (Duratears),Niet iv Zalven/Crèmes/Druppels,Medicatie,0.49,APPROVED,EQUAL,Patrick Thoral,1696723661861,19076177,dextran 70 1 MG/ML / hypromellose 3 MG/ML Ophthalmic Solution,Drug,MAPS_TO,,Patrick Thoral,1696723660021,
13048-70,Tracleer (Bosentan),56,,,,,Tracleer (Bosentan),Tracleer (Bosentan),Niet iv Tractus Respiratorius,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1696768408893,40092427,bosentan Oral Tablet [Tracleer],Drug,MAPS_TO,,<auto>,1686702637298,
13048-70,Tracleer (Bosentan),56,,,,,Tracleer (Bosentan),Tracleer (Bosentan),Niet iv Tractus Respiratorius,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1696768408893,4167540,Enteral,Route,MAPS_TO_TYPE,,Patrick Thoral,1696768397957,
13951-65,Sodium Bicarbonate 4.2%,62,,,,,"Natriumbicarbonaat  4,2%","Natriumbicarbonaat  4,2%",2. Spuitpompen,Medicatie,0.65,APPROVED,EQUAL,Patrick Thoral,1693505177416,42621046,Sodium Bicarbonate 42 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1693505157119,
15000-56,1/2 omelette/scrambled eggs,18,,,,,1/2 omelet/roerei,1/2 omelet/roerei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.23,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
9029-15,amoxicillin/clavulanic acid,12102,,ATC,J01CR02,amoxicillin and beta-lactamase inhibitor,Amoxicilline/Clavulaanzuur (Augmentin),Amoxicilline/Clavulaanzuur (Augmentin),Injecties Antimicrobiele middelen,Medicatie,0.48,APPROVED,EQUAL,Patrick Thoral,1696683536307,21091196,Amoxicillin 1000 MG / Clavulanate 200 MG [Augmentin],Drug,MAPS_TO,,Patrick Thoral,1696683534904,
13953-29,Topiramate (Topamax),55,,,,,Topiramaat (Topamax),Topiramaat (Topamax),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.45,APPROVED,EQUAL,Patrick Thoral,1696723669788,40099160,topiramate Oral Tablet [Topamax],Drug,MAPS_TO,,<auto>,1686702638653,
14911-56,1/2 serving of fruit,126,,,,,1/2 portie fruit,1/2 portie fruit,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.29,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
15001-56,3/4 omelette/scrambled eggs,5,,,,,3/4 omelet/roerei,3/4 omelet/roerei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.25,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
9030-15,Aztreonam (Azactam),2,,,,,Aztreonam (Azactam),Aztreonam,Injecties Antimicrobiele middelen,Medicatie,0.66,APPROVED,EQUAL,Patrick Thoral,1696723684702,40740535,Aztreonam Injectable Solution [Azactam],Drug,MAPS_TO,,Patrick Thoral,1696723683301,
19224-69,Carboxymethyl Cellulose (Celluvisc),9,,,,,Carboxymethylcellulose (Celluvisc),Carboxymethylcellulose (Celluvisc),Niet iv Zalven/Crèmes/Druppels,Medicatie,0.65,APPROVED,EQUAL,Patrick Thoral,1696723706181,21110441,Carboxymethylcellulose 10 MG/ML [Celluvisc],Drug,MAPS_TO,,Patrick Thoral,1696723704870,
14184-118,Tonometry study,5,,,,,Tonometrie-studie,Tonometrie-studie,Research,Research-Processen,0.33,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
13049-30,Isosorbide-5-mononitrate (Promocard Durette),297,,,,,Isosorbide-5-mononitraat (Promocard Durette),Isosorbide-5-mononitraat (Promocard Durette),Niet iv Circulatie/Diurese,Medicatie,0.47,APPROVED,EQUAL,Patrick Thoral,1696723852187,19134643,isosorbide mononitrate 30 MG Extended Release Oral Tablet,Drug,MAPS_TO,,Patrick Thoral,1696723851070,
14912-56,3/4 serving of fruit,37,,,,,3/4 portie fruit,3/4 portie fruit,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.26,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14188-118,CBT - Study,43,,,,,CGT - Studie,CGT - Studie,Research,Research-Processen,0.19,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
19225-30,Irbesartan (Aprovel),150,,,,,Irbesartan (Aprovel),Irbesartan (Aprovel),Niet iv Circulatie/Diurese,Medicatie,0.64,APPROVED,EQUAL,Patrick Thoral,1696723857740,21141441,irbesartan Oral Tablet [Aprovel],Drug,MAPS_TO,,<auto>,1686702641583,
15002-56,1 serving of muesli (50g),84,,,,,1 portie muesli (50g),1 portie muesli (50g),Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.21,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
9031-70,Beclomethasone (Becloforte),5,,,,,Beclomethason (Becloforte),Beclomethason,Niet iv Tractus Respiratorius,Medicatie,0.67,APPROVED,EQUAL,Patrick Thoral,1696636344187,21139149,Beclomethasone 0.25 MG/ACTUAT [Becloforte],Drug,MAPS_TO,,Patrick Thoral,1696636343282,
14199-118,M-Trali - Study,15,,,,,M-Trali - Studie,M-Trali - Studie,Research,Research-Processen,0.35,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
13050-71,Glutamine (Dipeptives),18,,,,,Glutamine (Dipeptiven),Glutamine (Dipeptiven),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.49,APPROVED,EQUAL,Patrick Thoral,1696723927056,21065827,alanylglutamine Injection [Dipeptiven],Drug,MAPS_TO,,<auto>,1686702642639,
19226-24,Ibutilide fumarate (Corvert),4,,,,,Ibutilidefumaraat (Corvert),Ibutilidefumaraat (Corvert),Injecties Circulatie/Diuretica,Medicatie,0.68,APPROVED,EQUAL,Patrick Thoral,1711147202848,44114816,ibutilide 0.1 MG/ML Injection [Corvert] by Pfizer,Drug,MAPS_TO,,Patrick Thoral,1711147201250,
14913-56,1 serving of applesauce/fruit puree,1813,,,,,1 portie appelmoes/vruchtenmoes,1 portie appelmoes/vruchtenmoes,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.36,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
9032-70,Becotide 400 rota caps,4,,,,,Becotide 400 rotacaps,Becotide 400 rotacaps,Niet iv Tractus Respiratorius,Medicatie,0.45,APPROVED,EQUAL,Patrick Thoral,1696636382850,21060621,Beclomethasone 0.4 MG Dry Powder Inhaler [Becotide] by Glaxosmithkline,Drug,MAPS_TO,,Patrick Thoral,1696636381330,
14209-69,Carbomer (Liposic eye gel),350,,,,,Carbomeer (Liposic ooggel),Carbomeer (Liposic ooggel),Niet iv Zalven/Crèmes/Druppels,Medicatie,0.45,UNCHECKED,UNREVIEWED,,0,40923182,Carbomer 2 MG/ML [Liposic],Drug,MAPS_TO,,<auto>,1686702644577,
13050-67,Glutamine (Dipeptives),55,,,,,Glutamine (Dipeptiven),Glutamine (Dipeptiven),Injecties Hormonen/Vitaminen/Mineralen,Medicatie,0.49,APPROVED,EQUAL,Patrick Thoral,1696723927673,21065827,alanylglutamine Injection [Dipeptiven],Drug,MAPS_TO,,<auto>,1686702644749,
15003-56,1/4 portion of muesli (50g),10,,,,,1/4 portie muesli (50g),1/4 portie muesli (50g),Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.21,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19368-30,bisoprolol,78,,,,,Bisoprolol,Bisoprolol,Niet iv Circulatie/Diurese,Medicatie,1.00,UNCHECKED,UNREVIEWED,,0,1338005,bisoprolol,Drug,MAPS_TO,,<auto>,1686702645012,
14211-21,Didanosine (Videx),37,,,,,Didanosine (Videx),Didanosine (Videx),Niet iv Antimicrobiele middelen,Medicatie,0.56,UNCHECKED,UNREVIEWED,,0,1724869,didanosine,Drug,MAPS_TO,,<auto>,1686702645797,
19369-30,ticagrelor,1443,,ATC,B01AC24,ticagrelor,Ticagrelor (Brilique),Ticagrelor (Brilique),Niet iv Circulatie/Diurese,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696675116876,21031245,Ticagrelor 90 MG Oral Tablet [Brilique],Drug,MAPS_TO,,Patrick Thoral,1696675115209,
13051-29,Dronabinol (Marinol),247,,,,,Dronabinol (Marinol),Dronabinol (Marinol),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.63,UNCHECKED,UNREVIEWED,,0,1037005,dronabinol,Drug,MAPS_TO,,<auto>,1686702645972,
9033-69,Povidone Jew (Betadin),20,,,,,Povidon-Jood (Betadin),Povidon-Jood,Niet iv Zalven/Crèmes/Druppels,Medicatie,0.42,UNCHECKED,UNREVIEWED,,0,40000786,loratadine / povidone Oral Tablet,Drug,MAPS_TO,,<auto>,1686702646020,
14914-56,1/4 portion of applesauce/fruit purée,133,,,,,1/4 portie appelmoes/vruchtenmoes,1/4 portie appelmoes/vruchtenmoes,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.29,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
15004-56,1/2 portion of muesli (50g),14,,,,,1/2 portie muesli (50g),1/2 portie muesli (50g),Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.24,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19370-118,ABLE - Study,15,,,,,ABLE - Studie,ABLE - Studie,Research,Research-Processen,0.28,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
13054-30,Midodrin (Gutron),1105,,,,,Midodrine (Gutron),Midodrine (Gutron),Niet iv Circulatie/Diurese,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1690488252250,21030575,Midodrine Oral Tablet [Gutron],Drug,MAPS_TO,,<auto>,1686702647306,
9034-69,Betaxolol (Betoptic),66,,,,,Betaxolol (Betoptic),Betaxolol,Niet iv Zalven/Crèmes/Druppels,Medicatie,0.62,UNCHECKED,UNREVIEWED,,0,1322081,betaxolol,Drug,MAPS_TO,,<auto>,1686702647448,
9036-31,Bromhexine HCL,50,,,,,Broomhexine HCL,Broomhexine,Niet iv Tractus Digestivus,Medicatie,0.86,UNCHECKED,UNREVIEWED,,0,19030493,bromhexine,Drug,MAPS_TO,,<auto>,1686702648417,
15005-56,3/4 portion of muesli (50g),8,,,,,3/4 portie muesli (50g),3/4 portie muesli (50g),Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.20,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
14212-119,X-Not IV Large Volume to be determined,64,,,,,X-Niet IV Groot Volume nader te bepalen,X-Niet IV Groot Volume nader te bepalen,Niet IV Groot Volume,Medicatie,0.23,APPROVED,UNMATCHED,Patrick Thoral,1696795214792,0,Unmapped,,MAPS_TO,,,0,
13055-71,Alendronic acid (Fosamax),54,,,,,Alendroninezuur (Fosamax),Alendroninezuur (Fosamax),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.57,APPROVED,EQUAL,Patrick Thoral,1696616630387,40173591,alendronic acid 10 MG Oral Tablet [Fosamax],Drug,MAPS_TO,,Patrick Thoral,1696616629717,
9037-21,pheneticillin,290,,ATC,J01CE05,pheneticillin,Feneticilline (Broxil),Feneticilline (Broxil),Niet iv Antimicrobiele middelen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696683455838,40098940,phenethicillin Oral Capsule [Broxil],Drug,MAPS_TO,,Patrick Thoral,1696683455228,
14915-56,1/2 portion of applesauce/fruit puree,181,,,,,1/2 portie appelmoes/vruchtenmoes,1/2 portie appelmoes/vruchtenmoes,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.33,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
19372-30,Ivabradine (Procoralan),25,,,,,Ivabradine (Procoralan),Ivabradine (Procoralan),Niet iv Circulatie/Diurese,Medicatie,0.70,UNCHECKED,UNREVIEWED,,0,41081701,ivabradine Oral Tablet [PROCORALAN],Drug,MAPS_TO,,<auto>,1686702649773,
13056-29,Seleginine (Eldepryl),8,,,,,Seleginine (Eldepryl),Seleginine (Eldepryl),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.58,APPROVED,EQUAL,Patrick Thoral,1693506860176,40080009,selegiline Oral Tablet [Eldepryl],Drug,MAPS_TO,,<auto>,1686702650682,
