sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:values,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
16628,MCA_Eye,1923,3016335,1923,LOINC,9267-6,Glasgow coma score eye opening,MCA_Eye,Niet; Op pijn; Op aanspreken; Spontaan,MCA_Eye,APACHE II MICV,0,0.10,APPROVED,EQUIVALENT,Patrick Thoral,1711418912942,3026019,Glasgow coma score eye opening at First encounter,Measurement,MAPS_TO,,Patrick Thoral,1711418911386,
16634,MCA_Motorics,1922,3008223,1922,LOINC,9268-4,Glasgow coma score motor,MCA_Motoriek,Geen reactie; Strekken op pijn; Abnormaal buigen bij pijn; Terugtrekken bij pijn; Localiseren pijn; Voert opdrachten uit,MCA_Motoriek,APACHE II MICV,0,0.17,APPROVED,EQUIVALENT,Patrick Thoral,1711418917567,3026549,Glasgow coma score motor at First encounter,Measurement,MAPS_TO,,Patrick Thoral,1711418916274,
16640,MCA_Verbal,1920,3009094,1920,LOINC,9270-0,Glasgow coma score verbal,MCA_Verbal,Geen geluid; Onverstaanbare woorden; Onjuiste woorden; Verwarde taal; Georiënteerd,MCA_Verbal,APACHE II MICV,0,0.18,APPROVED,EQUIVALENT,Patrick Thoral,1711418925074,3013144,Glasgow coma score verbal at First encounter,Measurement,MAPS_TO,,Patrick Thoral,1711418923363,
17023,SEC_APACHEIV Nonoperative metabolic,101,,101,,,,SEC_APACHEIV  Non-operative metabolic,"Acid-base electrolyte disturbance; Diabetic ketoacidosis; Heat exhaustion/stroke; Hypoglycemia; Hypothermia; Hypothyroid/myxedema; Metabolic/endocrine medical, other",SEC_APACHEIV  Non-operative metabolic,APACHE IV Diagnosen,0,0.28,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
18613,SEC_Apache II Operative Haematological,3,,3,,,,SEC_Apache II Operatief Hematologisch,Hematologisch,SEC_Apache II Operatief Hematologisch,APACHE II Diagnosen,0,0.44,APPROVED,UNREVIEWED,Patrick Thoral,1710326511742,0,Unmapped,,MAPS_TO,,,0,
14139,Location placement,57292,,57292,,,,Locatie plaatsing,IC/MC; OK; EH; Anders,Locatie plaatsing,P_Globaal,0,0.72,APPROVED,UNMATCHED,Patrick Thoral,1711383703925,0,Unmapped,,MAPS_TO,,,0,
20011,Donation permission,180,,180,,,,Donatie toestemming,"Ja, voor Orgaandonatie; Ja, voor Weefseldonatie; Ja, voor Orgaan- en Weefseldonatie; Nee, omdat: Wens overledene; Nee, omdat: Donatie nooit besproken; Nee, omdat: Taal en Cultuurbarriëre; Nee, omdat: Behoud v d integriteit van het lichaam; Nee, omdat: Geen toestemming nabestaanden",Donatie toestemming,Overleden-Donatie,0,0.66,APPROVED,UNMATCHED,Patrick Thoral,1711460463627,0,Unmapped,,MAPS_TO,,,0,
16642,DMC_General surgery_General,20,,20,,,,DMC_Algemene chirurgie_Algemeen,Respiratoire insufficientie na ok; Haemorragische shock; Sepsis; Diagnose anders,DMC_Algemene chirurgie_Algemeen,Diagnose,0,0.36,APPROVED,UNREVIEWED,Patrick Thoral,1710325910396,0,Unmapped,,MAPS_TO,,,0,
16658,DMC_Internal Medicine_Pulmonary,126,,126,,,,DMC_Interne Geneeskunde_Pulmonaal,Pneumonie; Hogere luchtwegobstructie; Respiratoire insufficiëntie; Longembolie; Respiratoir neoplasma; Na respiratoir arrest; Asthma of allergie; Chronisch obstructieve longziekte; Aspiratie en vergiftiging; Diagnose anders,DMC_Interne Geneeskunde_Pulmonaal,Diagnose,0,0.36,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
16643,DMC_General Surgery_Abdominal Surgery,456,,456,,,,DMC_Algemene chirurgie_Buikchirurgie,Pancreatitis/pancreatectomie; Lever resectie/perfusie; Galblaas/ galwegen chirurgie; Oesophagus/maag chirurgie; Dunne/dikkedarm chirurgie (perforatie of obstructie); Proeflaparotomie; Gastro-intestinaal voor bloeding; Gastro-intestinaal voor neoplasma; Gastro-intestinaal overig; Diagnose anders,DMC_Algemene chirurgie_Buikchirurgie,Diagnose,0,0.32,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
17024,SEC_APACHEIV Non-operative musculo-skeletal,13,,13,,,,SEC_APACHEIV Non-operative musculo-skeletal,"Arthritis, rheumatoid; Cellulitis and localized soft tissue infections; Musculoskeletal medical, other; Rhabdomyolysis",SEC_APACHEIV Non-operative musculo-skeletal,APACHE IV Diagnosen,0,0.49,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
14143,Venous Line Complications,328,,328,,,,Veneuze lijn Complicaties,Mechanisch - Arteriële punctie of cannulatie; Mechanisch - Hematoom; Mechanisch - Pneumothorax; Mechanisch - Retroperitoneale bloeding; Infectiologisch - Klinische verdenking catheter infectie; Infectiologisch - Bacteriemie/lijnensepsis; Thrombotisch - Thrombose vene; Overig - Ritmestoornissen; Overig - Malpositie; Overig - Verlies guidewire; Anders,Veneuze lijn Complicaties,Klinische verrichting Lijnen,0,0.79,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20013,Donation Consent for Organs,125,,125,,,,Donatie Toestemming voor Organen,Hart; Lever; Longen; Dunne darm; Nieren Pancreas,Donatie Toestemming voor Organen,Overleden-Donatie,0,0.75,APPROVED,UNMATCHED,Patrick Thoral,1711460463627,0,Unmapped,,MAPS_TO,,,0,
18614,SEC_Apache II Operative Metabolism,11,,11,,,,SEC_Apache II Operatief Metabolisme,Metabolisme,SEC_Apache II Operatief Metabolisme,APACHE II Diagnosen,0,0.36,APPROVED,UNREVIEWED,Patrick Thoral,1710326511742,0,Unmapped,,MAPS_TO,,,0,
16659,DMC_Internal Medicine_Renal,11,,11,,,,DMC_Interne Geneeskunde_Renaal,Acute tubulus necrose; Diagnose anders,DMC_Interne Geneeskunde_Renaal,Diagnose,0,0.35,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
16660,DMC_Neurosurgery _Tumor surgery,375,,375,,,,DMC_Neurochirurgie _Tumor chirurgie,TC supra tentorieel; Meningioom supra tentorieel; TC infra tentorieel; Meningioom infra tentorieel; Brughoektumor; Diagnose anders,DMC_Neurochirurgie _Tumor chirurgie,Diagnose,0,0.34,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
17025,SEC_APACHEIV Nonoperative neurologic,333,,333,,,,SEC_APACHEIV Non-operative neurologic,"Abscess, neurologic; Coma/change in level of consciousness (for hepatic see GI, for diabetic see; CVA, cerebrovascular accident/stroke; Drug withdrawal; Encephalitis; Encephalopathies (excluding hepatic); Guillian-Barre syndrome; Hematoma, epidural; Hematoma, subdural; Hemorrhage/hematoma, intracranial; Hydrocephalus, obstructive; Meningitis; Neoplasm, neurologic; Neurologic medical, other; Neuromuscular medical, other; Nontraumatic coma due to anoxia/ischemia; Overdose, alcohols (bethanol, methanol, ethylene glycol); Overdose, antidepressants (cyclic, lithium); Overdose, other toxin, poison or drug; Overdose, sedatives, hypnotics, antipsychotics, benzodiazepines; Overdose, street drugs (opiates, cocaine, amphetamine); Poisoning, carbon monoxide, arsenic, cyanide; Seizures (primary-no structural brain disease); Subarachnoid hemorrhage/arteriovenous malformation; Subarachnoid hemorrhage/intracranial aneurysm",SEC_APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,0.39,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
16644,DMC_General surgery_Endocrinological surgery,26,,26,,,,DMC_Algemene chirurgie_Endocrinologische chirurgie,Endocrinologische chirurgie; Diagnose anders,DMC_Algemene chirurgie_Endocrinologische chirurgie,Diagnose,0,0.32,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
14149,Chest Drain Complications,24,,24,,,,Thoraxdrain Complicaties,Hematothorax; Pneumothorax; Infectie/Empyeem; Anders,Thoraxdrain Complicaties,Klinische verrichting Thoraxdrain,0,0.69,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20014,Donation Consent for tissue donation,189,,189,,,,Donatie Toestemming voor weefsels donatie,Hoornvliezen; Huid; Hartkleppen en thoracale aorta; Bot en pees weefsels; Bloedvaten; Overig,Donatie Toestemming voor weefsels donatie,Overleden-Donatie,0,0.52,APPROVED,UNMATCHED,Patrick Thoral,1711460463627,0,Unmapped,,MAPS_TO,,,0,
18615,SEC_Apache II Operative Neurological,214,,214,,,,SEC_Apache II Operatief Neurologisch,Neurologisch; Craniotomie voor neoplasma; Hoofd trauma; Craniotomie voor haematoom; Laminectomy and other spinal cord surgery,SEC_Apache II Operatief Neurologisch,APACHE II Diagnosen,0,0.37,APPROVED,UNREVIEWED,Patrick Thoral,1710326511742,0,Unmapped,,MAPS_TO,,,0,
16661,DMC_Neurosurgery _Vascular surgical,73,,73,,,,DMC_Neurochirurgie _Vasculair chirurgisch,Aneurysma chir. bij SAB; Aneurysma Coiling bij SAB; A.V.M./A.V.A.; Subduraal haematoom; Epiduraal haematoom; Intracerebraal haematoom; Diagnose anders,DMC_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,0.37,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
16662,DMC_Neurosurgery_Other,176,,176,,,,DMC_Neurochirurgie_Overige,Cranioplastiek; Overige neurologie/neurochirurgie; Neurochirurgisch Trauma; Diagnose anders,DMC_Neurochirurgie _Overige,Diagnose,0,0.37,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
16645,DMC_General surgery_ENT/Other,50,,50,,,,DMC_Algemene chirurgie_KNO/Overige,Mond/keelholte/kaak chirurgie (hemodynamische bewaking); Mond/keelholte/kaak chirurgie (respiratoire bewaking); Overige chirurgie (hemodynamische bewaking); Overige chirurgie (respiratoire bewaking); Diagnose anders,DMC_Algemene chirurgie_KNO/Overige,Diagnose,0,0.31,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
14161,Tracheotomy indication,552,,552,,,,Tracheotomie indicatie,Moeizame weaning; Bovenste luchtwegobstructie; Hoog risico op aspiratie; Anders,Tracheotomie indicatie,Klinische verrichting Respiratie,0,0.79,APPROVED,EQUIVALENT,Patrick Thoral,1711450298894,4134745,Percutaneous dilational tracheostomy,Procedure,MAPS_TO,,Patrick Thoral,1711450296490,
17026,SEC_APACHEIV Nonoperative respiratory,424,,424,,,,SEC_APACHEIV Non-operative respiratory,"Apnea, sleep; ARDS-adult respiratory distress syndrome, non-cardiogenic pulmonary edema; Arrest, respiratory (without cardiac arrest); Asthma; Atelectasis; Cancer, laryngeal; Cancer, lung; Effusions, pleural; Embolus, pulmonary; Emphysema/bronchitis; Hemorrhage/hemoptysis, pulmonary; Hemothorax; Hypertension-pulmonary, primary/idiopathic; Near drowning accident; Obstruction-airway (acute epiglottitis, post-extubation edema, foreign body, etc.); Pneumonia, aspiration; Pneumonia, bacterial; Pneumonia, fungal; Pneumonia, other; Pneumonia, viral; Pneumothorax; Respiratory- medical, other; Restrictive lung disease (i.e. sarcoidosis, pulmonary fibrosis); Weaning from mechanical ventilation (transfer from other unit or hospital only)",SEC_APACHEIV Non-operative respiratory,APACHE IV Diagnosen,0,0.40,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
16663,DMC_Neurology_Other,37,,37,,,,DMC_Neurologie_Overige,Coma; Observatie neurologische status; Infectieuze aandoeningen CZS; Epileptisch insult; Neuro musculaire ziekten; Overige neurologie; Diagnose anders,DMC_Neurologie_Overige,Diagnose,0,0.29,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
18616,SEC_Apache II Operative Renal,29,,29,,,,SEC_Apache II Operatief Renaal,Renaal; Renaal neoplasma; Renaal transplantatie,SEC_Apache II Operatief Renaal,APACHE II Diagnosen,0,0.35,APPROVED,UNREVIEWED,Patrick Thoral,1710326511742,0,Unmapped,,MAPS_TO,,,0,
20015,Donation Donor register consulted Outcome,203,,203,,,,Donatie Donorregister geraadpleegd Uitkomst,"Toestemming; Toestemming, met uitzondering van:; Bezwaar; Beslissing aan derden; Niet geregistreerd; Bezwaar tegen transplantatie gericht onderzoek",Donatie Donorregister geraadpleegd Uitkomst,Overleden-Donatie,0,0.43,APPROVED,UNMATCHED,Patrick Thoral,1711460463627,0,Unmapped,,MAPS_TO,,,0,
16664,DMC_Neurology_Vascular neurological,16,,16,,,,DMC_Neurologie_Vasculair neurologisch,S.A.B.; Vaatspasme protocol; Intracerebraal haematoom; Diagnose anders,DMC_Neurologie_Vasculair neurologisch,Diagnose,0,0.42,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
16646,DMC_General surgery_Orthopedic surgery,38,,38,,,,DMC_Algemene chirurgie_Orthopedische chirurgie,Orthopedische chirurgie (hemodynamische bewaking); Orthopedische chirurgie (respiratoire bewaking); Intercorporele spondylodese; Diagnose anders,DMC_Algemene chirurgie_Orthopedische chirurgie,Diagnose,0,0.42,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
14163,Tracheotomy contraindication,29,,29,,,,Tracheotomie contraindicatie,Na halschirurgie/Radiotherapie; Afstand os thyroïdea-manubrium < 3 cm; Tracheomalacie; Ernstige obesitas; Anders,Tracheotomie contraindicatie,Klinische verrichting Respiratie,0,0.72,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20094,Airway Vomiting,6,,6,,,,Airway Braken,Pre-transport; Per-transport; Post-transport,Airway Braken,Transport Registratie,0,0.74,APPROVED,UNMATCHED,Patrick Thoral,1711461691420,0,Unmapped,,MAPS_TO,,,0,
17027,SEC_APACHEIV Non-operative transplant,3,,3,,,,SEC_APACHEIV Non-operative transplant,"Kidney transplant, non operative admission",SEC_APACHEIV Non-operative transplant,APACHE IV Diagnosen,0,0.40,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
18617,SEC_Apache II Operative Respiratory,103,,103,,,,SEC_Apache II Operatief Respiratoir,Respiratoir; Thoraxchirurgie voor respiratoir neoplasm; Respiratoire insufficientie na OK,SEC_Apache II Operatief Respiratoir,APACHE II Diagnosen,0,0.35,APPROVED,UNREVIEWED,Patrick Thoral,1710326511742,0,Unmapped,,MAPS_TO,,,0,
16665,DMC_Subgroup_General surgery,724,,724,,,,DMC_Subgroep_Algemene chirurgie,Algemeen; Vaatchirurgie; Buikchirurgie; Transplantatie chirurgie; Endocrinologische chirurgie; Traumatologie; Orthopedische chirurgie; Urogenitaal; KNO/Overige,DMC_Subgroep_Algemene chirurgie,Diagnose,0,0.39,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
14169,Tracheotomy method,267,,267,,,,Tracheotomie methode,PercuTwist dilatatie-schroef; Griggs-forceps; Portex Ultraperc Single-step dilatatie; Minitrach,Tracheotomie methode,Klinische verrichting Respiratie,0,0.80,APPROVED,INEXACT,Patrick Thoral,1711450400716,4090784,Tracheostomy stoma,Observation,MAPS_TO,,Patrick Thoral,1711450396972,
16647,DMC_General surgery_Transplant surgery,122,,122,,,,DMC_Algemene chirurgie_Transplantatie chirurgie,Nier en pancreastransplantatie; Niertransplantatie,DMC_Algemene chirurgie_Transplantatie chirurgie,Diagnose,0,0.39,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
20096,Airway item otherwise pre-by-mail,1,,1,,,,Airway item anders pre-per-post,Pre-transport,Airway item anders pre-per-post,Transport Registratie,0,0.41,APPROVED,UNMATCHED,Patrick Thoral,1711461691420,0,Unmapped,,MAPS_TO,,,0,
17028,SEC_APACHEIV Non-operative trauma,123,,123,,,,SEC_APACHEIV Non-operative trauma,Abdomen only trauma; Abdomen/extremity trauma; Abdomen/multiple trauma; Abdomen/spinal trauma; Chest/abdomen trauma; Chest/extremity trauma; Chest/face trauma; Chest/multiple trauma; Chest/spinal trauma; Chest/thorax only trauma; Extremity only trauma; Extremity/multiple trauma; Face only trauma; Face/multiple trauma; Head (CNS) only trauma; Head/chest trauma; Head/extremity trauma; Head/face trauma; Head/multiple trauma; Head/pelvis trauma; Head/spinal trauma; Pelvis/face trauma; Spinal cord only trauma; Spinal/multiple trauma,SEC_APACHEIV Non-operative trauma,APACHE IV Diagnosen,0,0.40,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
16666,DMC_Subgroup_Internal Medicine,357,,357,,,,DMC_Subgroep_Interne geneeskunde,Cardiovasculair; Pulmonaal; Abdominaal; Infectieziekten; Metabool; Renaal; Hematologisch; Overige,DMC_Subgroep_Interne geneeskunde,Diagnose,0,0.40,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
16648,DMC_General Surgery_Trauma,241,,241,,,,DMC_Algemene chirurgie_Trauma,Multi trauma (operatief); Multi trauma (niet operatief); Hoofdtrauma (niet operatief); Thoraxtrauma (operatief); Thoraxtrauma (niet operatief); Buiktrauma (operatief); Buiktrauma (niet operatief); Trauma wervelfr/dwarslaesie (operatief); Trauma wervelfr/dwarslaesie (niet operatief); Extremiteitentrauma (operatief); Extremiteitentrauma (niet operatief); Diagnose anders,DMC_Algemene chirurgie_Trauma,Diagnose,0,0.35,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
20098,Breathing %Oxygen changed,15,,15,,,,Breathing %Zuurstof veranderd,Pre-transport; Per-transport; Post-transport,Breathing %Zuurstof veranderd,Transport Registratie,0,0.32,APPROVED,UNMATCHED,Patrick Thoral,1711461691420,0,Unmapped,,MAPS_TO,,,0,
16667,DMC_Subgroup_Neurosurgery,640,,640,,,,DMC_Subgroep_Neurochirurgie,Vasculair chirurgisch; Tumor chirurgie; Overige,DMC_Subgroep_Neurochirurgie,Diagnose,0,0.38,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
14171,Tracheotomy Perioperative complications,44,,44,,,,Tracheotomie Perioperatieve complicaties,Bloeding zonder transfusie; Bloeding met transfusie; Verlies luchtweg/extubatie; Leslies/scheur kraakbeen trachea (ringen); Hypotensie < 5 minuten; Ernstige Hypoxaemie; Anders,Tracheotomie Perioperatieve complicaties,Klinische verrichting Respiratie,0,0.71,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
16668,DMC_Subgroup_Neurology,56,,56,,,,DMC_Subgroep_Neurologie,Vasculair neurologisch; Overige,DMC_Subgroep_Neurologie,Diagnose,0,0.39,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
18619,MC NAS Administrative and management tasks,34682,,34682,,,,MC NAS Administratieve en management taken,"Het verrichten van routinewerkzaamheden zoals het verwerken van klinische gegevens, onderzoeken afspreken, overdrachten; Het verrichten van administratieve en management taken die de volle aandacht vragen voor 2 uur of meer  per dienst bv. ontslag, onderzoeksactiviteiten etc.; Het verrichten van administratieve en management taken die de volle aandacht vragen voor 4 uur of  meerl per dienst bv. overlijden, donatieprocedure of overleg met andere disciplines",MC NAS Administratieve en management taken,NAS score,0,0.59,APPROVED,UNMATCHED,Patrick Thoral,1710326552970,0,Unmapped,,MAPS_TO,,,0,
20100,Breathing Hypoxia,6,,6,,,,Breathing Hypoxie,Pre-transport; Per-transport; Post-transport,Breathing Hypoxie,Transport Registratie,0,0.73,APPROVED,UNMATCHED,Patrick Thoral,1711461691420,0,Unmapped,,MAPS_TO,,,0,
17029,SEC_APACHEIV Postoperative cardiovascular,874,,874,,,,SEC_APACHEIV Post-operative cardiovascular,"Ablation or mapping of cardiac conduction pathway; Aneurysm, abdominal aortic; Aneurysm, abdominal aortic; with dissection; Aneurysm, abdominal aortic; with rupture; Aneurysm, thoracic aortic; Aneurysm, thoracic aortic; with dissection; Aneurysm, thoracic aortic; with rupture; Aneurysms, repair of other (except ventricular); Aortic and Mitral valve replacement; Aortic valve replacement (isolated); Atrial Septal Defect (ASD) Repair; CABG alone, coronary artery bypass grafting; CABG alone, redo; CABG redo with other operation; CABG redo with valve repair/replacement; CABG with aortic valve replacement; CABG with double valve repair/replacement; CABG with mitral valve repair; CABG with mitral valve replacement; CABG with other operation; Cardiac arrest (with or without respiratory arrest; for respiratory arrest see; Cardiovascular surgery, other; Complications of prev. peripheral vasc. surgery, (i.e.ligation of bleeder, exploration; Complications of previous open-heart surgery, surgery for (i.e. bleeding, infection,; Congenital Defect Repair (Other); Embolectomy (with general anesthesia); Endarterectomy (other vessels); Endarterectomy, carotid; Graft, aorto-femoral bypass; Graft, aorto-iliac bypass; Grafts, all other bypass (except renal); Grafts, removal of infected vascular; Mitral valve repair; Mitral valve replacement; Pericardial effusion/tamponade; Sepsis, cutaneous/soft tissue; Sepsis, GI; Sepsis, other; Sepsis, pulmonary; Thrombectomy (with general anesthesia); Tricuspid valve surgery; Vascular surgery, other",SEC_APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,0.45,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
16649,DMC_General Surgery_Urogenital,85,,85,,,,DMC_Algemene chirurgie_Urogenitaal,Nefrectomie (neoplasma); Nefrectomie (overige); Urologie (overige); Gynacologische chirurgie (hemodynamische bewaking); Gynacologische chirurgie (respiratoire bewaking); Diagnose anders,DMC_Algemene chirurgie_Urogenitaal,Diagnose,0,0.32,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
