sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:unitid,ADD_INFO:unit,ADD_INFO:ucum_code,ADD_INFO:low_normal_value,ADD_INFO:high_normal_value,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
9742,GENTAMIdal (blood),17,,,,,GENTAMIdal (bloed),GENTAMIdal (bloed),LAB-Tox-bloed,63,mg/l,mg/L,0,2,0.42,APPROVED,EQUAL,Patrick Thoral,1696983134578,3016254,Gentamicin [Mass/volume] in Serum or Plasma --trough,Measurement,MAPS_TO,,Patrick Thoral,1696983133563,
10174,folic acid (blood),359,,,,,Foliumzuur (bloed),Foliumzuur (bloed),LAB-Chem-bloed,44,nmol/l,nmol/L,"5,4",,0.40,APPROVED,EQUAL,Patrick Thoral,1696982489743,3021960,Folate [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696982489147,
12023,LD (blood),66406,,,,,LD (bloed),LD (bloed),LAB-Chem-bloed,183,E/l,U/L,,250,0.43,APPROVED,EQUAL,Patrick Thoral,1688593923803,3016436,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1688593922700,
11810,Hb A2 (blood),1,,,,,Hb A2 (bloed),Hb A2 (bloed),LAB-Hem-bloed,191,Geen,,,,0.53,UNCHECKED,UNREVIEWED,,0,4306437,Red cell hemoglobin A2 estimation test,Measurement,MAPS_TO,,<auto>,1686354525901,
18449,Lipase Ascitic Fluid (Ascitic Fluid),5,,,,,Lipase ascitesvocht (ascitesvocht),Lipase ascitesvocht (ascitesvocht),LAB-Chem-diversen,183,E/l,U/L,,,0.52,APPROVED,EQUAL,Patrick Thoral,1696986075705,3045996,Lipase [Enzymatic activity/volume] in Peritoneal fluid,Measurement,MAPS_TO,,Patrick Thoral,1696986074712,
18001,Ca (alb.corr.) (blood),20459,,,,,Ca (alb.corr.) (bloed),Ca (alb.corr.) (bloed),LAB-Chem-bloed,97,mmol/l,mmol/L,,,0.29,APPROVED,EQUAL,Patrick Thoral,1688595089647,3020059,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1688595088324,
12024,LD (other),406,,,,,LD (overig),LD (overig),LAB-Chem-diversen,183,E/l,U/L,,,0.27,APPROVED,EQUAL,Patrick Thoral,1696985637184,3008338,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid,Measurement,MAPS_TO,,Patrick Thoral,1696985635342,
9743,GENTAMItop (blood),5,,,,,GENTAMItop (bloed),GENTAMItop (bloed),LAB-Tox-bloed,63,mg/l,mg/L,6,10,0.41,APPROVED,EQUAL,Patrick Thoral,1696983159603,3003506,Gentamicin [Moles/volume] in Serum or Plasma --peak,Measurement,MAPS_TO,,Patrick Thoral,1696983155802,
10175,Fibrinogen (blood),2744,,,,,Fibrinogeen  (bloed),Fibrinogeen  (bloed),LAB-Hem-bloed,62,g/l,g/L,2,4,0.56,APPROVED,EQUAL,Patrick Thoral,1696982365997,3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,Measurement,MAPS_TO,,Patrick Thoral,1696982365022,
11811,Hb F (blood),1,,,,,Hb F (bloed),Hb F (bloed),LAB-Hem-bloed,191,Geen,,,,0.33,UNCHECKED,UNREVIEWED,,0,4353845,Segmental pressure (blood pressure),Measurement,MAPS_TO,,<auto>,1686354526271,
18004,Carbamazepine Diol (Blood),1,,,,,Carbamazepine-diol  (bloed),Carbamazepine-diol  (bloed),LAB-Tox-bloed,63,mg/l,mg/L,,,0.61,APPROVED,EQUAL,Patrick Thoral,1715201364225,40763094,10-Hydroxycarbazepine [Mass/volume] in Blood,Measurement,MAPS_TO,,Patrick Thoral,1715201353365,
18450,Lipase drain fluid (drain),11,,,,,Lipase drainvocht (drain),Lipase drainvocht (drain),LAB-Chem-diversen,183,E/l,U/L,,,0.41,APPROVED,EQUAL,Patrick Thoral,1696986095074,3026286,Lipase [Enzymatic activity/volume] in Body fluid,Measurement,MAPS_TO,,Patrick Thoral,1696986094442,
9744,Haloperidol (blood),4,,,,,Haloperidol (bloed),Haloperidol (bloed),LAB-Tox-bloed,41,µg/l,ug/L,3,12,0.48,APPROVED,EQUAL,Patrick Thoral,1715203272191,3000415,Haloperidol [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715203267486,
11812,HbA1c (blood),298,,,,,HbA1c (bloed),HbA1c (bloed),LAB-Endo-bloed,191,Geen,,"4,3","6,1",0.61,APPROVED,EQUAL,Patrick Thoral,1715033159014,3004410,Hemoglobin A1c/Hemoglobin.total in Blood,Measurement,MAPS_TO,,Patrick Thoral,1715033134403,
11812,HbA1c (blood),298,,,,,HbA1c (bloed),HbA1c (bloed),LAB-Endo-bloed,191,Geen,,"4,3","6,1",0.61,APPROVED,EQUAL,Patrick Thoral,1715033159014,8554,percent,Unit,MAPS_TO_UNIT,,Patrick Thoral,1715033150409,
12026,AF liver fr. (blood),1,,,,,AF lever fr.  (bloed),AF lever fr.  (bloed),LAB-Chem-bloed,183,E/l,U/L,,,0.28,UNCHECKED,UNREVIEWED,,0,4353845,Segmental pressure (blood pressure),Measurement,MAPS_TO,,<auto>,1686354526594,
9745,Imipramine (blood),1,,,,,Imipramine (bloed),Imipramine (bloed),LAB-Tox-bloed,41,µg/l,ug/L,150,300,0.47,APPROVED,EQUAL,Patrick Thoral,1715203360017,3001818,Imipramine [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715203358911,
12028,LH (blood),29,,,,,LH (bloed),LH (bloed),LAB-Endo-bloed,183,E/l,U/L,,,0.37,UNCHECKED,UNREVIEWED,,0,4353845,Segmental pressure (blood pressure),Measurement,MAPS_TO,,<auto>,1686354526779,
10176,Bleeding time (old) (blood),43,,,,,Bloedingstijd (oud) (bloed),Bloedingstijd (oud) (bloed),LAB-Hem-bloed,4,min,min,0,6,0.44,UNCHECKED,UNREVIEWED,,0,37398633,Bleeding time,Measurement,MAPS_TO,,<auto>,1686354526836,
18005,Carbamazepine Diol (blood),13,,,,,Carbamazepine-diol (bloed),Carbamazepine-diol (bloed),LAB-Tox-bloed,63,mg/l,mg/L,,,0.61,APPROVED,EQUAL,Patrick Thoral,1715201363570,40763094,10-Hydroxycarbazepine [Mass/volume] in Blood,Measurement,MAPS_TO,,Patrick Thoral,1715201349141,
11816,HLA-DR (bone marrow),6,,,,,HLA-DR (beenmerg),HLA-DR (beenmerg),LAB-Imm-beenmerg,191,Geen,,,,0.58,UNCHECKED,UNREVIEWED,,0,3028765,HLA-DR [Type],Measurement,MAPS_TO,,<auto>,1686354526894,
18465,"Midazolam + Midazolam, 4-hydroxy (blood)",1,,,,,"Midazolam + Midazolam, 4-hydroxy (bloed)","Midazolam + Midazolam, 4-hydroxy (bloed)",LAB-Tox-bloed,41,µg/l,ug/L,,,0.36,APPROVED,UNMATCHED,Patrick Thoral,1715203885711,0,Unmapped,,MAPS_TO,,,0,
12043,Lipase (blood),3436,,,,,Lipase (bloed),Lipase (bloed),LAB-Chem-bloed,183,E/l,U/L,,190,0.42,APPROVED,EQUAL,Patrick Thoral,1696986056603,3004905,Lipase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696986055879,
11817,HLA-DR (blood),13,,,,,HLA-DR (bloed),HLA-DR (bloed),LAB-Imm-bloed,191,Geen,,,,0.65,UNCHECKED,UNREVIEWED,,0,3028765,HLA-DR [Type],Measurement,MAPS_TO,,<auto>,1686354527131,
9746,Desipramine (blood),1,,,,,Desipramine (bloed),Desipramine (bloed),LAB-Tox-bloed,41,µg/l,ug/L,,,0.51,APPROVED,EQUAL,Patrick Thoral,1715202678833,3000167,Desipramine [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715202677654,
18019,CD11b (bone marrow),2,,,,,CD11b (beenmerg),CD11b (beenmerg),LAB-Imm-beenmerg,191,Geen,,,,0.64,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
12044,Lipase (other),63,,,,,Lipase (overig),Lipase (overig),LAB-Chem-diversen,183,E/l,U/L,,,0.44,APPROVED,EQUAL,Patrick Thoral,1696986062409,3026286,Lipase [Enzymatic activity/volume] in Body fluid,Measurement,MAPS_TO,,Patrick Thoral,1696986061841,
10178,Time After Pr. (semen),1,,,,,Tijd Na Pr. (semen),Tijd Na Pr. (semen),LAB-Divers-semen,4,min,min,,,0.29,UNCHECKED,UNREVIEWED,,0,4263975,Tumor size after sectioning,Measurement,MAPS_TO,,<auto>,1686354527461,
18020,CD11b (blood),5,,,,,CD11b (bloed),CD11b (bloed),LAB-Imm-bloed,191,Geen,,,,0.67,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
11832,kappa (bone marrow),4,,,,,kappa (beenmerg),kappa (beenmerg),LAB-Hem-beenmerg,191,Geen,,,,0.50,UNCHECKED,UNREVIEWED,,0,3051293,Kappa lymphocytes/100 lymphocytes in Bone marrow,Measurement,MAPS_TO,,<auto>,1686354527479,
9750,Isoniazid (blood),2,,,,,Isoniazide (bloed),Isoniazide (bloed),LAB-Tox-bloed,63,mg/l,mg/L,,,0.47,APPROVED,EQUAL,Patrick Thoral,1715203401205,3011941,Isoniazid [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715203400218,
18468,"Mirtazepine + Mirtazepine, desmethyl (blood)",2,,,,,"Mirtazepine + Mirtazepine, desmethyl (bloed)","Mirtazepine + Mirtazepine, desmethyl (bloed)",LAB-Tox-bloed,41,µg/l,ug/L,,,0.32,APPROVED,EQUAL,Patrick Thoral,1715204006327,40765580,Mirtazapine+Normirtazapine [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715204005021,
9753,Lithium (blood),110,,,,,Lithium (bloed),Lithium (bloed),LAB-Tox-bloed,97,mmol/l,mmol/L,"0,6","1,2",0.52,APPROVED,EQUAL,Patrick Thoral,1696986113205,3024666,"Lithium, Blood [Moles/volume] in Serum or Plasma",Measurement,MAPS_TO,,Patrick Thoral,1696986111707,
18027,CD123 (bone marrow),3,,,,,CD123 (beenmerg),CD123 (beenmerg),LAB-Imm-beenmerg,191,Geen,,,,0.62,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
11833,lambda (bone marrow),4,,,,,lambda (beenmerg),lambda (beenmerg),LAB-Hem-beenmerg,191,Geen,,,,0.42,UNCHECKED,UNREVIEWED,,0,37393037,Urine lambda light chain level,Measurement,MAPS_TO,,<auto>,1686354527804,
12046,MACRO FR. (blood),1,,,,,MACRO-FR. (bloed),MACRO-FR. (bloed),LAB-Chem-bloed,183,E/l,U/L,,,0.29,UNCHECKED,UNREVIEWED,,0,4353845,Segmental pressure (blood pressure),Measurement,MAPS_TO,,<auto>,1686354527822,
10179,Exl.After (semen),1,,,,,Vervl.Na (semen),Vervl.Na (semen),LAB-Divers-semen,4,min,min,,,0.16,UNCHECKED,UNREVIEWED,,0,4263975,Tumor size after sectioning,Measurement,MAPS_TO,,<auto>,1686354527864,
12048,MB (blood),3,,,,,MB (bloed),MB (bloed),LAB-Chem-bloed,183,E/l,U/L,,,0.40,APPROVED,EQUAL,Patrick Thoral,1696986251338,3029790,Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696986250716,
9754,Lorazepam (blood),2,,,,,Lorazepam (bloed),Lorazepam (bloed),LAB-Tox-bloed,41,µg/l,ug/L,20,200,0.48,APPROVED,EQUAL,Patrick Thoral,1715203551572,40762760,LORazepam [Mass/volume] in Blood,Measurement,MAPS_TO,,Patrick Thoral,1715203550212,
18040,CD133 (bone marrow),2,,,,,CD133 (beenmerg),CD133 (beenmerg),LAB-Imm-beenmerg,191,Geen,,,,0.51,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
10180,Volume (semen),1,,,,,Volume (semen),Volume (semen),LAB-Divers-semen,6,ml,mL,,,0.60,UNCHECKED,UNREVIEWED,,0,3001894,Volume of Semen,Measurement,MAPS_TO,,<auto>,1686354528136,
18476,Sodium dialysate (dialysate),1,,,,,Natrium dialysaat (dialysaat),Natrium dialysaat (dialysaat),LAB-Chem-diversen,97,mmol/l,mmol/L,,,0.39,UNCHECKED,UNREVIEWED,,0,37397777,Dialysis fluid sodium level,Measurement,MAPS_TO,,<auto>,1686354528163,
11834,LD fraction 1 (blood),3,,,,,LD-fractie 1 (bloed),LD-fractie 1 (bloed),LAB-Chem-bloed,191,Geen,,,,0.36,UNCHECKED,UNREVIEWED,,0,3034883,Acid hemolysis fraction in Blood,Measurement,MAPS_TO,,<auto>,1686354528245,
18041,CD133 (blood),5,,,,,CD133 (bloed),CD133 (bloed),LAB-Imm-bloed,191,Geen,,,,0.46,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
12062,Prolactin (blood),90,,,,,Prolactine (bloed),Prolactine (bloed),LAB-Endo-bloed,183,E/l,U/L,0,30,0.41,UNCHECKED,UNREVIEWED,,0,4353845,Segmental pressure (blood pressure),Measurement,MAPS_TO,,<auto>,1686354528405,
9761,Methotrexate (blood),26,,,,,Methotrexaat (bloed),Methotrexaat (bloed),LAB-Tox-bloed,99,µmol/l,umol/L,,,0.55,APPROVED,EQUAL,Patrick Thoral,1715203616958,3017115,Methotrexate [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715203616149,
10181,Progr.Mot. (semen),1,,,,,Progr.Mot. (semen),Progr.Mot. (semen),LAB-Divers-semen,101,10^9/l,10*9/L,,,0.14,UNCHECKED,UNREVIEWED,,0,3030619,Spermatozoa Progressive [Presence] in Semen,Measurement,MAPS_TO,,<auto>,1686354528521,
18478,NK cells (bone marrow),1,,,,,NK-cellen (beenmerg),NK-cellen (beenmerg),LAB-Hem-beenmerg,191,Geen,,,,0.47,UNCHECKED,UNREVIEWED,,0,3039404,Other cells/100 cells in Bone marrow,Measurement,MAPS_TO,,<auto>,1686354528551,
12071,Y-GT (blood),59940,,,,,Y-GT (bloed),Y-GT (bloed),LAB-Chem-bloed,183,E/l,U/L,,55,0.29,APPROVED,EQUAL,Patrick Thoral,1688593971968,3026910,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1688593969116,
18045,CD138 (bone marrow),1,,,,,CD138 (beenmerg),CD138 (beenmerg),LAB-Imm-beenmerg,191,Geen,,,,0.60,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
11836,LD fraction 2 (blood),3,,,,,LD-fractie 2 (bloed),LD-fractie 2 (bloed),LAB-Chem-bloed,191,Geen,,,,0.36,UNCHECKED,UNREVIEWED,,0,3034883,Acid hemolysis fraction in Blood,Measurement,MAPS_TO,,<auto>,1686354528769,
9766,Midazolam (blood),8,,,,,Midazolam (bloed),Midazolam (bloed),LAB-Tox-bloed,41,µg/l,ug/L,80,250,0.50,APPROVED,EQUAL,Patrick Thoral,1715203652227,40762768,Midazolam [Mass/volume] in Blood,Measurement,MAPS_TO,,Patrick Thoral,1715203651167,
18486,P.B.G. (sat. urine),2,,,,,P.B.G. (verz. urine),P.B.G. (verz. urine),LAB-Divers-verz. urine,157,µmol/24uur,umol/(24.h),,,0.20,UNCHECKED,UNREVIEWED,,0,3027221,Fetal Biophysical profile.breathing movement US,Measurement,MAPS_TO,,<auto>,1686354528835,
18046,CD138 (blood),2,,,,,CD138 (bloed),CD138 (bloed),LAB-Imm-bloed,191,Geen,,,,0.62,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
10182,Motiles (semen),1,,,,,Motielen (semen),Motielen (semen),LAB-Divers-semen,101,10^9/l,10*9/L,,,0.33,UNCHECKED,UNREVIEWED,,0,4008135,Motilin measurement,Measurement,MAPS_TO,,<auto>,1686354528940,
18053,CD14 PNH (blood),3,,,,,CD14 PNH (bloed),CD14 PNH (bloed),LAB-Imm-bloed,329,%neg,%{negative},,,0.43,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
12072,Y-GT (diverse)-LabZis2,1,,,,,Y-GT (divers)-LabZis2,Y-GT-div-LabZis2,LAB-LabZIS2_Ongebruikt,183,E/l,U/L,,,0.21,UNCHECKED,UNREVIEWED,,0,3008983,Thermoactinomyces vulgaris 2 Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1686354529201,
11838,LD fraction 3 (blood),3,,,,,LD-fractie 3 (bloed),LD-fractie 3 (bloed),LAB-Chem-bloed,191,Geen,,,,0.35,UNCHECKED,UNREVIEWED,,0,3034883,Acid hemolysis fraction in Blood,Measurement,MAPS_TO,,<auto>,1686354529257,
18069,CD19/CD103 (blood),2,,,,,CD19/CD103 (bloed),CD19/CD103 (bloed),LAB-Imm-bloed,191,Geen,,,,0.43,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
18490,pH pleural fluid (pleural puncture),136,,,,,pH pleuravocht (pleurapunct.),pH pleuravocht (pleurapunct.),LAB-Divers-diversen,191,Geen,,,,0.59,APPROVED,EQUAL,Patrick Thoral,1696986813101,3035880,pH of Pleural fluid,Measurement,MAPS_TO,,<auto>,1686354529313,
10183,Not Moth. (semen),1,,,,,Niet Mot. (semen),Niet Mot. (semen),LAB-Divers-semen,101,10^9/l,10*9/L,,,0.19,UNCHECKED,UNREVIEWED,,0,4263457,Aspartate aminotransferase measurement,Measurement,MAPS_TO,,<auto>,1686354529367,
9767,"Midazolam, 4-hydroxy (blood)",1,,,,,"Midazolam, 4-hydroxy (bloed)","Midazolam, 4-hydroxy (bloed)",LAB-Tox-bloed,41,µg/l,ug/L,,,0.40,APPROVED,EQUAL,Patrick Thoral,1715203722614,40757533,4-Hydroxymidazolam [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715203721109,
18102,CD24 PNH (blood),3,,,,,CD24 PNH (bloed),CD24 PNH (bloed),LAB-Imm-bloed,329,%neg,%{negative},,,0.43,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
12079,Con.Bili (blood),4317,,,,,Gecon.Bili (bloed),Gecon.Bili (bloed),LAB-Chem-bloed,214,x TOT,{fraction},0,"0,25",0.43,APPROVED,EQUAL,Patrick Thoral,1696982836369,3043744,Bilirubin.conjugated+indirect [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696982835499,
11840,LD fraction 4 (blood),3,,,,,LD-fractie 4 (bloed),LD-fractie 4 (bloed),LAB-Chem-bloed,191,Geen,,,,0.34,UNCHECKED,UNREVIEWED,,0,3034883,Acid hemolysis fraction in Blood,Measurement,MAPS_TO,,<auto>,1686354529714,
9768,Mitotane (blood),2,,,,,Mitotaan (bloed),Mitotaan (bloed),LAB-Tox-bloed,63,mg/l,mg/L,,,0.41,APPROVED,EQUAL,Patrick Thoral,1715204090857,3005578,Mitotane [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715204090069,
18492,Plasma cells (bone marrow),2,,,,,Plasmacellen (beenmerg),Plasmacellen (beenmerg),LAB-Hem-beenmerg,191,Geen,,,,0.54,UNCHECKED,UNREVIEWED,,0,44786881,Plasma cells assessment in Bone marrow Narrative,Measurement,MAPS_TO,,<auto>,1686354529805,
10184,Round Cell. (semen),1,,,,,Ronde Cel. (semen),Ronde Cel. (semen),LAB-Divers-semen,101,10^9/l,10*9/L,,,0.30,UNCHECKED,UNREVIEWED,,0,4100147,Neutrophil band count,Measurement,MAPS_TO,,<auto>,1686354529887,
18115,CD34 (HPC-A allogeneic),5,,,,,CD34 (HPC-A allogeen),CD34 (HPC-A allogeen),LAB-Imm-bloed,191,Geen,,,,0.41,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
12080,Con.Bili (other),11,,,,,Gecon.Bili (overig),Gecon.Bili (overig),LAB-Chem-diversen,214,x TOT,{fraction},,,0.45,APPROVED,EQUAL,Patrick Thoral,1710254147360,3044599,Bilirubin.conjugated/Bilirubin.total in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1710254146099,
11842,LD fraction 5 (blood),3,,,,,LD-fractie 5 (bloed),LD-fractie 5 (bloed),LAB-Chem-bloed,191,Geen,,,,0.34,UNCHECKED,UNREVIEWED,,0,3034883,Acid hemolysis fraction in Blood,Measurement,MAPS_TO,,<auto>,1686354530169,
18498,Pregabalin (blood),1,,,,,Pregabaline (bloed),Pregabaline (bloed),LAB-Tox-bloed,63,mg/l,mg/L,,,0.51,APPROVED,EQUAL,Patrick Thoral,1715204634509,3050351,Pregabalin [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1715204633401,
10186,Raised (semen),1,,,,,Opgebracht (semen),Opgebracht (semen),LAB-Divers-semen,6,ml,mL,,,0.31,UNCHECKED,UNREVIEWED,,0,37392921,Semen pH,Measurement,MAPS_TO,,<auto>,1686354530235,
18116,CD34 (HPC-A autologous),3,,,,,CD34 (HPC-A autoloog),CD34 (HPC-A autoloog),LAB-Imm-bloed,191,Geen,,,,0.40,APPROVED,UNREVIEWED,Patrick Thoral,1696977258772,0,Unmapped,,MAPS_TO,,,0,
9774,"Carbamazepine, monohydroxy (blood)",3,,,,,"Carbamazepine, monohydroxy (bloed)","Carbamazepine, monohydroxy (bloed)",LAB-Tox-bloed,63,mg/l,mg/L,,,0.47,APPROVED,EQUAL,Patrick Thoral,1715200528071,40763094,10-Hydroxycarbazepine [Mass/volume] in Blood,Measurement,MAPS_TO,,Patrick Thoral,1715200527137,
10187,Free-T4 (blood),11171,,,,,Vrij-T4 (bloed),Vrij-T4 (bloed),LAB-Endo-bloed,98,pmol/l,pmol/L,11,22,0.33,APPROVED,EQUAL,Patrick Thoral,1710245703527,3008486,Thyroxine (T4) free [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1710245691020,
11846,Lymphocytes % (blood),4606,,,,,Lymfocyten % (bloed),Lymfocyten % (bloed),LAB-Hem-bloed,191,Geen,,10,35,0.47,APPROVED,EQUAL,Patrick Thoral,1710254287150,3002030,Lymphocytes/100 leukocytes in Blood,Measurement,MAPS_TO,,Patrick Thoral,1696986152811,
11846,Lymphocytes % (blood),4606,,,,,Lymfocyten % (bloed),Lymfocyten % (bloed),LAB-Hem-bloed,191,Geen,,10,35,0.47,APPROVED,EQUAL,Patrick Thoral,1710254287150,8554,percent,Unit,MAPS_TO_UNIT,,Patrick Thoral,1710254285957,
