source_concept_id,source_concept,count,count_validated,itemid,item,abbreviation,category,islabresult,valueid,source_concept_en
13121-1,Pancreatitis/pancreatectomie,247,247,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,1,Pancreatitis/pancreatectomy
13121-2,Lever resectie/perfusie,340,340,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,2,Liver resection/perfusion
13121-3,Galblaas/ galwegen chirurgie,49,49,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,3,Gallbladder/bile duct surgery
13121-4,Oesophagus/maag chirurgie,1556,1556,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,4,Oesophageal/gastric surgery
13121-5,Dunne/dikkedarm chirurgie (perforatie of obstructie),1125,1125,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,5,Small/colon surgery (perforation or obstruction)
13121-6,Proeflaparotomie,325,325,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,6,Trial laparotomy
13121-7,Gastro-intestinaal voor bloeding,130,130,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,7,Gastrointestinal for bleeding
13121-8,Gastro-intestinaal voor neoplasma,764,764,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,8,Gastrointestinal for neoplasm
13121-9,Gastro-intestinaal overig,250,250,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,9,Gastrointestinal other
13121-10,Diagnose anders,375,375,13121,D_Algemene chirurgie_Buikchirurgie,D_Algemene chirurgie_Buikchirurgie,Diagnose,0,10,Diagnosis different
13122-2,Nier en pancreastransplantatie,14,14,13122,D_Algemene chirurgie_Transplantatie chirurgie,D_Algemene chirurgie_Transplantatie chirurgie,Diagnose,0,2,Kidney and pancreas transplant
13122-3,Niertransplantatie,634,634,13122,D_Algemene chirurgie_Transplantatie chirurgie,D_Algemene chirurgie_Transplantatie chirurgie,Diagnose,0,3,Kidney transplant
13122-4,Pancreastransplantatie ,1,1,13122,D_Algemene chirurgie_Transplantatie chirurgie,D_Algemene chirurgie_Transplantatie chirurgie,Diagnose,0,4,Pancreas transplantation
13122-5,Transplantectomie (renaal),6,6,13122,D_Algemene chirurgie_Transplantatie chirurgie,D_Algemene chirurgie_Transplantatie chirurgie,Diagnose,0,5,Transplantectomy (renal)
13123-1,Endocrinologische chirurgie,169,169,13123,D_Algemene chirurgie_Endocrinologische chirurgie,D_Algemene chirurgie_Endocrinologische chirurgie,Diagnose,0,1,Endocrinological surgery
13123-2,Diagnose anders,8,8,13123,D_Algemene chirurgie_Endocrinologische chirurgie,D_Algemene chirurgie_Endocrinologische chirurgie,Diagnose,0,2,Diagnosis different
13124-1,Multi trauma (operatief),1358,1358,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,1,Multi trauma (surgical)
13124-2,Multi trauma (niet operatief),1222,1222,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,2,Multi trauma (non-operative)
13124-3,Hoofdtrauma (operatief),108,108,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,3,Head trauma (surgical)
13124-4,Hoofdtrauma (niet operatief),583,583,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,4,Head trauma (non-surgical)
13124-5,Thoraxtrauma (operatief),30,30,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,5,Thoracic trauma (operative)
13124-6,Thoraxtrauma (niet operatief),483,483,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,6,Thoracic trauma (non-operative)
13124-7,Buiktrauma (operatief),73,73,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,7,Abdominal trauma (surgical)
13124-8,Buiktrauma (niet operatief),82,82,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,8,Abdominal trauma (non-operative)
13124-9,Trauma wervelfr/dwarslaesie (operatief),92,92,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,9,Spinal trauma/paraplegia (surgical)
13124-10,Trauma wervelfr/dwarslaesie (niet operatief),46,46,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,10,Trauma vertebral fr/spinal cord injury (non-surgical)
13124-11,Extremiteitentrauma (operatief),259,259,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,11,Extremity trauma (surgical)
13124-12,Extremiteitentrauma (niet operatief),26,26,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,12,Extremity trauma (non-surgical)
13124-13,Diagnose anders,268,268,13124,D_Algemene chirurgie_Trauma,D_Algemene chirurgie_Trauma,Diagnose,0,13,Diagnosis different
13125-1,Orthopedische chirurgie (hemodynamische bewaking),189,189,13125,D_Algemene chirurgie_Orthopedische chirurgie,D_Algemene chirurgie_Orthopedische chirurgie,Diagnose,0,1,Orthopedic surgery (hemodynamic monitoring)
13125-2,Orthopedische chirurgie (respiratoire bewaking),104,104,13125,D_Algemene chirurgie_Orthopedische chirurgie,D_Algemene chirurgie_Orthopedische chirurgie,Diagnose,0,2,Orthopedic surgery (respiratory monitoring)
13125-3,Intercorporele spondylodese,52,52,13125,D_Algemene chirurgie_Orthopedische chirurgie,D_Algemene chirurgie_Orthopedische chirurgie,Diagnose,0,3,Intercorporeal spondylodesis
13125-4,Diagnose anders,127,127,13125,D_Algemene chirurgie_Orthopedische chirurgie,D_Algemene chirurgie_Orthopedische chirurgie,Diagnose,0,4,Diagnosis different
13126-1,Nefrectomie (neoplasma),103,103,13126,D_Algemene chirurgie_Urogenitaal,D_Algemene chirurgie_Urogenitaal,Diagnose,0,1,Nephrectomy (neoplasm)
13126-2,Nefrectomie (overige),52,52,13126,D_Algemene chirurgie_Urogenitaal,D_Algemene chirurgie_Urogenitaal,Diagnose,0,2,Nephrectomy (other)
13126-3,Urologie (overige),445,445,13126,D_Algemene chirurgie_Urogenitaal,D_Algemene chirurgie_Urogenitaal,Diagnose,0,3,Urology (other)
13126-4,Gynacologische chirurgie (hemodynamische bewaking),93,93,13126,D_Algemene chirurgie_Urogenitaal,D_Algemene chirurgie_Urogenitaal,Diagnose,0,4,Gynacological surgery (hemodynamic monitoring)
13126-5,Gynacologische chirurgie (respiratoire bewaking),20,20,13126,D_Algemene chirurgie_Urogenitaal,D_Algemene chirurgie_Urogenitaal,Diagnose,0,5,Gynacological surgery (respiratory monitoring)
13126-6,Diagnose anders,60,60,13126,D_Algemene chirurgie_Urogenitaal,D_Algemene chirurgie_Urogenitaal,Diagnose,0,6,Diagnosis different
13128-1,Aneurysma chir. bij S.A.H.  ,1,1,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,1,Aneurysm chir. at S.A.H.
13128-5,Subduraal haematoom _OLD_1,2,2,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,5,Subdural hematoma _OLD_1
13128-8,Aneurysma chir. bij SAB,78,78,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,8,Aneurysm chir. at SAB
13128-9,Aneurysma chir. zonder SAB,4,4,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,9,Aneurysm chir. without SAB
13128-10,Aneurysma Coiling bij SAB,71,71,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,10,Aneurysm Coiling at SAB
13128-12,A.V.M./A.V.A.,51,51,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,12,A.V.M./A.V.A.
13128-13,Subduraal haematoom,514,514,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,13,Subdural hematoma
13128-14,Epiduraal haematoom,54,54,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,14,Epidural hematoma
13128-15,Intracerebraal haematoom,531,531,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,15,Intracerebral hematoma
13128-16,Diagnose anders,69,69,13128,D_Neurochirurgie _Vasculair chirurgisch,D_Neurochirurgie _Vasculair chirurgisch,Diagnose,0,16,Diagnosis different
13129-1,TC supra tentorieel,532,532,13129,D_Neurochirurgie _Tumor chirurgie,D_Neurochirurgie _Tumor chirurgie,Diagnose,0,1,TC supra tentorial
13129-2,Meningioom supra tentorieel,117,117,13129,D_Neurochirurgie _Tumor chirurgie,D_Neurochirurgie _Tumor chirurgie,Diagnose,0,2,Meningioma supra tentorial
13129-3,TC infra tentorieel,207,207,13129,D_Neurochirurgie _Tumor chirurgie,D_Neurochirurgie _Tumor chirurgie,Diagnose,0,3,TC infra tentorial
13129-4,Meningioom infra tentorieel,40,40,13129,D_Neurochirurgie _Tumor chirurgie,D_Neurochirurgie _Tumor chirurgie,Diagnose,0,4,Infratentorial meningioma
13129-5,Brughoektumor,5,5,13129,D_Neurochirurgie _Tumor chirurgie,D_Neurochirurgie _Tumor chirurgie,Diagnose,0,5,Bridge angle tumor
13129-6,Diagnose anders,426,426,13129,D_Neurochirurgie _Tumor chirurgie,D_Neurochirurgie _Tumor chirurgie,Diagnose,0,6,Diagnosis different
13130-1,Cranioplastiek,143,143,13130,D_Neurochirurgie_Overige,D_Neurochirurgie _Overige,Diagnose,0,1,Cranioplasty
13130-3,Overige neurologie/neurochirurgie,608,608,13130,D_Neurochirurgie_Overige,D_Neurochirurgie _Overige,Diagnose,0,3,Other neurology/neurosurgery
13130-4,Diagnose anders,194,194,13130,D_Neurochirurgie_Overige,D_Neurochirurgie _Overige,Diagnose,0,4,Diagnosis different
13130-5,Neurochirurgisch Trauma,1462,1462,13130,D_Neurochirurgie_Overige,D_Neurochirurgie _Overige,Diagnose,0,5,Neurosurgical Trauma
13131-1,S.A.B.,137,137,13131,D_Neurologie_Vasculair neurologisch,D_Neurologie_Vasculair neurologisch,Diagnose,0,1,S.A.B.
13131-2,Vaatspasme protocol,3,3,13131,D_Neurologie_Vasculair neurologisch,D_Neurologie_Vasculair neurologisch,Diagnose,0,2,Vasospasm protocol
13131-3,Subduraal haematoom,62,62,13131,D_Neurologie_Vasculair neurologisch,D_Neurologie_Vasculair neurologisch,Diagnose,0,3,Subdural hematoma
13131-4,Epiduraal haematoom,6,6,13131,D_Neurologie_Vasculair neurologisch,D_Neurologie_Vasculair neurologisch,Diagnose,0,4,Epidural hematoma
13131-5,Intracerebraal haematoom,315,315,13131,D_Neurologie_Vasculair neurologisch,D_Neurologie_Vasculair neurologisch,Diagnose,0,5,Intracerebral hematoma
13131-6,Diagnose anders,267,267,13131,D_Neurologie_Vasculair neurologisch,D_Neurologie_Vasculair neurologisch,Diagnose,0,6,Diagnosis different
13132-1,Coma,104,104,13132,D_Neurologie_Overige,D_Neurologie_Overige,Diagnose,0,1,Coma
13132-3,Observatie neurologische status,218,218,13132,D_Neurologie_Overige,D_Neurologie_Overige,Diagnose,0,3,Observation of neurological status
13132-4,Infectieuze aandoeningen CZS,136,136,13132,D_Neurologie_Overige,D_Neurologie_Overige,Diagnose,0,4,Infectious disorders CNS
13132-5,Epileptisch insult,273,273,13132,D_Neurologie_Overige,D_Neurologie_Overige,Diagnose,0,5,Epileptic seizure
13132-6,Neuro musculaire ziekten,33,33,13132,D_Neurologie_Overige,D_Neurologie_Overige,Diagnose,0,6,Neuromuscular diseases
13132-7,Overige neurologie,169,169,13132,D_Neurologie_Overige,D_Neurologie_Overige,Diagnose,0,7,Other neurology
13132-8,Diagnose anders,362,362,13132,D_Neurologie_Overige,D_Neurologie_Overige,Diagnose,0,8,Diagnosis different
13133-1,Hypovolemische shock,120,120,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,1,Hypovolemic shock
13133-2,Cardiogene shock,348,348,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,2,Cardiogenic shock
13133-3,Sepsis,684,684,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,3,Sepsis
13133-4,Decompensatio cordis,940,940,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,4,Congestive heart failure
13133-5,Angina pectoris/myocardinfarct,377,377,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,5,Angina pectoris/myocardial infarction
13133-7,Ritme stoornissen,171,171,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,7,Rhythm disorders
13133-8,Na reanimatie,3548,3548,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,8,After resuscitation
13133-9,Hypertensie,127,127,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,9,Hypertension
13133-10,Thoracaal of abdominaal aneurysma,49,49,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,10,Thoracic or abdominal aneurysm
13133-11,Diagnose anders,204,204,13133,D_Interne Geneeskunde_Cardiovasculair,D_Interne Geneeskunde_Cardiovasculair,Diagnose,0,11,Diagnosis different
13134-1,Pneumonie,2508,2508,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,1,Pneumonia
13134-2,ALI/ARDS,9,9,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,2,ALI/ARDS
13134-3,Hogere luchtwegobstructie,277,277,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,3,Upper airway obstruction
13134-4,Respiratoire insufficiëntie,2105,2105,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,4,Respiratory failure
13134-5,Longembolie,338,338,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,5,Pulmonary embolism
13134-6,Respiratoir neoplasma,172,172,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,6,Respiratory neoplasm
13134-7,Na respiratoir arrest,64,64,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,7,After respiratory arrest
13134-8,Asthma of allergie,83,83,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,8,Asthma or allergy
13134-9,Chronisch obstructieve longziekte,405,405,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,9,Chronic obstructive pulmonary disease
13134-10,Aspiratie en vergiftiging,108,108,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,10,Aspiration and poisoning
13134-11,Diagnose anders,401,401,13134,D_Interne Geneeskunde_Pulmonaal,D_Interne Geneeskunde_Pulmonaal,Diagnose,0,11,Diagnosis different
13135-1,Ileus,35,35,13135,D_Interne Geneeskunde_Abdominaal,D_Interne Geneeskunde_Abdominaal,Diagnose,0,1,Ileus
13135-2,Cholangitis/Pancratitis,573,573,13135,D_Interne Geneeskunde_Abdominaal,D_Interne Geneeskunde_Abdominaal,Diagnose,0,2,Cholangitis/Pancratitis
13135-3,Leverinsufficientie,101,101,13135,D_Interne Geneeskunde_Abdominaal,D_Interne Geneeskunde_Abdominaal,Diagnose,0,3,Liver failure
13135-4,Portale hypertensie (TIPS),2,2,13135,D_Interne Geneeskunde_Abdominaal,D_Interne Geneeskunde_Abdominaal,Diagnose,0,4,Portal hypertension (TIPS)
13135-5,Bloeding tractus digestivus,614,614,13135,D_Interne Geneeskunde_Abdominaal,D_Interne Geneeskunde_Abdominaal,Diagnose,0,5,Gastrointestinal tract bleeding
13135-6,Darm ischaemie,36,36,13135,D_Interne Geneeskunde_Abdominaal,D_Interne Geneeskunde_Abdominaal,Diagnose,0,6,Intestinal ischemia
13135-7,Diagnose anders,131,131,13135,D_Interne Geneeskunde_Abdominaal,D_Interne Geneeskunde_Abdominaal,Diagnose,0,7,Diagnosis different
13136-1,Endocarditis,54,54,13136,D_Interne Geneeskunde_Infectieziekten,D_Interne Geneeskunde_Infectieziekten,Diagnose,0,1,Endocarditis
13136-2,Fasciitis necroticans,51,51,13136,D_Interne Geneeskunde_Infectieziekten,D_Interne Geneeskunde_Infectieziekten,Diagnose,0,2,necrotic fasciitis
13136-3,Urosepsis,197,197,13136,D_Interne Geneeskunde_Infectieziekten,D_Interne Geneeskunde_Infectieziekten,Diagnose,0,3,Urosepsis
13136-4,PCP infectie,26,26,13136,D_Interne Geneeskunde_Infectieziekten,D_Interne Geneeskunde_Infectieziekten,Diagnose,0,4,PCP infection
13136-5,Infectieuze aandoening overig,959,959,13136,D_Interne Geneeskunde_Infectieziekten,D_Interne Geneeskunde_Infectieziekten,Diagnose,0,5,Other infectious disease
13136-6,Diagnose anders,74,74,13136,D_Interne Geneeskunde_Infectieziekten,D_Interne Geneeskunde_Infectieziekten,Diagnose,0,6,Diagnosis different
13137-1,Intoxicatie,389,389,13137,D_Interne Geneeskunde_Metabool,D_Interne Geneeskunde_Metabool,Diagnose,0,1,Intoxication
13137-2,Tentame suicide/Overdosis,312,312,13137,D_Interne Geneeskunde_Metabool,D_Interne Geneeskunde_Metabool,Diagnose,0,2,Suicide/Overdose exam
13137-3,Diabetische keto-acidose,154,154,13137,D_Interne Geneeskunde_Metabool,D_Interne Geneeskunde_Metabool,Diagnose,0,3,Diabetic ketoacidosis
13137-4,Diagnose anders,398,398,13137,D_Interne Geneeskunde_Metabool,D_Interne Geneeskunde_Metabool,Diagnose,0,4,Diagnosis different
13138-1,Acute tubulus necrose,99,99,13138,D_Interne Geneeskunde_Renaal,D_Interne Geneeskunde_Renaal,Diagnose,0,1,Acute tubule necrosis
13138-2,Tubulo interstitiele nefritis,11,11,13138,D_Interne Geneeskunde_Renaal,D_Interne Geneeskunde_Renaal,Diagnose,0,2,Tubulointerstitial nephritis
13138-3,Hepatorenaal syndroom,3,3,13138,D_Interne Geneeskunde_Renaal,D_Interne Geneeskunde_Renaal,Diagnose,0,3,Hepatorenal syndrome
13138-4,Diagnose anders,420,420,13138,D_Interne Geneeskunde_Renaal,D_Interne Geneeskunde_Renaal,Diagnose,0,4,Diagnosis different
