source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,category,ordercategory,islabresult,count,count_validated,values,source_concept_en
8200,Pacemaker mode,pacemaker mode,SNOMED CT,30511000146102,Cardiac pacemaker mode,PM_Mode,HD-Hartritme,,0,13743,13743,DOO; DVI; VDD; DDD; VVI; DDD500; VOO; VVT; Uit,pacemaker mode
8400,Defaecatie consistentie,,,,,DefConsistentie,Gastro-intestinaal,,0,1,1,Dun/breiig,Defaecation consistency
8616,Filtertype,,,,,Filtertype,CVVH-Afspraken,,0,3322,3322,UF 205; F60 hps; AV600s,Filter type
8647,IABP Trigger,intra-aortic balloon pump trigger,,,,IABP Trigger,HD-IABP,,0,85228,21010,ECG; Pressure; Pacer V; Internal,intra-aortic balloon pump trigger
8650,IABP Curve,intra-aortic balloon pump curve,,,,IABP Curve,HD-IABP,,0,3255,3255,Correct; Niet correct,intra-aortic balloon pump curve
8651,Pulsaties Li-been,pulsations left leg,,,,Pulsaties Li-been,HD-Pulsaties,,0,23511,23511,Voelbaar; Hoorbaar (Doppler); Niet waarneembaar; Niet getest,pulsations left leg
8652,Pulsaties Re-been,pulsations right leg,,,,Pulsaties Re-been,HD-Pulsaties,,0,24189,24189,Voelbaar; Hoorbaar (Doppler); Niet waarneembaar; Niet getest,pulsations right leg
8654,IABP Pulsatie,intra-aortic balloon pump pulsations,,,,IABP Pulsatie,HD-IABP,,0,3661,3661,Voelbaar; Hoorbaar (Doppler); Niet waarneembaar; Niet getest,intra-aortic balloon pump pulsations
8663,Temperatuur Plaats 1,temperature location,LOINC,8327-9,Body temperature measurement site,Temp Plaats 1,HD-Temperatuur,,0,132512,132512,Axillair; Lies; Oor; Rectaal; Oraal; Li-voet huid; Re-voet huid; Li-been huid; Re-been huid; Blaas,temperature location
8668,Thoraxdrain1 Plaats,,,,,Th.drain1/Plaats,VB-Thoraxdrains,,0,163229,163229,Links; Rechts; Mediastinaal,Chest drain1 Place
8669,Thoraxdrain2 Plaats,,,,,Th.drain2/Plaats,VB-Thoraxdrains,,0,27977,27977,Links; Rechts; Mediastinaal,Chest drain2 Location
8670,Thoraxdrain3 Plaats,,,,,Th.drain3/Plaats,VB-Thoraxdrains,,0,5126,5126,Links; Rechts; Mediastinaal,Chest drain3 Location
8691,Thoraxdrain1 Zuigkracht,,,,,Th.drain1/cmH2O,VB-Thoraxdrains,,0,165045,165045,-  5 cm H2O; - 10 cm H2O; - 15 cm H2O; - 20 cm H2O; - 25 cm H2O; Waterslot; Afgeklemd,Chest Drain1 Suction
8692,Thoraxdrain2 Zuigkracht,,,,,Th.drain2/cmH2O,VB-Thoraxdrains,,0,27907,27907,-   5 cm H2O; - 10 cm H2O; - 15 cm H2O; - 20 cm H2O; - 25 cm H2O; Waterslot; Afgeklemd,Chest drain2 Suction
8693,Thoraxdrain3 Zuigkracht,,,,,Th.drain3/cmH2O,VB-Thoraxdrains,,0,5082,5082,-   5 cm H2O; - 10 cm H2O; - 15 cm H2O; - 20 cm H2O; - 25 cm H2O; Waterslot; Afgeklemd,Chest drain3 Suction
8695,Thoraxdrain1 Luchtlekkage,,,,,Th.drain1/LL,VB-Thoraxdrains,,0,138447,138447,+; -,Chest drain1 Air leakage
8696,Thoraxdrain2 Luchtlekkage,,,,,Th.drain2/LL,VB-Thoraxdrains,,0,22040,22040,+; -,Chest drain2 Air leakage
8698,Thoraxdrain3 Luchtlekkage,,,,,Th.drain3/LL,VB-Thoraxdrains,,0,4160,4160,+; -,Chest drain3 Air leakage
8730,Wonddrain1 Plaats,,,,,Wdrain1/Plaats,VB-Wonddrains,,0,32787,32787,Douglas; Sub-Hepatisch; Supra-Hepatisch; Intra-Peritoneaal; Retro-Peritoneaal; Bovenbeen Li; Bovenbeen Re; Onderbeen Li; Onderbeen Re; Bovenarm Li; Bovenarm Re; Onderarm Li; Onderarm Re; Ventrikel; Hals Li; Hals Re; Rug; Hoofd; Retro sternaal; Sub-Frenisch; Duodenum,Wondrain1 Location
8731,Wonddrain2 Plaats,,,,,Wdrain2/Plaats,VB-Wonddrains,,0,14972,14972,Douglas; Sub-Hepatisch; Supra-Hepatisch; Intra-Peritoneaal; Retro-Peritoneaal; Bovenbeen Li; Bovenbeen Re; Onderbeen Li; Onderbeen Re; Bovenarm Li; Bovenarm Re; Onderarm Li; Onderarm Re; Hals Li; Hals Re; Rug; Hoofd; Retro sternaal; Sub-Frenisch; Duodenum,Wonddrain2 Location
8732,Wonddrain3 Plaats,,,,,Wdrain3/Plaats,VB-Wonddrains,,0,4648,4648,Douglas; Sub-Hepatisch; Supra-Hepatisch; Intra-Peritoneaal; Retro-Peritoneaal; Bovenbeen Li; Bovenbeen Re; Onderbeen Li; Onderbeen Re; Bovenarm Li; Bovenarm re; Onderarm Li; Onderarm Re; Ventrikel; Hals Li; Hals Re; Rug; Retro sternaal; Sub-Frenisch; Duodenum,Wounddrain3 Location
8733,Wonddrain4 Plaats,,,,,Wdrain4/Plaats,VB-Wonddrains,,0,1165,1165,Douglas; Sub-Hepatisch; Supra-Hepatisch; Intra-Peritoneaal; Retro-Peritoneaal; Bovenbeen Li; Bovenbeen Re; Onderbeen Li; Onderbeen Re; Bovenarm Li; Bovenarm Re; Onderarm Li; Onderarm Re; Hals Li; Hals Re; Rug; Retro sternaal; Sub-Frenisch; Duodenum,Wondrain4 Place
8825,Ectopie,ectopy,,,,Ectopie,HD-Hartritme,,0,156550,156550,Juncesc; Mltform; Doubl; PAC's; PVC's; Ventresc; Trigemie; Bigemie; RonT,ectopy
8829,Pupil Links Reactie,Pupillary response Left pupil,LOINC,79899-1,Pupillary response Left pupil,Reactie Li,NEURO-Functies,,0,244519,244519,+; -,Pupillary response Left pupil
8830,Pupil Rechts Reactie,Pupillary response Right pupil,LOINC,79815-7,Pupillary response Right pupil,Reactie Re,NEURO-Functies,,0,242938,242938,+; -,Pupillary response Right pupil
8832,Pupil Links Grootte,Pupil diameter Left eye Manual,LOINC,8641-3,Pupil diameter Left eye Manual,Grootte Li,NEURO-Functies,,0,248779,248779,1 mm; 2 mm; 3 mm; 4 mm; 5 mm; 6 mm; 7 mm; 8 mm; Pinpoint; Niet getest,Pupil diameter Left eye Manual
8833,Pupil Rechts Grootte,Pupil diameter Right eye Manual,LOINC,8643-9,Pupil diameter Right eye Manual,Grootte Re,NEURO-Functies,,0,248612,248612,1 mm; 2 mm; 3 mm; 4 mm; 5 mm; 6 mm; 7 mm; 8 mm; Pinpoint; Niet getest,Pupil diameter Right eye Manual
8840,ABP Plaats,,,,,ABP Plaats,HD-Bloeddrukken,,0,2,2,Radialis Re,ABP Place
8848,Beademingstoestel,,,,,Ventilator,ZZ-OUD-Resp-Evita Machinegegevens,,0,1315,1315,Evita 1; Evita 4; Bipap Vision,Ventilator
8889,Aantal Bronchiaaltoilet,,,,,Aantal BT,RESP-Uitzuigen,,0,281078,281078,1x; 2x; 3x; 4x; 5x; 6x; 7x; 8x,Number of Bronchial Toilet
8891,Balloneren,,,,,Balloneren,RESP-Uitzuigen,,0,148360,148360,Gedaan; Niet Gedaan,Ballooning
8892,Mond/Keel toilet,,,,,Mond/Keel toilet,RESP-Uitzuigen,,0,175436,175436,Gedaan; Niet Gedaan,Mouth/Throat toilet
8893,Neus Toilet,,,,,Neus Toilet,RESP-Uitzuigen,,0,89555,89555,Gedaan; Niet Gedaan,Nose Toilet
8894,Hoeveelheid Sputum,,,,,Hoeveelh.Sputum,RESP-Uitzuigen,,0,262430,262430,Geen; Gering; Normaal ; Ruim; Veel,amount of sputum
8895,Kleur Sputum,,,,,Kleur Sputum,RESP-Uitzuigen,,0,359209,359209,Wit; Helder; Groen; Donker/Groen; Geel; Purulent; Roest; Roze; Spoor bloed; Bloederig; Bruin; Grijs; Zwartig,Sputum color
8896,Aspect SputumOud,,,,,Aspect  Sputum Oud,RESP-Buiten gebruik,,0,31681,31681,Dun; Matig Dun; Matig Dik; Dik; Taai; Pluggen; Schuimend; Stinkend; Met etensresten,Aspect SputumOld
8897,Druppelen NaCl,,,,,Druppelen NaCl,RESP-Uitzuigen,,0,116613,116613,1x; 2x; 3x; 4x; 5x; 6x; 7x; 8x; geen,Drip NaCl
8898,Reactie op Uitzuigen,,,,,Reactie Uitzuigen,RESP-Uitzuigen,,0,34192,34192,Geen; Bradycard; Braken; Bronchospast.; Cyanose; Hypertensie; Klam; Sat.daling; Tachycard; Hypotensie; Onrust,Response to Sucking out
8899,Hoestprikkel,,,,,Hoestprikkel,RESP-Uitzuigen,,0,251502,251502,Goed; Redelijk; Geen; Productief; Niet prod.; Prikkelhoest; Matig,Cough stimulus
9232,Ramsay score,,,,,Ramsay score,SCORE,,0,188634,188634,"1 wakker, angstig, geagiteerd of rusteloos; 2 wakker, cooperatief, georiënteerd en rustig; 3 wakker, alleen respons op opdracht; 4 in slaap, maar snelle respons op prikkel; 5 inslaap, trage, slome reaktie op prikkel; 6 in slaap, helemaal geen reactie",Ramsay scores
9233,Houding patiënt,patient position,SNOMED CT,397155001,Body position,Houding patiënt,DIVERSEN,,0,1059872,1059872,Rugligging; Re-zijde; Li-zijde; Halfzittend; Zittend; Stoel; Buikligging; Rotarestbed; 30 graden; Trendelenburg; Anti - Trendelenburg; Buik re-zijde; Buik li-zijde,patient position
9358,EVD-Open/Dicht,,,,,EVD-Open/Dicht,NEURO-Algemeen,,0,57309,57309,Open; Dicht,EVD-Open/Closed
9359,ELD-Open/Dicht,,,,,ELD-Open/Dicht,NEURO-Algemeen,,0,3502,3502,Open; Dicht,ELD-Open/Close
9534,Type beademing Evita 1,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 1,ZZ-OUD-Resp-Evita Machinegegevens,,0,42108,36981,IPPV; IPPV_Assist; CPPV; CPPV_Assist; SIMV; SIMV_ASB; ASB; CPAP; CPAP_ASB; MMV; MMV_ASB; BIPAP; Pressure Controled,mechanical ventilation mode
9593,Temperatuur Plaats 2,temperature location,LOINC,8327-9,Body temperature measurement site,Temp Plaats 2,HD-Temperatuur,,0,16958,16958,Axillair; Lies; Oraal; Rectaal; Li-voet huid; Re-voet huid; Li-been huid; Re-been huid; Blaas,temperature location
9631,Beademingstoestel(2),,,,,Ventilator(2),ZZ-OUD-Resp-Evita Machinegegevens2,,0,1,1,Evita 1,Ventilator(2)
9652,Type Beademing Evita 4(2),mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4(2),ZZ-OUD-Resp-Evita Machinegegevens2,,0,1,1,BIPAP/ASB,mechanical ventilation mode
10104,"Venlafaxine, desmethyl (bloed)",,,,,"Venlafaxine, desmethyl (bloed)",LAB-Tox-bloed,,1,1,1,>,"Venlafaxine, desmethyl (blood)"
10464,PatiëntBloedgroep,,,,,Bloedgroep,Anamnese-Patientgegevens,,0,167,167,O-; O+; A-; A+; B-; B+; AB+,Patient Blood Type
10466,Levensbeschouwing Geloof,,,,,Geloof,Anamnese-Ethiek&Levenbeschouwing,,0,1060,1060,Baptist; Boedhist; Geen; Gereformeerd; Humanist; Moslim; Nederlands Hervormd; Rooms Katholiek; Jehova's getuige; Protestant; Jood,Philosophy of life Faith
10467,PatiëntBurgerlijke staat,,,,,Burgerlijke staat,Anamnese-Patientgegevens,,0,3464,3464,Gehuwd; Gescheiden; Ongehuwd; Samenwonend; Weduwe/Weduwnaar,Patient Marital status
10468,PatiëntNationaliteit,,,,,Nationaliteit,Anamnese-Patientgegevens,,0,2362,2362,Duitse_U_1; Irakees; Marokkaanse_U_1; Nederlandse; nepalees; NL; Belgische; Franse; Duitse; Engelse; Spaanse; Italiaanse; Marokkaanse; Turkse; Amerikaanse; Russische; Japanse; Chinese; Overig,Patient Nationality
10469,PatiëntGeslacht,,,,,Geslacht,Anamnese-Patientgegevens,,0,48609,48609,Man; Vrouw,PatientGender
10470,Reden voor ontslag,,,,,Reden voor ontslag,Patientenbestandparameters,,0,42126,42126,Klaar voor IC ontslag; Ontslag ivm schaarste IC bedden; Overleden - Geen Obductie; Overleden - Obductie; Overplaatsing binnen IC; Overplaatsing naar gelijkwaardige IC; Overplaatsing voor palliative zorg; Terminale thuiszorg; Uitgesteld ontslag ivm schaarste afdelingsbedden; Vertrek tegen medisch advies; Nooit gekomen; Klaar voor MC ontslag,Reason for dismissal
10472,Ontslagbestemming,,,,,Ontslagbestemming,Patientenbestandparameters,,0,24115,24115,.Vul in; Afdeling ander ziekenhuis; Anders; CCU/ICU ander ziekenhuis; Huis; Mortuarium met obductie; Mortuarium zonder obductie; VU afdeling ICVC; VU afdeling ICAR; VU afdeling ICVI; VU afdeling INEO; VU afdeling ISNY; VU afdeling SCAR; VU afdeling SCCH; VU afdeling MICV; VU afdeling SNCH; VU afdeling VCAR; VU afdeling VCCH; VU afdeling VEKV; VU afdeling VGAS; VU afdeling VGYN; VU afdeling VHEM; VU afdeling VHON; VU afdeling VINW; VU afdeling VKCH; VU afdeling VKNO; VU afdeling VLON; VU afdeling VNCH; VU afdeling VNEU; VU afdeling VOBS; VU afdeling VONI; VU afdeling VOOG; VU afdeling VORT; VU afdeling VTRA; VU afdeling VVAT; VU afdeling VVER; VU afdeling DUHP; VU afdeling VNCO; VU afdeling VIG1; VU afdeling VIG2; VU afdeling VTRF; VU afdeling VKKB_; VU afdeling VKKC ; VU afdeling VMPU,Discharge destination
10474,Accidentele verwijdering beschrijving,,,,,Accidentele verwijdering beschrijving,Kritische incidenten,,0,4,4,Arterielijn; Tube,Accidental deletion description
10502,Cardioversie / Defibrillatie beschrijving,,,,,Cardioversie / Defibrillatie beschrijving,Kritische incidenten,,0,32,32,Cardioversie; Defibrillatie,Cardioversion / Defibrillation description
10515,Extreme onrust beschrijving,,,,,Extreme onrust beschrijving,Kritische incidenten,,0,4,4,Niet te corrigeren; Te corrigeren,Extreme unrest description
10522,Insult beschrijving,,,,,Insult beschrijving,Kritische incidenten,,0,2,2,Gelocaliseerd,Insult description
10543,Re OK beschrijving,,,,,Re OK beschrijving,Kritische incidenten,,0,4,4,Reden?,Re OK description
10587,Thoraxdrain1 Transport,,,,,Th.drain1/Transport,VB-Thoraxdrains,,0,145841,145841,-; +,Chest drain1 Transport
10588,Thoraxdrain2 Transport,,,,,Th.drain2/Transport,VB-Thoraxdrains,,0,22692,22692,-; +,Chest drain2 Transport
10589,Thoraxdrain3 Transport,,,,,Th.drain3/Transport,VB-Thoraxdrains,,0,3801,3801,-; +,Chest drain3 Transport
10604,Liquor aspect,,,,,Liquor aspect,NEURO-Algemeen,,0,48355,48355,Helder; Rose; Bloederig; Troebel,Liquor aspect
10653,VerzekeringTypeX,,,,,Verz. TypeX,Deleted - Niet gebruiken,,0,1,1,ZF,InsuranceTypeX
10659,Dilutie,,,,,Dilutie,CVVH-Afspraken,,0,5371,5371,Pré-dilutie; Post-dilutie,Dilution
10673,Beleid,,,,,Beleid,Beleid,,0,15762,15762,I; II; III,Policy
10697,Gewicht bron,,,,,Gewicht bron,Anamnese-Patientgegevens,,0,23544,23544,Anamnestisch; Geschat; Gemeten,Weight source
10702,Lengte bron,,,,,Lengte bron,Anamnese-Patientgegevens,,0,22101,22101,Anamnestisch; Gemeten; Geschat,source length
12096,ADL Hulp,,,,,Hulp,Anamnese-ADL,,0,168,168,Burenhulp; Thuiszorg; Kraamhulp,ADL Help
12099,Allergie 1 Bron,,,,,Bron (1),Anamnese-Allergieen&Risicofactoren,,0,1404,1404,Anamnestisch; Bewezen; Waargenomen,Allergy 1 Source
12101,Allergie 2 Bron,,,,,Bron (2),Anamnese-Allergieen&Risicofactoren,,0,244,244,Anamnestisch; Bewezen; Waargenomen,Allergy 2 Source
12102,Allergie 3 Bron,,,,,Bron (3),Anamnese-Allergieen&Risicofactoren,,0,72,72,Anamnestisch; Bewezen; Waargenomen,Allergy 3 Source
12108,Bezittingen Relatie tot patiënt,,,,,Relatie tot patiënt,Anamnese-Contactpersonen,,0,309,309,Echtgenoot; Echtgenote; Partner; Vader; Moeder; Zoon; Dochter; Broer; Zus; Neef; Nicht; Schoondochter; Vriend; Vriendin; Buurvrouw,Possessions Relationship to patient
12109,Contactpersoon 1 Relatie,,,,,Relatie (1),Anamnese-Contactpersonen,,0,21679,21679,Echtgenoot; Echtgenote; Partner; Vader; Moeder; Zoon; Dochter; Broer; Zus; Neef; Nicht; Schoonvader; Schoonmoeder; Zwager; Schoonzuster; Schoonzoon; Schoondochter; Vriend; Vriendin; Kleinzoon; Kleindochter; Stiefzoon; Stiefdochter; Buurman; Buurvrouw; Anders(Zie opmerking),Contact person 1 Relationship
12110,Contactpersoon 2 Relatie,,,,,Relatie (2),Anamnese-Contactpersonen,,0,13270,13270,Echtgenoot; Echtgenote; Partner; Vader; Moeder; Zoon; Dochter; Broer; Zus; Neef; Nicht; Schoonvader; Schoonmoeder; Zwager; Schoonzuster; Schoonzoon; Schoondochter; Vriend; Vriendin; Kleinzoon; Kleindochter; Stiefzoon; Stiefdochter; Buurman; Buurvrouw; Anders(Zie opmerking),Contact person 2 Relationship
12111,Contactpersoon 3 Relatie,,,,,Relatie (3),Anamnese-Contactpersonen,,0,2446,2446,Echtgenoot; Echtgenote; Partner; Vader; Moeder; Zoon; Dochter; Broer; Zus; Neef; Nicht; Schoonvader; Schoonmoeder; Zwager; Schoonzuster; Schoonzoon; Schoondochter; Vriend; Vriendin; Kleinzoon; Kleindochter; Stiefzoon; Stiefdochter; Buurman; Buurvrouw; Anders(Zie opmerking),Contact person 3 Relationship
12114,Gastro-Intestinaal Gebitsprothese,,,,,Gebitsprothese,Anamnese-Voeding&Gastro-intestinaal,,0,717,717,Onder; Boven; Onder & Boven,Gastrointestinal Dentures
12116,Levensbeschouwing Geestelijk verzorger,,,,,Geestelijk verzorger,Anamnese-Ethiek&Levenbeschouwing,,0,106,106,Gewenst; Ingeschakeld,Philosophy of life Spiritual counselor
12119,Psychosociaal M.M. W.  Gewenst-Ingeschakeld,,,,,M.M.W.,Anamnese-Psychosociaal,,0,226,226,Gewenst; Ingeschakeld,Psychosocial M.M. W. Desired-Enabled
12127,Zintuigen Gehoor Gehoorapparaat,,,,,Gehoorapparaat,Anamnese-Zintuigen,,0,309,309,Gehoorapparaat Li; Gehoorapparaat Re; Gehoorapparaat Li+Re,Senses Hearing Hearing aid
12128,Patiënt Specialisme,,,,,Specialisme,Anamnese-Patientgegevens,,0,38930,38930,"CCH - Cardiochirurgie; NCH - Neurochirurgie; NEU - Neurologie; KNO - Keel, Neus & Oorarts; TRA - Traumatologie; CAR - Cardiologie; MDL - Maag-,Darm-,Leverziekten; GYN - Gynaecologie; HEM - Hematologie; HGE - Heelkunde Gastro-enterologie; HLO - Heelkunde Longen/Oncologie; HON - Heelkunde Oncologie; ICV - Intensive Care Volwassenen; INW - Inwendig; MON - Mondheelkunde; NEF - Nefrologie; OBS - Obstetrie; ONI - Oncologie Inwendig; OOG - Oogheelkunde; ORT - Orthopedie; PCH - Plastische chirurgie; URO - Urologie; VAT - Vaatchirurgie; VER - Verloskunde; Z - Anders; LON - Longziekte; REU - Reumatologie",Patient Specialism
12129,PatiëntInfoRelatie,,,,,Relatie,Anamnese-Patientgegevens,,0,875,875,Echtgenoot; Echtgenote; Partner; Vader; Moeder; Zoon; Dochter; Broer; Zus; Neef; Nicht; Zwager; Schoonzoon; Schoondochter; Vriend; Vriendin; Kleindochter; Stiefdochter; Buurman; Buurvrouw,PatientInfoRelationship
12130,PatiëntWijzeVanOpname,,,,,Wijze van opname,Anamnese-Patientgegevens,,0,41085,41085,Van ander ziekenhuis; Van andere afdeling; Via Eerste Hulp; Via Eerste Harthulp,Patient Mode Of Admission
12132,PatiëntSpreektaal,,,,,Spreektaal,Anamnese-Patientgegevens,,0,3457,3457,Nederlands; Engels; Duits; Frans; Spaans; Italiaans; Chinees; Anders,PatientSpeaking language
12290,Ventilatie Mode (Set),mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Ventilatie mode,RESP-Servo Machinegegevens,,0,15614454,1283485,Stand By; PC ; VC ; PRVC ; VS; SIMV(VC)+PS; SIMV(PC)+PS; PS/CPAP; Bi Vente; PC (No trig); VC (No trig); PRVC (No trig); PS/CPAP (trig); VC (trig); PRVC (trig); PC in NIV; PS/CPAP in NIV; NAVA,mechanical ventilation mode
12347,Ventilatie Mode (Set) (2),mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Ventilatie Mode (Set) (2),RESP-Servo Machinegegevens(2),,0,85,85,Stand By; PC; VC; SIMV(VC)+PS; SIMV(PC)+PS; PS/CPAP,mechanical ventilation mode
12376,Mode (Bipap Vision),mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Mode (Bipap Vision),RESP-Bipap Vision Machinegegevens,,0,244,244,CPAP; BIPAP,mechanical ventilation mode
12497,Thoraxdrain4 Luchtlekkage,,,,,Th.drain4/LL,VB-Thoraxdrains,,0,787,787,+; -,Chest drain4 Air leakage
12498,Thoraxdrain5 Luchtlekkage,,,,,Th.drain5/LL,VB-Thoraxdrains,,0,112,112,+; -,Chest drain5 Air leak
12499,Thoraxdrain6 Luchtlekkage,,,,,Th.drain6/LL,VB-Thoraxdrains,,0,43,43,+; -,Chest drain6 Air leak
12500,Thoraxdrain4 Plaats,,,,,Th.drain4/Plaats,VB-Thoraxdrains,,0,926,926,Links; Rechts; Mediastinaal,Chest drain4 Location
12501,Thoraxdrain5 Plaats,,,,,T.drain5/Plaats,VB-Thoraxdrains,,0,178,178,Links; Rechts,Chest drain5 Place
12502,Thoraxdrain6 Plaats,,,,,Th.drain6/Plaats,VB-Thoraxdrains,,0,43,43,Links; Rechts,Chest drain6 Place
12510,Thoraxdrain4 Transport,,,,,Th.drain4/Transport,VB-Thoraxdrains,,0,755,755,-; +,Chest drain4 Transport
12511,Thoraxdrain5 Transport,,,,,Th.drain5/Transport,VB-Thoraxdrains,,0,97,97,-; +,Chest drain5 Transport
12512,Thoraxdrain6 Transport,,,,,Th.drain6/Transport,VB-Thoraxdrains,,0,20,20,-; +,Chest drain6 Transport
12513,Thoraxdrain4 Zuigkracht,,,,,Th.drain4/cmH2O,VB-Thoraxdrains,,0,861,861,- 5 cm H2O; -10 cm H2O; -15 cm H2O; -20 cm H2O; -25 cm H2O; Waterslot; Afgeklemd,Chest drain4 Suction
12514,Thoraxdrain5 Zuigkracht,,,,,Th.drain5/cmH2O,VB-Thoraxdrains,,0,153,153,-10 cm H2O; -15 cm H2O; -20 cm H2O; Waterslot; Afgeklemd,Chest drain5 Suction
12515,Thoraxdrain6 Zuigkracht,,,,,Th.drain6/cmH2O,VB-Thoraxdrains,,0,45,45,-10 cm H2O; -15 cm H2O; Waterslot,Chest drain6 Suction
12519,Aspect Sputum,,,,,Aspect Sputum,RESP-Uitzuigen,,0,229605,229605,Waterig; Kleverig; Taai,Aspect Sputum
12520,TIC-Draaien in bed,,,,,Draaien in bed,FYSIO-TIC score,,0,46,46,Zelfstandig; Onder toezicht/instructie zonder hulpmiddel; Onder toezicht/instructie met hulpmiddel; Hulp van 1 persoon; Niet mogelijk,TIC-Turning in bed
12521,TIC-Zitbalans,,,,,Zitbalans,FYSIO-TIC score,,0,28,28,2 min./veilig/stabiel; 2 min./supervisie; 10 sec.; is niet in staat 10 sec. zonder steun te zitten,TIC-Seating balance
12522,TIC-Transfer  van lig naar zit,,,,,Transfer van lig naar zit,FYSIO-TIC score,,0,26,26,Zelfstandig; Onder toezicht/instructie zonder hulpmiddel; Hulp van 1 persoon; Is niet in staat om van lig tot zit te komen/Niet mogelijk,TIC transfer from lying to sitting
12523,TIC-Stabalans,,,,,Stabalans,FYSIO-TIC score,,0,26,26,2 min./zelfstandig/veilig; niet in staat 30 sec zonder ondersteuning te staan,TIC Standing Balance
12524,TIC-Transfer van zit naar stand,,,,,Transfer van zit naar stand,FYSIO-TIC score,,0,25,25,Met steun �én of meer handen/zelfstandig; Met steun handen en meerdere pogingen/zelfstandig; Minimale hulp nodig; Veel hulp nodig,TIC-Transfer from sitting to standing
