source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated,source_concept_en
10813,Mycoplasma pneumoniae DNA PCR (nasophar.wat),,,,,Mycoplasma pneumoniae DNA PCR (nasophar.wat),513,LAB-Viro-Micro-nasophar.wat,,,,1,,,,,,,,,,freetextitems,81,81,Mycoplasma pneumoniae DNA PCR (nasophar.wat)
10814,Mycoplasma pneumoniae DNA PCR (sputum),,,,,Mycoplasma pneumoniae DNA PCR (sputum),527,LAB-Viro-Micro-sputum,,,,1,,,,,,,,,,freetextitems,101,101,Mycoplasma pneumoniae DNA PCR (sputum)
10815,Chlamydia pneumoniae DNA PCR (nasophar.wat),,,,,Chlamydia pneumoniae DNA PCR (nasophar.wat),513,LAB-Viro-Micro-nasophar.wat,,,,1,,,,,,,,,,freetextitems,64,64,Chlamydia pneumoniae DNA PCR (nasophar.wat)
10816,Chlamydia pneumoniae DNA PCR (sputum),,,,,Chlamydia pneumoniae DNA PCR (sputum),527,LAB-Viro-Micro-sputum,,,,1,,,,,,,,,,freetextitems,78,78,Chlamydia pneumoniae DNA PCR (sputum)
10818,HBV DNA kwan (edta-bloed)-LabZis2,,,,,HBV DNA kwan-eblo-LabZis2,696,LAB-LabZIS2_Ongebruikt,,,,1,,,,,,,,,,freetextitems,1,1,HBV DNA quan (edta blood)-LabZis2
10821,VIRUS typ. (br.-alv.lav),,,,,VIRUS typ. (br.-alv.lav),514,LAB-Viro-Micro-BAL,,,,1,,,,,,,,,,freetextitems,7,7,VIRUS typ. (br.-alv.lav)
10823,VIRUS typ. (blaasjesv.),,,,,VIRUS typ. (blaasjesv.),516,LAB-Viro-Micro-blaasjes,,,,1,,,,,,,,,,freetextitems,14,14,VIRUS typ. (vesiclesv.)
10826,VIRUS typ. (huiduitstr.),,,,,VIRUS typ. (huiduitstr.),519,LAB-Viro-Micro-huiduitstr.,,,,1,,,,,,,,,,freetextitems,14,14,VIRUS typ. (skin spread)
10828,VIRUS typ. (monduitstr.),,,,,VIRUS typ. (monduitstr.),521,LAB-Viro-Micro-monduitstr.,,,,1,,,,,,,,,,freetextitems,1,1,VIRUS typ. (mouth discharge)
10835,VIRUS typ. (sputum),,,,,VIRUS typ. (sputum),527,LAB-Viro-Micro-sputum,,,,1,,,,,,,,,,freetextitems,8,8,VIRUS typ. (sputum)
10846,CMV-p65 IEA (bloed),,,,,CMV-p65 IEA (bloed),537,LAB-Viro-Micro-edta-bloed,,,,1,,,,,,,,,,freetextitems,7,7,CMV-p65 IEA (blood)
10848,Varicella-Zoster virus DNA PCR (blaasjesv.),,,,,Varicella-Zoster virus DNA PCR (blaasjesv.),516,LAB-Viro-Micro-blaasjes,,,,1,,,,,,,,,,freetextitems,20,20,Varicella-Zoster virus DNA PCR (vesicle v.)
10849,Bordetella pertussus DNA PCR (nasophar.wat),,,,,Bordetella pertussus DNA PCR (nasophar.wat),513,LAB-Viro-Micro-nasophar.wat,,,,1,,,,,,,,,,freetextitems,1,1,Bordetella pertussus DNA PCR (nasophar.wat)
10858,Treponema pallidum (ELISA) (bloed),,,,,Treponema pallidum (ELISA) (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,4430,4430,Treponema pallidum (ELISA) (blood)
10859,Rota virus antigeentest (faeces),,,,,Rota virus antigeentest (faeces),540,LAB-Viro-Micro-faeces,,,,1,,,,,,,,,,freetextitems,44,44,Rotavirus antigen test (feces)
10861,Adeno virus antigeentest (faeces),,,,,Adeno virus antigeentest (faeces),540,LAB-Viro-Micro-faeces,,,,1,,,,,,,,,,freetextitems,44,44,Adeno virus antigen test (feces)
10863,C.TRA IF (oog),,,,,C.TRA IF (oog),541,LAB-Viro-Micro-oog,,,,1,,,,,,,,,,freetextitems,1,1,C.TRA IF (eye)
10866,RSV IF (sputum),,,,,RSV IF (sputum),527,LAB-Viro-Micro-sputum,,,,1,,,,,,,,,,freetextitems,1,1,RSV IF (sputum)
10867,RSV IF (neus),,,,,RSV IF (neus),543,LAB-Viro-Micro-neus,,,,1,,,,,,,,,,freetextitems,1,1,RSV IF (nose)
10869,Treponema pallidum agglutinatie (liquor),,,,,Treponema pallidum agglutinatie (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,22,22,Treponema pallidum agglutination (liquor)
10870,Cr.neof.Ag (bloed),,,,,Cr.neof.Ag (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,3,3,Cr.neof.Ag (blood)
10871,Cr.neof.Ag (liquor),,,,,Cr.neof.Ag (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,2,2,Cr.neof.Ag (liquor)
10872,H.pyl.As (bloed),,,,,H.pyl.As (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,2,2,H.pyl.As (blood)
10877,FTA-ABS (bloed),,,,,FTA-ABS (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,28,28,FTA-ABS (blood)
10880,VIRUSkweek (keel),,,,,VIRUSkweek (keel),547,LAB-Viro-Micro-keel,,,,1,,,,,,,,,,freetextitems,28,28,VIRUS culture (throat)
10882,FTA-ABS (liquor),,,,,FTA-ABS (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,3,3,FTA ABS (liquor)
10885,Grootte (bloed),,,,,Grootte (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,3521,3521,Size (blood)
10886,Kleur (bloed),,,,,Kleur (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,3036,3036,Color (blood)
10887,VIRUSkweek (oog),,,,,VIRUSkweek (oog),541,LAB-Viro-Micro-oog,,,,1,,,,,,,,,,freetextitems,2,2,VIRUS culture (eye)
10888,Vorm (bloed),,,,,Vorm (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,1681,1681,Form (blood)
10890,Eiwit Kwal (urine),,,,,Eiwit Kwal (urine),488,LAB-Imm-urine,,,,1,,,,,,,,,,freetextitems,12254,12254,Protein Jellyfish (urine)
10891,Gluc.Kwal. (urine),,,,,Gluc.Kwal. (urine),480,LAB-Chem-urine,,,,1,,,,,,,,,,freetextitems,6782,6782,Gluc.Kwal. (urine)
10892,Ketonen (urine),,,,,Ketonen (urine),480,LAB-Chem-urine,,,,1,,,,,,,,,,freetextitems,272,272,Ketones (urine)
10893,S.M. (overig),,,,,S.M. (overig),492,LAB-Divers-diversen,,,,1,,,,,,,,,,freetextitems,2,2,S.M. (other)
10895,Urobil. (urine),,,,,Urobil. (urine),480,LAB-Chem-urine,,,,1,,,,,,,,,,freetextitems,26,26,Urobil. (urine)
10896,Bilirubine (urine),,,,,Bilirubine (urine),480,LAB-Chem-urine,,,,1,,,,,,,,,,freetextitems,42,42,Bilirubin (urine)
10897,Sediment (urine),,,,,Sediment (urine),499,LAB-Divers-urine,,,,1,,,,,,,,,,freetextitems,358,358,Sediment (urine)
10898,Type Cyl. (urine),,,,,Type Cyl. (urine),499,LAB-Divers-urine,,,,1,,,,,,,,,,freetextitems,881,881,Type Cyl. (urine)
10899,Type Krist (urine),,,,,Type Krist (urine),499,LAB-Divers-urine,,,,1,,,,,,,,,,freetextitems,769,769,Type Krist (urine)
10900,Slijm (urine),,,,,Slijm (urine),499,LAB-Divers-urine,,,,1,,,,,,,,,,freetextitems,2706,2706,Mucus (urine)
10901,Bact. (urine),,,,,Bact. (urine),550,LAB-Viro-Micro-urine,,,,1,,,,,,,,,,freetextitems,3453,3453,Bact. (urine)
10902,Reductie (urine),,,,,Reductie (urine),551,LAB-Urine-urine,,,,1,,,,,,,,,,freetextitems,1,1,Reduction (urine)
10904,Indican (urine),,,,,Indican (urine),499,LAB-Divers-urine,,,,1,,,,,,,,,,freetextitems,1,1,Indican (urine)
10906,Hb/Ery's (urine),,,,,Hb/Ery's (urine),552,LAB-Hem-urine,,,,1,,,,,,,,,,freetextitems,10473,10473,Hb/Ery's (urine)
10908,VIRUSkweek (pus),,,,,VIRUSkweek (pus),553,LAB-Viro-Micro-pus,,,,1,,,,,,,,,,freetextitems,5,5,VIRUS culture (pus)
10910,VIRUSkweek (biopt),,,,,VIRUSkweek (biopt),555,LAB-Viro-Micro-biopt,,,,1,,,,,,,,,,freetextitems,10,10,VIRUS culture (biopsy)
10918,VIRUSkweek (faeces),,,,,VIRUSkweek (faeces),540,LAB-Viro-Micro-faeces,,,,1,,,,,,,,,,freetextitems,12,12,VIRUS culture (feces)
10920,VIROL.MAT. (br.-alv.lav),,,,,VIROL.MAT. (br.-alv.lav),514,LAB-Viro-Micro-BAL,,,,1,,,,,,,,,,freetextitems,18,18,VIROL.MAT. (br.-alv.lav)
10921,VIRUSkweek (overig),,,,,VIRUSkweek (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,18,18,VIRUS culture (other)
10923,VIROL.MAT. (bloed),,,,,VIROL.MAT. (bloed),537,LAB-Viro-Micro-edta-bloed,,,,1,,,,,,,,,,freetextitems,52,52,VIROL.MAT. (blood)
10926,VIRUSkweek (urine),,,,,VIRUSkweek (urine),550,LAB-Viro-Micro-urine,,,,1,,,,,,,,,,freetextitems,2,2,VIRUS culture (urine)
10927,VIROL.MAT. (keel),,,,,VIROL.MAT. (keel),547,LAB-Viro-Micro-keel,,,,1,,,,,,,,,,freetextitems,4,4,VIROL.MAT. (throat)
10932,VIRUSkweek (liquor),,,,,VIRUSkweek (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,16,16,VIRUS culture (liquor)
10942,VIROL.MAT. (faeces),,,,,VIROL.MAT. (faeces),540,LAB-Viro-Micro-faeces,,,,1,,,,,,,,,,freetextitems,1,1,VIROL.MAT. (feces)
10943,VIRUS al (serum),,,,,VIRUS al (serum),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,47,47,VIRUS al (serum)
10944,VIROL.MAT. (overig),,,,,VIROL.MAT. (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,25,25,VIROL.MAT. (other)
10945,VIROL.MAT. (urine),,,,,VIROL.MAT. (urine),550,LAB-Viro-Micro-urine,,,,1,,,,,,,,,,freetextitems,8,8,VIROL.MAT. (urine)
10946,VIROL.MAT. (liquor),,,,,VIROL.MAT. (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,83,83,VIROL.MAT. (liquor)
10948,spijt  (bloed),,,,,spijt  (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,5270,5270,regret (blood)
10949,Bartonella henselae DNA PCR (biopt),,,,,Bartonella henselae DNA PCR (biopt),555,LAB-Viro-Micro-biopt,,,,1,,,,,,,,,,freetextitems,7,7,Bartonella henselae DNA PCR (biopsy)
10950,Bartonella henselae DNA PCR (overig),,,,,Bartonella henselae DNA PCR (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,4,4,Bartonella henselae DNA PCR (other)
10951,B.hen.IgM (bloed),,,,,B.hen.IgM (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,5,5,B.hen.IgM (blood)
10953,T.GONDII (serum),,,,,T.GONDII-ser,495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,1,1,T.GONDII (serum)
10954,Overig (liquor),,,,,Overig (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,1,1,Other (liquor)
10956,Chlamydia trachomatis DNA PCR (overig),,,,,Chlamydia trachomatis DNA PCR (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,8,8,Chlamydia trachomatis DNA PCR (other)
10957,Chlamydia trachomatis DNA PCR (pus),,,,,Chlamydia trachomatis DNA PCR (pus),553,LAB-Viro-Micro-pus,,,,1,,,,,,,,,,freetextitems,2,2,Chlamydia trachomatis DNA PCR (pus)
10958,HBsAg snel (bloed),,,,,HBsAg snel (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,4,4,HBsAg fast (blood)
10959,Overig (overig),,,,,Overig (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,11,11,Other (other)
10960,AMOEBIASIS (bloed),,,,,AMOEBIASIS (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,3,3,AMOEBIASIS (blood)
10961,ASCARIASIS (bloed),,,,,ASCARIASIS (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,2,2,ASCARIASIS (blood)
10962,CYSTICER. (bloed),,,,,CYSTICER. (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,1,1,CYSTICER. (blood)
10963,ECHINOCOC (bloed),,,,,ECHINOCOC (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,3,3,ECHINOCOC (blood)
10964,FILARIASIS (bloed),,,,,FILARIASIS (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,1,1,FILARIASIS (blood)
10966,LEISHMANIA (serum)-LabZis2,,,,,LEISHMANIA-ser-LabZis2,696,LAB-LabZIS2_Ongebruikt,,,,1,,,,,,,,,,freetextitems,1,1,LEISHMANIA (serum)-LabZis2
10967,Brucella Ig totaal (bloed),,,,,Brucella Ig totaal (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,21,21,Brucella Ig total (blood)
10968,Clostridium difficile toxine A+B (faeces),,,,,Clostridium difficile toxine A+B (faeces),540,LAB-Viro-Micro-faeces,,,,1,,,,,,,,,,freetextitems,1845,1845,Clostridium difficile toxin A+B (faeces)
10969,Clostridium difficile toxine A+B voor stam (stam),,,,,Clostridium difficile toxine A+B voor stam (stam),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,33,33,Clostridium difficile toxin A+B for strain (strain)
10970,AGGL.MPNEU (bloed),,,,,AGGL.MPNEU (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,297,297,AGGL.MPNEU (blood)
10971,VDRL (bloed),,,,,VDRL (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,71,71,VDRL (blood)
10972,VDRL (liquor),,,,,VDRL (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,9,9,VDRL (liquor)
10973,Paul Bunnell (bloed),,,,,Paul Bunnell (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,2,2,Paul Bunnell (blood)
10977,SCHIS.Elis (bloed),,,,,SCHIS.Elis (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,7,7,SCHIS.Elis (blood)
10988,SCHIS.IHA (bloed),,,,,SCHIS.IHA (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,3,3,SCHIS.IHA (blood)
11000,TOXOCARA (bloed),,,,,TOXOCARA (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,1,1,TOXOCARA (blood)
11008,VIROL.MAT. (biopt),,,,,VIROL.MAT. (biopt),555,LAB-Viro-Micro-biopt,,,,1,,,,,,,,,,freetextitems,5,5,VIROL.MAT. (biopsy)
11013,TRYPANOSOM (bloed),,,,,TRYPANOSOM (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,1,1,TRYPANOSOM (blood)
11015,Mycoplasma pneumoniae DNA PCR (keel),,,,,Mycoplasma pneumoniae DNA PCR (keel),547,LAB-Viro-Micro-keel,,,,1,,,,,,,,,,freetextitems,96,96,Mycoplasma pneumoniae DNA PCR (throat)
11016,Mycoplasma pneumoniae DNA PCR (overig),,,,,Mycoplasma pneumoniae DNA PCR (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,32,32,Mycoplasma pneumoniae DNA PCR (other)
11017,Chlamydia pneumoniae DNA PCR (br.-alv.lav),,,,,Chlamydia pneumoniae DNA PCR (br.-alv.lav),514,LAB-Viro-Micro-BAL,,,,1,,,,,,,,,,freetextitems,88,88,Chlamydia pneumoniae DNA PCR (br.-alv.lav)
11018,Toxoplasma gondii IgG (bloed),,,,,Toxoplasma gondii IgG (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,70,70,Toxoplasma gondii IgG (blood)
11019,Chlamydia pneumoniae DNA PCR (keel),,,,,Chlamydia pneumoniae DNA PCR (keel),547,LAB-Viro-Micro-keel,,,,1,,,,,,,,,,freetextitems,72,72,Chlamydia pneumoniae DNA PCR (throat)
11021,Chlamydia pneumoniae DNA PCR (overig),,,,,Chlamydia pneumoniae DNA PCR (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,20,20,Chlamydia pneumoniae DNA PCR (other)
11024,a-1-Antitryps. typ (bloed),,,,,a-1-Antitryps. typ (bloed),490,LAB-Chem-bloed,,,,1,,,,,,,,,,freetextitems,3,3,a-1-Antitryps. type (blood)
11031,Gem.Schimmel (bloed),,,,,Gem.Schimmel (bloed),485,LAB-Imm-bloed,,,,1,,,,,,,,,,freetextitems,1,1,Gem.Mold (blood)
11086,Penicill. KWAL (bloed),,,,,Penicill. KWAL (bloed),485,LAB-Imm-bloed,,,,1,,,,,,,,,,freetextitems,1,1,Penicill. JELLYFISH (blood)
11088,Hep.C PCR (bloed),,,,,Hep.C PCR (bloed),537,LAB-Viro-Micro-edta-bloed,,,,1,,,,,,,,,,freetextitems,4,4,Hep.C PCR (blood)
11091,Aspergillus KWAL (bloed),,,,,Aspergillus KWAL (bloed),561,LAB-Viro-Micro-bloed,,,,1,,,,,,,,,,freetextitems,1,1,Aspergillus JELLYFISH (blood)
11099,HSV DNA PCR (liquor),,,,,HSV DNA PCR (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,14,14,HSV DNA PCR (liquid)
11101,Latex KWAL (bloed),,,,,Latex KWAL (bloed),485,LAB-Imm-bloed,,,,1,,,,,,,,,,freetextitems,1,1,Latex JELLYFISH (blood)
11103,HSV DNA PCR (overig),,,,,HSV DNA PCR (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,5,5,HSV DNA PCR (other)
11104,Cytomegalovirus DNA PCR (liquor),,,,,Cytomegalovirus DNA PCR (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,58,58,Cytomegalovirus DNA PCR (liquor)
11105,Cytomegalovirus DNA kwantitatief PCR (serum),,,,,Cytomegalovirus DNA kwantitatief PCR (serum),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,5,5,Cytomegalovirus DNA quantitative PCR (serum)
11107,Toxoplasma gondii IgM (bloed),,,,,Toxoplasma gondii IgM (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,41,41,Toxoplasma gondii IgM (blood)
11108,Cytomegalovirus DNA kwantitatief PCR (edta-bloed),,,,,Cytomegalovirus DNA kwantitatief PCR (edta-bloed),537,LAB-Viro-Micro-edta-bloed,,,,1,,,,,,,,,,freetextitems,447,447,Cytomegalovirus DNA quantitative PCR (EDTA blood)
11110,Cytomegalovirus DNA kwantitatief PCR (overig),,,,,Cytomegalovirus DNA kwantitatief PCR (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,90,90,Cytomegalovirus DNA quantitative PCR (other)
11111,Overige Ext PCR (liquor),,,,,Overige Ext PCR (liquor),539,LAB-Viro-Micro-liquor,,,,1,,,,,,,,,,freetextitems,32,32,Other Ext PCR (liquor)
11112,Overige Ext PCR  (bloed),,,,,Overige Ext PCR  (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,4,4,Other Ext PCR (blood)
11114,Overige Ext PCR   (bloed),,,,,Overige Ext PCR   (bloed),537,LAB-Viro-Micro-edta-bloed,,,,1,,,,,,,,,,freetextitems,25,25,Other Ext PCR (blood)
11116,Overige Ext PCR (overig),,,,,Overige Ext PCR (overig),542,LAB-Viro-Micro-diversen,,,,1,,,,,,,,,,freetextitems,27,27,Other Ext PCR (other)
11118,ADP primair (bloed),,,,,ADP primair (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,55,55,ADP primary (blood)
11119,ADP secundair (bloed),,,,,ADP secundair (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,55,55,ADP secondary (blood)
11120,Ristocetine (bloed),,,,,Ristocetine (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,56,56,Ristocetin (blood)
11122,Collageen (bloed),,,,,Collageen (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,55,55,Collagen (blood)
11123,APC resistentie (bloed),,,,,APC resistentie (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,18,18,APC resistance (blood)
11124,LAC (bloed),,,,,LAC (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,321,321,LAC (blood)
11127,Remmer PT (bloed),,,,,Remmer PT (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,199,199,Inhibitor PT (blood)
11128,Remmer APTT (bloed),,,,,Remmer APTT (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,274,274,Inhibitor APTT (blood)
11129,Factor V Mutatie (bloed),,,,,Factor V Mutatie (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,20,20,Factor V Mutation (Blood)
11130,Hb El.Citr (bloed),,,,,Hb El.Citr (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,3,3,Hb El.Citr (blood)
11131,Hb El.Alka (bloed),,,,,Hb El.Alka (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,3,3,Hb El.Alka (blood)
11136,HIT (bloed),,,,,HIT (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,81,81,HIT (blood)
11138,vWF Multimeren (bloed),,,,,vWF Multimeren (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,2,2,vWF Multimers (blood)
11139,Afname (semen),,,,,Afname (semen),511,LAB-Divers-semen,,,,1,,,,,,,,,,freetextitems,1,1,Decrease (semen)
11140,Dr.Trekb. (semen),,,,,Dr.Trekb. (semen),511,LAB-Divers-semen,,,,1,,,,,,,,,,freetextitems,1,1,Dr. Trekb. (semen)
11141,Vervloeit (semen),,,,,Vervloeit (semen),511,LAB-Divers-semen,,,,1,,,,,,,,,,freetextitems,1,1,liquefies (semen)
11143,Aspect (semen),,,,,Aspect (semen),511,LAB-Divers-semen,,,,1,,,,,,,,,,freetextitems,1,1,Aspect (semen)
11144,Geur (semen),,,,,Geur (semen),511,LAB-Divers-semen,,,,1,,,,,,,,,,freetextitems,1,1,Odor (semen)
11147,Score Bew. (semen),,,,,Score Bew. (semen),511,LAB-Divers-semen,,,,1,,,,,,,,,,freetextitems,1,1,Score Edit (semen)
11148,VIRUS typ. (keel),,,,,VIRUS typ. (keel),547,LAB-Viro-Micro-keel,,,,1,,,,,,,,,,freetextitems,4,4,VIRUS typ. (throat)
11151,Pellet (semen),,,,,Pellet (semen),511,LAB-Divers-semen,,,,1,,,,,,,,,,freetextitems,1,1,Pellet (semen)
11160,VIRUS typ. (pus),,,,,VIRUS typ. (pus),553,LAB-Viro-Micro-pus,,,,1,,,,,,,,,,freetextitems,2,2,VIRUS typ. (pus)
11178,RH-immun. (bloed),,,,,RH-immun. (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,2,2,RH immune. (blood)
11181,Y.ENTEROCO (bloed),,,,,Y.ENTEROCO (bloed),495,LAB-Viro-Micro-serum,,,,1,,,,,,,,,,freetextitems,3,3,Y.ENTEROCO (blood)
11183,AGGREGATIE (bloed),,,,,AGGREGATIE (bloed),500,LAB-Hem-bloed,,,,1,,,,,,,,,,freetextitems,4,4,AGGREGATION (blood)
